Dates,SLB
2018-06-20,7567700.0
2018-06-21,6371400.0
2018-06-25,10995000.0
2018-06-22,7608700.0
2018-06-26,5618500.0
2018-06-27,6856500.0
2018-06-28,5827800.0
2018-06-29,5350900.0
2018-07-02,9404700.0
2018-07-03,5207700.0
2018-07-05,6492800.0
2018-07-16,4303400.0
2018-09-18,5230900.0
2019-01-24,6343100.0
2019-09-05,7497400.0
2018-11-21,6217000.0
2020-01-13,4607000.0
2020-04-01,4544100.0
2020-06-19,6614300.0
2019-10-29,6493200.0
2020-01-16,7049000.0
2020-06-22,7510300.0
2018-10-03,8542800.0
2018-07-31,8872000.0
2019-03-12,7586700.0
2019-02-08,6497500.0
2019-01-07,5888100.0
2018-12-06,5816900.0
2019-08-19,5986900.0
2019-07-18,4834900.0
2019-05-15,4985000.0
2019-09-20,4588300.0
2019-11-01,4348800.0
2020-04-07,5745200.0
2020-06-25,3549300.0
2020-06-16,4760800.0
2019-11-04,4851200.0
2020-01-22,4563400.0
2019-11-07,4851000.0
2020-04-13,9831900.0
2019-07-01,6080800.0
2019-05-30,5657500.0
2018-08-15,3670300.0
2018-10-18,6092600.0
2019-03-27,5134400.0
2019-01-22,4430200.0
2018-12-21,6418000.0
2019-09-03,8459200.0
2018-11-19,9470700.0
2019-08-02,7611600.0
2020-01-28,6300100.0
2020-04-16,7953200.0
2019-11-13,8287000.0
2020-01-31,10127200.0
2018-12-04,9684100.0
2018-11-02,11056200.0
2019-07-16,6954600.0
2018-08-30,9782200.0
2018-10-01,7931700.0
2019-06-14,6006300.0
2019-05-13,8059100.0
2019-04-11,6825400.0
2019-02-06,6779700.0
2019-09-18,9367100.0
2020-02-03,7364100.0
2020-04-22,21545100.0
2019-11-19,8715200.0
2020-02-06,8517500.0
2019-11-22,10408600.0
2019-03-25,6553000.0
2019-02-21,7206600.0
2018-12-19,7667000.0
2018-07-12,5660200.0
2018-09-14,7315700.0
2018-08-13,6920100.0
2018-10-16,7358200.0
2019-07-31,4725700.0
2019-05-28,6410500.0
2019-04-26,10393700.0
2020-04-28,12620400.0
2019-11-25,9737400.0
2020-02-12,7302100.0
2020-05-01,6310100.0
2020-05-04,6484100.0
2019-06-12,11215300.0
2019-04-09,11347900.0
2019-03-08,13371500.0
2019-02-04,13516700.0
2018-07-27,16957500.0
2018-08-28,9850400.0
2019-01-03,11131300.0
2019-08-15,11125100.0
