Dates,SRE
2018-06-20,104.83537292480469
2018-06-21,105.32899475097656
2018-06-25,107.23831939697266
2018-06-22,108.607421875
2018-06-26,107.7878189086914
2018-06-27,107.97409057617188
2018-06-28,107.21036529541016
2018-06-29,108.98916625976562
2018-07-02,108.45411682128906
2018-07-03,108.99855041503906
2018-07-05,110.10617065429688
2018-07-16,110.55673217773438
2018-09-18,108.53858184814453
2019-01-24,110.10617065429688
2019-09-05,108.58552551269531
2018-11-21,108.53858184814453
2020-01-13,109.3646240234375
2020-04-01,108.6606216430664
2020-06-19,108.51982879638672
2019-10-29,107.3089370727539
2020-01-16,108.23819732666016
2020-06-22,107.25261688232422
2018-10-03,106.60492706298828
2018-07-31,107.4778823852539
2019-03-12,108.3884048461914
2019-02-08,108.66999816894531
2019-01-07,107.9190673828125
2018-12-06,107.45912170410156
2019-08-19,108.50102996826172
2019-07-18,107.85335540771484
2019-05-15,108.91404724121094
2019-09-20,109.62745666503906
2019-11-01,108.27576446533203
2020-04-07,108.85774230957031
2020-06-25,108.01293182373047
2020-06-16,107.69379425048828
2019-11-04,107.42157745361328
2020-01-22,107.84397888183594
2019-11-07,107.23384094238281
2020-04-13,107.43096160888672
2019-07-01,108.90467071533203
2019-05-30,109.68376922607422
2018-08-15,109.77762603759766
2018-10-18,109.10179901123047
2019-03-27,108.39779663085938
2019-01-22,108.58552551269531
2018-12-21,109.2613754272461
2019-09-03,108.54798126220703
2018-11-19,108.48226928710938
2019-08-02,109.51480865478516
2020-01-28,109.4490966796875
2020-04-16,108.96099853515625
2019-11-13,109.815185546875
2020-01-31,110.89466094970703
2018-12-04,110.79141235351562
2018-11-02,109.68376922607422
2019-07-16,110.38777160644531
2018-08-30,110.03108978271484
2018-10-01,110.55673217773438
2019-06-14,111.39213562011719
2019-05-13,111.4484634399414
2019-04-11,111.57988739013672
2019-02-06,110.07801818847656
2019-09-18,108.07865142822266
2020-02-03,108.14960479736328
2020-04-22,108.9915542602539
2019-11-19,107.44953918457031
2020-02-06,106.39945220947266
2019-11-22,105.06554412841797
2019-03-25,105.95482635498047
2019-02-21,107.61036682128906
2018-12-19,107.68604278564453
2018-07-12,109.4929428100586
2018-09-14,108.43341064453125
2018-08-13,108.68883514404297
2018-10-16,109.92811584472656
2019-07-31,110.25923156738281
2019-05-28,110.1173324584961
2019-04-26,109.22805786132812
2020-04-28,108.29150390625
2019-11-25,108.82127380371094
2020-02-12,108.88750457763672
2020-05-01,109.51187133789062
2020-05-04,109.07670593261719
2019-06-12,109.65377807617188
2019-04-09,110.31597900390625
2019-03-08,109.37943267822266
2019-02-04,108.02660369873047
2018-07-27,109.64432525634766
2018-08-28,108.83073425292969
2019-01-03,106.7210922241211
2019-08-15,106.46566772460938
2018-10-31,105.76560974121094
2019-09-16,104.17628479003906
2020-02-18,104.11006927490234
2020-05-07,103.16404724121094
2018-08-17,106.49406433105469
2019-12-04,107.09005737304688
2020-02-21,111.21471405029297
2018-12-17,111.60260009765625
2019-08-30,110.40113830566406
2018-11-15,109.17129516601562
2019-07-29,109.74838256835938
2019-06-27,106.67379760742188
2019-04-24,104.98988342285156
2018-07-10,108.66991424560547
2018-09-12,109.01995086669922
2019-02-19,107.78064727783203
2019-01-18,105.96428680419922
2020-02-24,106.05888366699219
2020-05-13,105.99266052246094
2019-12-10,106.60758972167969
2020-02-27,107.12789154052734
2019-12-13,106.58865356445312
2020-05-19,109.00101470947266
2019-03-06,110.16464233398438
2018-11-30,110.55249786376953
2019-08-13,109.45511627197266
2019-07-12,109.69161987304688
2019-06-10,109.91867065429688
2019-05-09,110.74169921875
2018-07-25,110.36329650878906
2018-09-27,111.2525634765625
2018-10-29,112.09452819824219
2019-10-16,108.72667694091797
2019-12-16,107.69550323486328
2020-03-04,107.79011535644531
2020-05-22,106.95759582519531
2019-10-01,105.7845458984375
2019-12-19,101.60310363769531
2018-09-10,102.16124725341797
2019-05-24,101.80177307128906
2018-08-09,102.33120727539062
2019-04-22,103.2088623046875
2019-03-21,101.84469604492188
2019-01-16,102.31212615966797
2019-08-28,105.37433624267578
2018-11-13,105.35527038574219
2018-10-12,108.3030014038086
2019-06-25,107.24410247802734
2020-03-10,109.16156768798828
2020-05-28,108.80860137939453
2019-10-07,106.61449432373047
2020-03-13,107.36812591552734
2019-10-10,107.47306060791016
2020-03-16,107.18685913085938
2020-06-03,107.48258972167969
2018-11-28,107.19640350341797
2018-09-25,107.71155548095703
2018-07-23,108.13127899169922
2018-08-24,107.89279174804688
2019-07-10,107.79740142822266
2019-05-07,108.60826110839844
2019-04-05,109.60991668701172
2019-03-04,111.59415435791016
2019-01-31,111.37474822998047
2019-09-12,111.79449462890625
2019-12-31,111.69908905029297
2020-03-19,112.32870483398438
2020-01-03,112.5862808227539
2020-06-09,112.49087524414062
2019-02-15,109.6576156616211
2019-01-14,108.8658447265625
2018-07-06,108.98031616210938
2018-08-07,108.79906463623047
2018-10-10,109.95335388183594
2018-12-13,110.91683959960938
2019-08-26,111.73725128173828
2019-07-25,112.25238800048828
2019-05-22,113.02510833740234
2019-03-19,112.17607116699219
2020-01-06,113.4257583618164
2020-03-25,114.78992462158203
2020-06-12,114.89486694335938
2019-10-22,115.67710876464844
2020-01-09,115.74388122558594
2020-06-15,115.50538635253906
2019-10-25,115.40045928955078
2020-03-31,116.09683990478516
2020-06-18,116.66921997070312
2019-04-03,117.51824951171875
2018-08-22,118.29094696044922
2018-10-25,118.61529541015625
2019-01-29,118.72023010253906
2018-12-28,118.88240814208984
2018-11-26,118.91102600097656
2019-08-09,118.22417449951172
2019-07-08,119.29261016845703
2019-06-06,121.0115966796875
2019-09-10,121.2038803100586
2020-01-15,120.21363067626953
2020-04-03,120.63665771484375
2019-10-31,120.56935119628906
2020-04-06,119.66564178466797
2020-06-24,121.00198364257812
2018-11-09,121.74224853515625
2019-07-23,122.3287124633789
2019-06-21,122.3287124633789
2019-05-20,122.1172103881836
2019-04-18,123.29012298583984
2018-09-06,122.85749053955078
2018-10-08,122.95362854003906
2019-02-13,122.51138305664062
2018-12-11,123.15553283691406
2019-09-25,124.8379898071289
2020-01-21,123.59776306152344
2020-04-09,122.35755157470703
2019-11-06,122.37677764892578
2020-01-24,122.4921646118164
2020-01-27,120.54051208496094
2020-04-15,121.25194549560547
2018-12-26,121.53075408935547
2019-08-07,122.42485809326172
2019-06-04,123.10745239257812
2018-09-21,120.94430541992188
2018-07-19,123.01130676269531
2018-08-20,121.32884979248047
2018-10-23,121.10774230957031
2019-05-03,122.5306167602539
2019-04-01,121.51152801513672
2019-02-28,120.85777282714844
2019-11-12,120.90584564208984
2020-01-30,121.33846282958984
2019-11-15,124.2226791381836
2020-04-21,124.32842254638672
2019-04-16,124.36688995361328
2019-03-15,124.86682891845703
2019-02-11,125.67440795898438
2019-01-10,125.4148178100586
2019-08-22,126.11662292480469
2018-11-07,126.4242935180664
2018-08-03,129.11622619628906
2018-09-04,130.63522338867188
2019-06-19,129.16427612304688
2019-09-23,127.9625244140625
2019-11-18,125.70323944091797
