Dates,SRE
2018-06-20,112.36000061035156
2018-06-21,111.22000122070312
2018-06-25,112.83000183105469
2018-06-22,115.18000030517578
2018-06-26,115.44000244140625
2018-06-27,115.23999786376953
2018-06-28,114.7699966430664
2018-06-29,113.12000274658203
2018-07-02,114.62999725341797
2018-07-03,114.8499984741211
2018-07-05,115.83999633789062
2018-07-16,117.05000305175781
2018-09-18,115.16000366210938
2019-01-24,114.5
2019-09-05,113.94999694824219
2018-11-21,115.25
2020-01-13,115.62999725341797
2020-04-01,115.13999938964844
2020-06-19,115.33000183105469
2019-10-29,114.0
2020-01-16,113.36000061035156
2020-06-22,113.43000030517578
2018-10-03,113.4800033569336
2018-07-31,112.56999969482422
2019-03-12,114.01000213623047
2019-02-08,114.69999694824219
2019-01-07,114.54000091552734
2018-12-06,114.19999694824219
2019-08-19,114.37999725341797
2019-07-18,113.38999938964844
2019-05-15,114.37999725341797
2019-09-20,115.16999816894531
2019-11-01,114.0
2020-04-07,113.7699966430664
2020-06-25,114.94999694824219
2020-06-16,114.5999984741211
2019-11-04,114.1500015258789
2020-01-22,114.05999755859375
2019-11-07,114.12000274658203
2020-04-13,113.68000030517578
2019-07-01,113.91000366210938
2019-05-30,115.44999694824219
2018-08-15,116.51000213623047
2018-10-18,115.75
2019-03-27,115.08999633789062
2019-01-22,115.1500015258789
2018-12-21,115.41000366210938
2019-09-03,114.91999816894531
2018-11-19,115.1500015258789
2019-08-02,115.43000030517578
2020-01-28,116.18000030517578
2020-04-16,115.69999694824219
2019-11-13,116.0999984741211
2020-01-31,116.69000244140625
2018-12-04,117.69999694824219
2018-11-02,116.37999725341797
2019-07-16,116.91000366210938
2018-08-30,116.08000183105469
2018-10-01,116.9000015258789
2019-06-14,117.19000244140625
2019-05-13,117.12999725341797
2019-04-11,117.97000122070312
2019-02-06,117.0199966430664
2019-09-18,114.2699966430664
2020-02-03,113.54000091552734
2020-04-22,114.5
2019-11-19,113.19000244140625
2020-02-06,112.31999969482422
2019-11-22,111.0199966430664
2019-03-25,110.98999786376953
2019-02-21,112.33999633789062
2018-12-19,113.08000183105469
2018-07-12,113.98999786376953
2018-09-14,113.66999816894531
2018-08-13,113.19999694824219
2018-10-16,114.9800033569336
2019-07-31,115.95999908447266
2019-05-28,115.3499984741211
2019-04-26,115.38999938964844
2020-04-28,113.66000366210938
2019-11-25,113.5999984741211
2020-02-12,114.58000183105469
2020-05-01,114.31999969482422
2020-05-04,114.55999755859375
2019-06-12,115.4000015258789
2019-04-09,115.4000015258789
2019-03-08,115.51000213623047
2019-02-04,113.8499984741211
2018-07-27,112.5999984741211
2018-08-28,114.01000213623047
2019-01-03,111.76000213623047
2019-08-15,111.87000274658203
2018-10-31,110.5199966430664
