Dates,SRE
2018-06-20,113.08999633789062
2018-06-21,112.38999938964844
2018-06-25,113.51000213623047
2018-06-22,115.18000030517578
2018-06-26,115.66999816894531
2018-06-27,115.23999786376953
2018-06-28,116.91000366210938
2018-06-29,113.88999938964844
2018-07-02,115.26000213623047
2018-07-03,115.91999816894531
2018-07-05,116.43000030517578
2018-07-16,117.31999969482422
2018-09-18,118.0
2019-01-24,114.97000122070312
2019-09-05,113.94999694824219
2018-11-21,115.70999908447266
2020-01-13,116.0
2020-04-01,116.54000091552734
2020-06-19,116.27999877929688
2019-10-29,115.19999694824219
2020-01-16,114.18000030517578
2020-06-22,114.72000122070312
2018-10-03,114.4000015258789
2018-07-31,113.56999969482422
2019-03-12,114.68000030517578
2019-02-08,115.91000366210938
2019-01-07,115.80000305175781
2018-12-06,115.04000091552734
2019-08-19,115.0
2019-07-18,114.68000030517578
2019-05-15,114.91000366210938
2019-09-20,115.72000122070312
2019-11-01,116.26000213623047
2020-04-07,114.97000122070312
2020-06-25,115.56999969482422
2020-06-16,115.16999816894531
2019-11-04,114.72000122070312
2020-01-22,114.5999984741211
2019-11-07,114.87000274658203
2020-04-13,114.2699966430664
2019-07-01,114.45999908447266
2019-05-30,115.44999694824219
2018-08-15,118.0
2018-10-18,117.11000061035156
2019-03-27,116.30000305175781
2019-01-22,115.16000366210938
2018-12-21,115.80000305175781
2019-09-03,116.75
2018-11-19,115.4000015258789
2019-08-02,115.80999755859375
2020-01-28,116.69999694824219
2020-04-16,116.44999694824219
2019-11-13,116.37000274658203
2020-01-31,117.01000213623047
2018-12-04,118.27999877929688
2018-11-02,117.13999938964844
2019-07-16,117.30999755859375
2018-08-30,117.69000244140625
2018-10-01,117.16999816894531
2019-06-14,117.83999633789062
2019-05-13,118.12000274658203
2019-04-11,118.94000244140625
2019-02-06,120.0
2019-09-18,117.33999633789062
2020-02-03,114.75
2020-04-22,114.5
2019-11-19,114.80999755859375
2020-02-06,113.27999877929688
2019-11-22,112.56999969482422
2019-03-25,111.19000244140625
2019-02-21,112.33999633789062
2018-12-19,113.48999786376953
2018-07-12,114.33999633789062
2018-09-14,115.8499984741211
2018-08-13,114.2300033569336
2018-10-16,115.0
2019-07-31,116.79000091552734
2019-05-28,116.79000091552734
2019-04-26,116.18000030517578
2020-04-28,116.43000030517578
2019-11-25,114.81999969482422
2020-02-12,114.87000274658203
2020-05-01,115.0
2020-05-04,115.52999877929688
2019-06-12,116.80000305175781
2019-04-09,115.63999938964844
2019-03-08,116.87999725341797
2019-02-04,115.75
2018-07-27,114.4000015258789
2018-08-28,115.55000305175781
2019-01-03,115.45999908447266
2019-08-15,112.94000244140625
2018-10-31,112.98999786376953
2019-09-16,110.95999908447266
2020-02-18,110.30999755859375
2020-05-07,110.13999938964844
2018-08-17,109.36000061035156
2019-12-04,112.54000091552734
2020-02-21,114.93000030517578
2018-12-17,117.6500015258789
2019-08-30,117.94999694824219
2018-11-15,116.36000061035156
2019-07-29,115.16999816894531
2019-06-27,116.02999877929688
2019-04-24,112.73999786376953
2018-07-10,113.48999786376953
2018-09-12,114.79000091552734
2019-02-19,115.76000213623047
2019-01-18,113.70999908447266
2020-02-24,111.91000366210938
2020-05-13,112.13999938964844
2019-12-10,112.26000213623047
2020-02-27,113.0199966430664
2019-12-13,113.19999694824219
2020-05-19,112.93000030517578
2019-03-06,114.70999908447266
2018-11-30,116.81999969482422
2019-08-13,117.23999786376953
2019-07-12,115.86000061035156
2019-06-10,115.83999633789062
2019-05-09,116.62000274658203
2018-07-25,117.31999969482422
2018-09-27,116.6500015258789
2018-10-29,117.61000061035156
2019-10-16,119.0199966430664
