Dates,SRE
2018-06-20,4563800.0
2018-06-21,2938100.0
2018-06-25,2454200.0
2018-06-22,1570900.0
2018-06-26,2554500.0
2018-06-27,2358500.0
2018-06-28,4601300.0
2018-06-29,2500500.0
2018-07-02,1563900.0
2018-07-03,687800.0
2018-07-05,1602200.0
2018-07-16,1318500.0
2018-09-18,1572200.0
2019-01-24,1260800.0
2019-09-05,6886800.0
2018-11-21,2379100.0
2020-01-13,1707000.0
2020-04-01,1621600.0
2020-06-19,1056800.0
2019-10-29,1486300.0
2020-01-16,2012700.0
2020-06-22,2554200.0
2018-10-03,1438900.0
2018-07-31,3968300.0
2019-03-12,1364700.0
2019-02-08,1369500.0
2019-01-07,2038800.0
2018-12-06,1234700.0
2019-08-19,1686800.0
2019-07-18,1119900.0
2019-05-15,1164900.0
2019-09-20,2228600.0
2019-11-01,2383900.0
2020-04-07,1194900.0
2020-06-25,931900.0
2020-06-16,1133100.0
2019-11-04,1456400.0
2020-01-22,2084500.0
2019-11-07,1274000.0
2020-04-13,1656700.0
2019-07-01,1323300.0
2019-05-30,3142500.0
2018-08-15,1355800.0
2018-10-18,1290500.0
2019-03-27,1007100.0
2019-01-22,917900.0
2018-12-21,736300.0
2019-09-03,996100.0
2018-11-19,2672200.0
2019-08-02,2152600.0
2020-01-28,999000.0
2020-04-16,1455900.0
2019-11-13,2142900.0
2020-01-31,1856300.0
2018-12-04,1203800.0
2018-11-02,1216500.0
2019-07-16,1072000.0
2018-08-30,1965100.0
2018-10-01,1946500.0
2019-06-14,1375700.0
2019-05-13,2627100.0
2019-04-11,1105900.0
2019-02-06,2651600.0
2019-09-18,2157100.0
2020-02-03,1771300.0
2020-04-22,5306900.0
2019-11-19,1648200.0
2020-02-06,2476300.0
2019-11-22,2072500.0
2019-03-25,2265500.0
2019-02-21,2690200.0
2018-12-19,1801000.0
2018-07-12,1421600.0
2018-09-14,1530900.0
2018-08-13,1283400.0
2018-10-16,1338800.0
2019-07-31,1163600.0
2019-05-28,2005400.0
2019-04-26,2087500.0
2020-04-28,1758900.0
2019-11-25,1130200.0
2020-02-12,1449900.0
2020-05-01,1174900.0
2020-05-04,968300.0
2019-06-12,2098000.0
2019-04-09,2694800.0
2019-03-08,1287200.0
2019-02-04,1196000.0
2018-07-27,1526100.0
2018-08-28,1571300.0
2019-01-03,1324000.0
2019-08-15,1754900.0
2018-10-31,2200600.0
2019-09-16,2114800.0
2020-02-18,2302200.0
2020-05-07,2567100.0
2018-08-17,1837800.0
2019-12-04,1731600.0
2020-02-21,2580100.0
2018-12-17,1980100.0
2019-08-30,2525600.0
2018-11-15,2897600.0
2019-07-29,1776300.0
2019-06-27,2690300.0
2019-04-24,2647600.0
2018-07-10,3664600.0
2018-09-12,1467400.0
2019-02-19,1956200.0
2019-01-18,1362700.0
2020-02-24,1286300.0
2020-05-13,1365100.0
2019-12-10,1485000.0
2020-02-27,1317200.0
2019-12-13,1171900.0
2020-05-19,3267100.0
2019-03-06,1991100.0
2018-11-30,1533800.0
2019-08-13,1763600.0
2019-07-12,1666300.0
2019-06-10,2124100.0
2019-05-09,1002000.0
2018-07-25,4469100.0
2018-09-27,1393100.0
2018-10-29,2402600.0
2019-10-16,1996800.0
2019-12-16,1781100.0
2020-03-04,2533100.0
2020-05-22,2107600.0
2019-10-01,2783300.0
2019-12-19,1207100.0
2018-09-10,3332300.0
2019-05-24,2327900.0
2018-08-09,2180000.0
2019-04-22,1838000.0
2019-03-21,1196500.0
2019-01-16,1289000.0
2019-08-28,2708000.0
2018-11-13,2853500.0
2018-10-12,1625600.0
2019-06-25,1690100.0
2020-03-10,1302100.0
2020-05-28,1345500.0
2019-10-07,2056300.0
2020-03-13,2071500.0
2019-10-10,1868100.0
2020-03-16,1203700.0
2020-06-03,1517700.0
2018-11-28,1327700.0
2018-09-25,1513300.0
2018-07-23,1641200.0
2018-08-24,1646100.0
2019-07-10,1670000.0
2019-05-07,1869300.0
2019-04-05,1584400.0
2019-03-04,2117300.0
2019-01-31,1681500.0
2019-09-12,1475300.0
2019-12-31,1454400.0
2020-03-19,1789900.0
2020-01-03,1391500.0
2020-06-09,1191400.0
2019-02-15,3019800.0
2019-01-14,2690300.0
2018-07-06,1993600.0
2018-08-07,1440900.0
2018-10-10,1672300.0
2018-12-13,1481100.0
2019-08-26,1437100.0
2019-07-25,1337200.0
2019-05-22,993400.0
2019-03-19,1639000.0
2020-01-06,1859000.0
2020-03-25,1965400.0
2020-06-12,1726500.0
2019-10-22,1471200.0
2020-01-09,1158800.0
2020-06-15,1154600.0
2019-10-25,891500.0
2020-03-31,1228600.0
2020-06-18,1103000.0
2019-04-03,1243300.0
2018-08-22,1184000.0
2018-10-25,1405200.0
2019-01-29,1039000.0
2018-12-28,2518000.0
2018-11-26,1519600.0
2019-08-09,1670900.0
2019-07-08,1873600.0
2019-06-06,1745900.0
2019-09-10,1100100.0
2020-01-15,1547000.0
2020-04-03,1173500.0
2019-10-31,2479000.0
2020-04-06,1452300.0
2020-06-24,2090600.0
2018-11-09,1927500.0
2019-07-23,2154400.0
2019-06-21,1682500.0
2019-05-20,1669300.0
2019-04-18,1669400.0
2018-09-06,1695000.0
2018-10-08,1647500.0
2019-02-13,1666600.0
2018-12-11,1578100.0
2019-09-25,1813500.0
2020-01-21,1678100.0
2020-04-09,2417100.0
2019-11-06,1469500.0
2020-01-24,2243100.0
2020-01-27,2204400.0
2020-04-15,1818500.0
2018-12-26,1787000.0
2019-08-07,1419300.0
2019-06-04,1196600.0
2018-09-21,3090000.0
2018-07-19,1921200.0
2018-08-20,1726500.0
2018-10-23,1926000.0
2019-05-03,869400.0
2019-04-01,1680400.0
2019-02-28,1641500.0
2019-11-12,1301600.0
2020-01-30,1074600.0
2019-11-15,1319500.0
2020-04-21,2016900.0
2019-04-16,1511200.0
2019-03-15,1778200.0
2019-02-11,1217800.0
2019-01-10,1682400.0
2019-08-22,1720900.0
2018-11-07,1338100.0
2018-08-03,2080100.0
2018-09-04,1394400.0
2019-06-19,1211500.0
2019-09-23,2206300.0
2019-11-18,1240700.0
2020-02-05,1118700.0
2020-04-24,1327600.0
2019-03-29,1391900.0
2019-11-21,1117000.0
2020-04-27,2423000.0
2020-02-11,992200.0
2020-04-30,1314000.0
2019-05-01,827500.0
2019-02-26,1213500.0
2019-01-25,977300.0
2018-12-24,910000.0
2019-09-06,947800.0
2018-07-17,965700.0
2018-09-19,1152700.0
2019-08-05,1522200.0
2019-10-08,1048500.0
2019-12-11,2090200.0
2019-11-27,856800.0
2020-02-14,1172700.0
2020-05-06,1111200.0
2019-01-08,2832200.0
2018-12-07,1912800.0
2019-08-20,1122400.0
2018-11-05,1039800.0
2019-07-19,830800.0
2018-10-04,751600.0
2019-06-17,934900.0
2019-05-16,1093300.0
2018-08-01,1163400.0
2019-03-13,1038500.0
2019-12-03,1125000.0
2020-02-20,929000.0
2019-12-06,1071500.0
2020-05-12,1361400.0
