Dates,LNC
2018-08-20,1547800.0
2018-10-23,1836600.0
2019-05-03,1363900.0
2019-04-01,1375900.0
2019-02-28,1969800.0
2019-11-12,1711400.0
2020-01-30,2255300.0
2019-11-15,1736300.0
2020-04-21,1881700.0
2019-04-16,2281800.0
2019-03-15,1719200.0
2019-02-11,1219000.0
2019-01-10,919000.0
2019-08-22,981400.0
2018-11-07,1105300.0
2018-08-03,941500.0
2018-09-04,1508000.0
2019-06-19,1146700.0
2019-09-23,2044100.0
2019-11-18,1354500.0
2020-02-05,1001400.0
2020-04-24,1566000.0
2019-03-29,1798400.0
2019-11-21,2273700.0
2020-04-27,1622200.0
2020-02-11,1447600.0
2020-04-30,1431900.0
2019-05-01,1259700.0
2019-02-26,1180900.0
2019-01-25,1090400.0
2018-12-24,1333400.0
2019-09-06,924500.0
2018-07-17,1040000.0
2018-09-19,1268100.0
2019-08-05,1142200.0
2019-10-08,1260500.0
2019-12-11,1604200.0
2019-11-27,994300.0
2020-02-14,2729900.0
2020-05-06,2003600.0
2019-01-08,1168900.0
2018-12-07,2036400.0
2019-08-20,1687900.0
2018-11-05,1022700.0
2019-07-19,609300.0
2018-10-04,834900.0
2019-06-17,1120700.0
2019-05-16,1032900.0
2018-08-01,1023000.0
2019-03-13,1569900.0
2019-12-03,1141000.0
2020-02-20,874800.0
2019-12-06,1068700.0
2020-05-12,788100.0
2019-12-09,1057300.0
2020-02-26,965000.0
2020-05-15,922100.0
2019-03-28,1496300.0
2018-09-17,1141800.0
2018-08-16,1111200.0
2018-10-19,1821900.0
2019-04-29,1106400.0
2019-01-23,961800.0
2019-09-04,1697700.0
2018-11-20,3391900.0
2019-07-02,2094000.0
2019-05-31,2371000.0
2019-12-12,2420400.0
2020-05-18,2855200.0
2019-09-27,1917500.0
2020-03-03,1587000.0
2020-05-21,1212700.0
2019-05-14,2015100.0
2018-08-31,1843000.0
2018-07-30,1745500.0
2018-10-02,1891600.0
2019-04-12,1664400.0
2019-03-11,1663700.0
2019-02-07,925500.0
2019-07-17,1279100.0
2019-09-19,1874400.0
2019-10-21,1450800.0
2019-12-18,1685100.0
2020-03-06,1199700.0
2019-10-03,891100.0
2020-03-09,859100.0
2020-05-27,1866100.0
2019-12-24,1105700.0
2020-03-12,1446600.0
2018-12-20,993300.0
2019-08-01,1703100.0
2018-08-14,1936800.0
2018-07-13,1718100.0
2018-10-17,1223800.0
2019-05-29,1223800.0
2019-03-26,1073000.0
2019-02-22,1049300.0
2019-10-04,1286700.0
2019-11-05,1102100.0
2019-12-27,1680900.0
2020-06-02,1138600.0
2019-12-30,1509400.0
2020-03-18,1391600.0
2020-06-05,958200.0
2019-07-15,1487200.0
2018-12-03,1057100.0
2019-06-13,1466500.0
2019-01-04,1337800.0
2018-08-29,1171300.0
2019-02-05,849900.0
2018-11-01,658800.0
2019-08-16,1195400.0
2019-04-10,1165800.0
2019-09-17,1251700.0
2019-10-15,1847400.0
2020-01-02,893000.0
2020-06-08,870700.0
2019-10-18,1084300.0
2020-03-24,912000.0
2020-06-11,1446700.0
2020-01-08,1123200.0
2019-04-25,961500.0
2019-07-30,1007400.0
2019-02-20,1617300.0
2018-07-11,1212400.0
2018-09-13,1077100.0
2018-10-15,1194500.0
2019-06-28,1553200.0
2018-12-18,4825500.0
2018-11-16,2671400.0
2019-10-02,2492800.0
2020-03-27,2597500.0
2020-01-10,2069800.0
2019-10-24,2110900.0
2020-03-30,2353000.0
2020-06-17,1326100.0
2020-01-14,1373500.0
2020-04-02,1392600.0
2019-01-02,1470300.0
2019-08-14,1410400.0
2018-10-30,2029300.0
2019-06-11,1191900.0
2019-05-10,1626600.0
2019-04-08,1861800.0
2018-08-27,1160000.0
2018-07-26,1487600.0
2018-09-28,1312900.0
2019-03-07,989400.0
2019-10-30,502800.0
2020-01-17,1090300.0
2020-06-23,1957100.0
2020-04-08,1578400.0
2020-06-26,903000.0
2019-03-22,1014400.0
2019-01-17,802200.0
2019-08-29,1023400.0
2018-11-14,1118400.0
2019-06-26,1403800.0
2018-09-11,1221100.0
2018-07-09,1415900.0
2018-08-10,1310800.0
2019-04-23,1061200.0
2019-09-30,3507000.0
2020-01-23,2338800.0
2019-11-08,868500.0
2020-04-14,318700.0
2019-11-11,1241600.0
2020-01-29,1092700.0
2020-04-17,842700.0
2018-07-24,965900.0
2018-09-26,2347600.0
2019-05-08,1597800.0
2019-03-05,1815400.0
2019-02-01,1809900.0
2018-12-31,2375800.0
2018-11-29,1545500.0
2019-08-12,1371200.0
2019-07-11,1026100.0
2019-09-13,2009900.0
2019-11-14,1243900.0
2020-04-20,1534300.0
2020-02-04,1393600.0
2020-04-23,1302100.0
2018-12-14,768200.0
2019-08-27,1307700.0
2018-08-08,1669000.0
2018-10-11,1450900.0
2018-11-12,1107000.0
2019-07-26,1075500.0
2019-06-24,1427800.0
2019-05-23,1317300.0
2019-03-20,1634000.0
2019-01-15,1147200.0
2019-11-20,1454300.0
2020-02-07,2614000.0
2020-02-10,1857300.0
2020-04-29,1499100.0
2019-11-26,1581100.0
2020-02-13,1691200.0
2019-01-30,1393800.0
2018-08-23,1520400.0
2018-09-24,1577300.0
2018-11-27,1647000.0
2018-10-26,1426500.0
2019-07-09,1774200.0
2019-06-07,2754200.0
2019-05-06,2554100.0
2019-04-04,2380600.0
2019-09-11,2824800.0
2019-11-29,3919400.0
2020-05-05,3389000.0
2019-12-02,3110200.0
2020-02-19,3165000.0
2020-05-08,2213700.0
2019-05-21,3666200.0
2019-03-18,4637300.0
2018-09-07,6362800.0
2018-08-06,3329400.0
2018-10-09,6204300.0
2019-02-14,4789700.0
2018-12-12,4148100.0
2019-07-24,4480300.0
2019-09-26,4408000.0
2019-10-28,3806000.0
2019-12-05,4474600.0
2020-05-11,5803900.0
2019-07-03,5354200.0
2020-02-25,5470600.0
2020-05-14,5818600.0
2020-02-28,4182200.0
2019-08-08,2819000.0
2019-06-05,3857100.0
2018-07-20,4446000.0
2018-08-21,3368600.0
2018-10-24,3939000.0
2019-04-02,3744200.0
2019-03-01,5523600.0
2019-01-28,3969000.0
2018-12-27,3851200.0
2019-09-09,2478100.0
