Dates,LNC
2018-06-20,64.27999877929688
2018-06-21,64.62000274658203
2018-06-25,65.30000305175781
2018-06-22,64.33000183105469
2018-06-26,64.08999633789062
2018-06-27,62.08000183105469
2018-06-28,61.18000030517578
2018-06-29,62.22999954223633
2018-07-02,61.869998931884766
2018-07-03,62.7599983215332
2018-07-05,62.79999923706055
2018-07-16,62.61000061035156
2018-09-18,63.439998626708984
2019-01-24,64.4000015258789
2019-09-05,63.470001220703125
2018-11-21,62.880001068115234
2020-01-13,62.79999923706055
2020-04-01,63.810001373291016
2020-06-19,64.01000213623047
2019-10-29,64.31999969482422
2020-01-16,64.66999816894531
2020-06-22,64.38999938964844
2018-10-03,64.05999755859375
2018-07-31,65.58999633789062
2019-03-12,64.91000366210938
2019-02-08,66.2300033569336
2019-01-07,67.11000061035156
2018-12-06,67.52999877929688
2019-08-19,67.94999694824219
2019-07-18,67.55000305175781
2019-05-15,63.689998626708984
2019-09-20,65.06999969482422
2019-11-01,66.3499984741211
2020-04-07,66.94999694824219
2020-06-25,66.62999725341797
2020-06-16,66.4800033569336
2019-11-04,64.13999938964844
2020-01-22,63.7599983215332
2019-11-07,64.30999755859375
2020-04-13,64.0199966430664
2019-07-01,64.80999755859375
2019-05-30,64.86000061035156
2018-08-15,65.16000366210938
2018-10-18,65.47000122070312
2019-03-27,65.80999755859375
2019-01-22,65.30999755859375
2018-12-21,65.44000244140625
2019-09-03,66.0
2018-11-19,66.91000366210938
2019-08-02,65.94999694824219
2020-01-28,65.62999725341797
2020-04-16,65.25
2019-11-13,65.12999725341797
2020-01-31,65.77999877929688
2018-12-04,64.95999908447266
2018-11-02,64.72000122070312
2019-07-16,64.86000061035156
2018-08-30,63.790000915527344
2018-10-01,63.79999923706055
2019-06-14,64.30999755859375
2019-05-13,65.41000366210938
2019-04-11,66.41000366210938
2019-02-06,66.58000183105469
2019-09-18,67.69000244140625
2020-02-03,69.7300033569336
2020-04-22,69.5
2019-11-19,68.76000213623047
2020-02-06,68.5199966430664
2019-11-22,67.58999633789062
2019-03-25,67.43000030517578
2019-02-21,66.68000030517578
2018-12-19,67.62000274658203
2018-07-12,67.41999816894531
2018-09-14,68.52999877929688
2018-08-13,69.45999908447266
2018-10-16,69.54000091552734
2019-07-31,69.43000030517578
2019-05-28,69.05000305175781
2019-04-26,67.9800033569336
2020-04-28,63.970001220703125
2019-11-25,62.5099983215332
2020-02-12,63.75
2020-05-01,63.290000915527344
2020-05-04,64.19000244140625
2019-06-12,63.529998779296875
2019-04-09,63.099998474121094
2019-03-08,62.349998474121094
2019-02-04,60.439998626708984
2018-07-27,58.369998931884766
2018-08-28,59.040000915527344
2019-01-03,57.54999923706055
2019-08-15,57.060001373291016
2018-10-31,57.5
2019-09-16,59.5
2020-02-18,60.20000076293945
2020-05-07,61.58000183105469
2018-08-17,63.619998931884766
2019-12-04,64.06999969482422
2020-02-21,64.61000061035156
2018-12-17,64.91999816894531
2019-08-30,64.72000122070312
2018-11-15,63.88999938964844
2019-07-29,64.16000366210938
2019-06-27,63.459999084472656
2019-04-24,62.7599983215332
2018-07-10,62.529998779296875
2018-09-12,62.380001068115234
2019-02-19,60.529998779296875
2019-01-18,60.689998626708984
2020-02-24,60.060001373291016
2020-05-13,61.689998626708984
2019-12-10,61.369998931884766
2020-02-27,61.04999923706055
2019-12-13,62.040000915527344
2020-05-19,62.16999816894531
2019-03-06,63.22999954223633
2018-11-30,59.06999969482422
2019-08-13,56.369998931884766
2019-07-12,55.83000183105469
2019-06-10,54.5099983215332
2019-05-09,54.310001373291016
2018-07-25,54.81999969482422
2018-09-27,53.9900016784668
2018-10-29,53.2599983215332
2019-10-16,52.209999084472656
2019-12-16,51.790000915527344
2020-03-04,51.13999938964844
2020-05-22,50.66999816894531
2019-10-01,49.22999954223633
2019-12-19,48.560001373291016
2018-09-10,48.06999969482422
2019-05-24,49.47999954223633
2018-08-09,50.77000045776367
2019-04-22,50.650001525878906
2019-03-21,49.70000076293945
2019-01-16,50.709999084472656
2019-08-28,51.849998474121094
2018-11-13,52.790000915527344
2018-10-12,53.369998931884766
2019-06-25,53.29999923706055
2020-03-10,54.22999954223633
2020-05-28,54.2599983215332
2019-10-07,54.439998626708984
2020-03-13,55.029998779296875
2019-10-10,56.16999816894531
2020-03-16,56.63999938964844
2020-06-03,57.90999984741211
2018-11-28,58.0099983215332
2018-09-25,57.40999984741211
2018-07-23,57.56999969482422
2018-08-24,58.869998931884766
2019-07-10,58.40999984741211
2019-05-07,58.08000183105469
2019-04-05,57.15999984741211
2019-03-04,57.45000076293945
2019-01-31,58.400001525878906
2019-09-12,58.47999954223633
2019-12-31,58.279998779296875
2020-03-19,58.56999969482422
2020-01-03,58.11000061035156
2020-06-09,57.189998626708984
2019-02-15,58.400001525878906
2019-01-14,59.810001373291016
2018-07-06,60.630001068115234
2018-08-07,59.5
2018-10-10,60.5
2018-12-13,60.970001220703125
2019-08-26,61.83000183105469
2019-07-25,62.31999969482422
2019-05-22,62.470001220703125
2019-03-19,63.25
2020-01-06,62.95000076293945
2020-03-25,62.93000030517578
2020-06-12,62.459999084472656
2019-10-22,62.630001068115234
2020-01-09,62.060001373291016
2020-06-15,61.779998779296875
2019-10-25,61.7599983215332
2020-03-31,59.9900016784668
2020-06-18,59.38999938964844
2019-04-03,60.43000030517578
2018-08-22,60.9900016784668
2018-10-25,61.279998779296875
2019-01-29,61.43000030517578
2018-12-28,61.58000183105469
2018-11-26,62.86000061035156
2019-08-09,62.56999969482422
2019-07-08,60.0
2019-06-06,59.13999938964844
2019-09-10,57.459999084472656
2020-01-15,57.150001525878906
2020-04-03,57.599998474121094
2019-10-31,57.63999938964844
2020-04-06,57.650001525878906
2020-06-24,58.4900016784668
2018-11-09,59.459999084472656
2019-07-23,61.060001373291016
2019-06-21,61.77000045776367
2019-05-20,62.0099983215332
2019-04-18,62.619998931884766
2018-09-06,63.189998626708984
2018-10-08,61.72999954223633
2019-02-13,61.61000061035156
2018-12-11,63.27000045776367
2019-09-25,64.68000030517578
2020-01-21,64.27999877929688
2020-04-09,64.69000244140625
2019-11-06,65.91000366210938
2020-01-24,65.87999725341797
2020-01-27,65.58000183105469
2020-04-15,65.55999755859375
2018-12-26,65.1500015258789
2019-08-07,64.66000366210938
2019-06-04,64.79000091552734
2018-09-21,66.2699966430664
2018-07-19,65.83000183105469
2018-08-20,65.80000305175781
2018-10-23,64.62999725341797
2019-05-03,66.12999725341797
2019-04-01,65.33999633789062
2019-02-28,64.8499984741211
2019-11-12,64.86000061035156
2020-01-30,63.66999816894531
2019-11-15,64.04000091552734
2020-04-21,61.91999816894531
2019-04-16,62.220001220703125
2019-03-15,62.88999938964844
2019-02-11,64.26000213623047
2019-01-10,63.810001373291016
2019-08-22,63.68000030517578
2018-11-07,64.51000213623047
2018-08-03,64.20999908447266
2018-09-04,61.900001525878906
2019-06-19,62.86000061035156
2019-09-23,61.880001068115234
2019-11-18,60.900001525878906
2020-02-05,61.290000915527344
2020-04-24,59.15999984741211
2019-03-29,59.11000061035156
2019-11-21,61.720001220703125
2020-04-27,62.13999938964844
2020-02-11,62.79999923706055
2020-04-30,62.66999816894531
2019-05-01,63.439998626708984
2019-02-26,63.90999984741211
2019-01-25,62.869998931884766
2018-12-24,62.880001068115234
2019-09-06,62.52000045776367
2018-07-17,62.27000045776367
2018-09-19,62.220001220703125
2019-08-05,62.439998626708984
2019-10-08,62.400001525878906
2019-12-11,62.880001068115234
2019-11-27,62.7400016784668
2020-02-14,61.63999938964844
2020-05-06,61.77000045776367
2019-01-08,62.90999984741211
2018-12-07,63.380001068115234
2019-08-20,64.91000366210938
2018-11-05,64.27999877929688
2019-07-19,65.0199966430664
2018-10-04,65.56999969482422
2019-06-17,64.8499984741211
2019-05-16,64.83999633789062
2018-08-01,64.62000274658203
2019-03-13,64.91999816894531
2019-12-03,65.7699966430664
2020-02-20,66.06999969482422
2019-12-06,66.31999969482422
2020-05-12,65.47000122070312
2019-12-09,65.47000122070312
2020-02-26,65.83999633789062
2020-05-15,65.11000061035156
2019-03-28,65.30999755859375
2018-09-17,65.68000030517578
2018-08-16,65.80000305175781
2018-10-19,65.81999969482422
2019-04-29,65.83000183105469
2019-01-23,65.26000213623047
2019-09-04,65.08000183105469
2018-11-20,59.220001220703125
2019-07-02,58.029998779296875
2019-05-31,56.040000915527344
2019-12-12,56.130001068115234
2020-05-18,54.20000076293945
2019-09-27,55.7599983215332
2020-03-03,55.63999938964844
2020-05-21,53.560001373291016
2019-05-14,53.11000061035156
2018-08-31,51.66999816894531
2018-07-30,51.4900016784668
2018-10-02,52.34000015258789
2019-04-12,54.040000915527344
2019-03-11,53.06999969482422
2019-02-07,53.4900016784668
2019-07-17,53.959999084472656
2019-09-19,52.0
2019-10-21,52.15999984741211
2019-12-18,50.81999969482422
2020-03-06,50.900001525878906
2019-10-03,52.380001068115234
2020-03-09,52.709999084472656
2020-05-27,51.459999084472656
2019-12-24,52.400001525878906
2020-03-12,53.7599983215332
2018-12-20,54.310001373291016
2019-08-01,55.33000183105469
2018-08-14,57.86000061035156
2018-07-13,58.619998931884766
2018-10-17,58.59000015258789
2019-05-29,61.029998779296875
2019-03-26,60.310001373291016
2019-02-22,60.130001068115234
2019-10-04,59.900001525878906
2019-11-05,60.779998779296875
2019-12-27,60.72999954223633
2020-06-02,59.619998931884766
2019-12-30,59.459999084472656
2020-03-18,59.369998931884766
2020-06-05,59.849998474121094
2019-07-15,60.5
2018-12-03,60.16999816894531
2019-06-13,57.72999954223633
2019-01-04,55.619998931884766
2018-08-29,54.04999923706055
2019-02-05,55.2599983215332
2018-11-01,55.90999984741211
2019-08-16,53.880001068115234
2019-04-10,53.7400016784668
2019-09-17,54.7599983215332
2019-10-15,57.279998779296875
2020-01-02,57.459999084472656
2020-06-08,58.540000915527344
2019-10-18,58.41999816894531
2020-03-24,58.599998474121094
2020-06-11,58.689998626708984
2020-01-08,60.349998474121094
2019-04-25,59.93000030517578
2019-07-30,60.779998779296875
2019-02-20,60.59000015258789
2018-07-11,60.77000045776367
2018-09-13,61.779998779296875
2018-10-15,61.77000045776367
2019-06-28,60.90999984741211
2018-12-18,55.04999923706055
2018-11-16,56.630001068115234
2019-10-02,58.33000183105469
2020-03-27,59.70000076293945
2020-01-10,59.790000915527344
2019-10-24,61.0
2020-03-30,59.5099983215332
2020-06-17,59.400001525878906
2020-01-14,59.95000076293945
2020-04-02,59.119998931884766
2019-01-02,58.869998931884766
2019-08-14,58.43000030517578
2018-10-30,57.209999084472656
2019-06-11,57.650001525878906
2019-05-10,56.380001068115234
2019-04-08,56.41999816894531
2018-08-27,57.349998474121094
2018-07-26,57.720001220703125
2018-09-28,58.279998779296875
2019-03-07,58.7400016784668
2019-10-30,59.0099983215332
2020-01-17,58.5099983215332
