Dates,ANSS
2018-09-04,395100.0
2019-06-19,396800.0
2019-09-23,564200.0
2019-11-18,281300.0
2020-02-05,223300.0
2020-04-24,384900.0
2019-03-29,426600.0
2019-11-21,363500.0
2020-04-27,267900.0
2020-02-11,348500.0
2020-04-30,279400.0
2019-05-01,298200.0
2019-02-26,362800.0
2019-01-25,259600.0
2018-12-24,390400.0
2019-09-06,273800.0
2018-07-17,379700.0
2018-09-19,415300.0
2019-08-05,306200.0
2019-10-08,393800.0
2019-12-11,661500.0
2019-11-27,349300.0
2020-02-14,466800.0
2020-05-06,520600.0
2019-01-08,288200.0
2018-12-07,674400.0
2019-08-20,473900.0
2018-11-05,367200.0
2019-07-19,222000.0
2018-10-04,242700.0
2019-06-17,355900.0
2019-05-16,506100.0
2018-08-01,357800.0
2019-03-13,379500.0
2019-12-03,255400.0
2020-02-20,469300.0
2019-12-06,298000.0
2020-05-12,343400.0
2019-12-09,575500.0
2020-02-26,418000.0
2020-05-15,392900.0
2019-03-28,304500.0
2018-09-17,404400.0
2018-08-16,368600.0
2018-10-19,222800.0
2019-04-29,247300.0
2019-01-23,275700.0
2019-09-04,358600.0
2018-11-20,472700.0
2019-07-02,579500.0
2019-05-31,1002500.0
2019-12-12,1129800.0
2020-05-18,800100.0
2019-09-27,546000.0
2020-03-03,539900.0
2020-05-21,410400.0
2019-05-14,444900.0
2018-08-31,561700.0
2018-07-30,519200.0
2018-10-02,432600.0
2019-04-12,418400.0
2019-03-11,454300.0
2019-02-07,330800.0
2019-07-17,390900.0
2019-09-19,618700.0
2019-10-21,420200.0
2019-12-18,646600.0
2020-03-06,902200.0
2019-10-03,354900.0
2020-03-09,559500.0
2020-05-27,520100.0
2019-12-24,391600.0
2020-03-12,669800.0
2018-12-20,384600.0
2019-08-01,772900.0
2018-08-14,667000.0
2018-07-13,591500.0
2018-10-17,667800.0
2019-05-29,536300.0
2019-03-26,453300.0
2019-02-22,483300.0
2019-10-04,593400.0
2019-11-05,411100.0
2019-12-27,585600.0
2020-06-02,281000.0
2019-12-30,321300.0
2020-03-18,410100.0
2020-06-05,373300.0
2019-07-15,517800.0
2018-12-03,386100.0
2019-06-13,528700.0
2019-01-04,344700.0
2018-08-29,329800.0
2019-02-05,326700.0
2018-11-01,323900.0
2019-08-16,299200.0
2019-04-10,285600.0
2019-09-17,242900.0
2019-10-15,337700.0
2020-01-02,255500.0
2020-06-08,275600.0
2019-10-18,426100.0
2020-03-24,345000.0
2020-06-11,458900.0
2020-01-08,295700.0
2019-04-25,533000.0
2019-07-30,352600.0
2019-02-20,365300.0
2018-07-11,297400.0
2018-09-13,338300.0
2018-10-15,282800.0
2019-06-28,274600.0
2018-12-18,417200.0
2018-11-16,788300.0
2019-10-02,559200.0
2020-03-27,555400.0
2020-01-10,482800.0
2019-10-24,739100.0
2020-03-30,597400.0
2020-06-17,328100.0
2020-01-14,413400.0
2020-04-02,431000.0
2019-01-02,278800.0
2019-08-14,607900.0
2018-10-30,684100.0
2019-06-11,496800.0
2019-05-10,507400.0
2019-04-08,605000.0
2018-08-27,403000.0
2018-07-26,452900.0
2018-09-28,405500.0
2019-03-07,375000.0
2019-10-30,317300.0
2020-01-17,729100.0
2020-06-23,729300.0
2020-04-08,579100.0
2020-06-26,485500.0
2019-03-22,368900.0
2019-01-17,1132600.0
2019-08-29,578300.0
2018-11-14,474000.0
2019-06-26,621900.0
2018-09-11,448500.0
2018-07-09,476900.0
2018-08-10,734800.0
2019-04-23,579200.0
2019-09-30,505900.0
2020-01-23,3582200.0
2019-11-08,919700.0
2020-04-14,140800.0
2019-11-11,265100.0
2020-01-29,258300.0
2020-04-17,300800.0
2018-07-24,442800.0
2018-09-26,657900.0
2019-05-08,468400.0
2019-03-05,612600.0
2019-02-01,357100.0
2018-12-31,445900.0
2018-11-29,513200.0
2019-08-12,266200.0
2019-07-11,437000.0
2019-09-13,506100.0
2019-11-14,426900.0
2020-04-20,713100.0
2020-02-04,531700.0
2020-04-23,645800.0
2018-12-14,530300.0
2019-08-27,493900.0
2018-08-08,460000.0
2018-10-11,425100.0
2018-11-12,383800.0
2019-07-26,341200.0
2019-06-24,298300.0
2019-05-23,482400.0
2019-03-20,640300.0
2019-01-15,462300.0
2019-11-20,672300.0
2020-02-07,392400.0
2020-02-10,417000.0
2020-04-29,471400.0
2019-11-26,435300.0
2020-02-13,449200.0
2019-01-30,600300.0
2018-08-23,911900.0
2018-09-24,700600.0
2018-11-27,524700.0
2018-10-26,525400.0
2019-07-09,584200.0
2019-06-07,953900.0
2019-05-06,681500.0
2019-04-04,659300.0
2019-09-11,1534800.0
2019-11-29,1674500.0
2020-05-05,1386600.0
2019-12-02,811200.0
2020-02-19,733200.0
2020-05-08,821900.0
2019-05-21,1034100.0
2019-03-18,1058600.0
2018-09-07,1003300.0
2018-08-06,726200.0
2018-10-09,1312300.0
2019-02-14,1393700.0
2018-12-12,1232900.0
2019-07-24,1238000.0
2019-09-26,1103700.0
2019-10-28,910700.0
2019-12-05,1309600.0
2020-05-11,892200.0
2019-07-03,1315100.0
2020-02-25,1030000.0
2020-05-14,728600.0
2020-02-28,752100.0
2019-08-08,645300.0
2019-06-05,945700.0
2018-07-20,920000.0
2018-08-21,673600.0
2018-10-24,576400.0
2019-04-02,661000.0
2019-03-01,698900.0
2019-01-28,425700.0
2018-12-27,821200.0
2019-09-09,367400.0
2020-03-02,556300.0
2020-05-20,498900.0
2019-12-17,556000.0
2020-03-05,846100.0
2019-02-12,429600.0
2019-01-11,567400.0
2018-12-10,508900.0
2019-08-23,317000.0
2018-11-08,472100.0
2019-07-22,395300.0
2019-06-20,485100.0
2018-09-05,648600.0
2019-04-17,842600.0
2019-09-24,580900.0
2019-12-20,447900.0
2020-05-26,763500.0
2019-04-30,595300.0
2019-12-23,874500.0
2020-03-11,568600.0
2020-05-29,500400.0
2019-12-26,538000.0
2020-06-01,397700.0
2019-05-02,541100.0
2019-02-27,451100.0
2018-11-23,399400.0
2019-08-06,406900.0
2018-07-18,442100.0
2018-09-20,476500.0
2018-10-22,276500.0
2019-07-05,526600.0
2019-06-03,468100.0
2019-10-09,615500.0
2019-10-11,776100.0
2020-03-17,536700.0
2020-06-04,454900.0
2019-10-14,408300.0
2020-03-20,349000.0
2018-11-06,450300.0
2019-06-18,412000.0
