Dates,ANSS
2018-06-20,179.0
2018-06-21,180.8300018310547
2018-06-25,178.3800048828125
2018-06-22,175.22000122070312
2018-06-26,176.49000549316406
2018-06-27,171.58999633789062
2018-06-28,171.22999572753906
2018-06-29,173.17999267578125
2018-07-02,172.38999938964844
2018-07-03,172.97000122070312
2018-07-05,172.74000549316406
2018-07-16,175.16000366210938
2018-09-18,176.8000030517578
2019-01-24,176.1699981689453
2019-09-05,175.0399932861328
2018-11-21,177.3000030517578
2020-01-13,179.2100067138672
2020-04-01,178.27999877929688
2020-06-19,177.86000061035156
2019-10-29,179.77000427246094
2020-01-16,179.80999755859375
2020-06-22,178.74000549316406
2018-10-03,176.97999572753906
2018-07-31,173.3800048828125
2019-03-12,175.5800018310547
2019-02-08,176.0399932861328
2019-01-07,173.4600067138672
2018-12-06,168.13999938964844
2019-08-19,167.5
2019-07-18,168.5
2019-05-15,170.1999969482422
2019-09-20,170.35000610351562
2019-11-01,170.0
2020-04-07,170.0
2020-06-25,170.9600067138672
2020-06-16,171.69000244140625
2019-11-04,170.05999755859375
2020-01-22,170.1300048828125
2019-11-07,171.1999969482422
2020-04-13,169.72000122070312
2019-07-01,171.72999572753906
2019-05-30,170.35000610351562
2018-08-15,171.57000732421875
2018-10-18,172.49000549316406
2019-03-27,172.75
2019-01-22,175.14999389648438
2018-12-21,176.05999755859375
2019-09-03,178.0800018310547
2018-11-19,179.94000244140625
2019-08-02,183.6300048828125
2020-01-28,184.32000732421875
2020-04-16,185.36000061035156
2019-11-13,184.52000427246094
2020-01-31,183.10000610351562
2018-12-04,182.77999877929688
2018-11-02,182.72999572753906
2019-07-16,185.14999389648438
2018-08-30,184.8699951171875
2018-10-01,184.3000030517578
2019-06-14,187.58999633789062
2019-05-13,187.6999969482422
2019-04-11,183.74000549316406
2019-02-06,183.99000549316406
2019-09-18,182.72000122070312
2020-02-03,183.07000732421875
2020-04-22,182.25
2019-11-19,180.4199981689453
2020-02-06,183.44000244140625
2019-11-22,184.27999877929688
2019-03-25,185.5
2019-02-21,180.99000549316406
2018-12-19,185.41000366210938
2018-07-12,181.82000732421875
2018-09-14,181.8300018310547
2018-08-13,174.1300048828125
2018-10-16,172.0
2019-07-31,166.25999450683594
2019-05-28,164.64999389648438
2019-04-26,155.55999755859375
2020-04-28,153.11000061035156
2019-11-25,155.47999572753906
2020-02-12,156.27999877929688
2020-05-01,158.2100067138672
2020-05-04,157.6199951171875
2019-06-12,153.67999267578125
2019-04-09,150.5500030517578
2019-03-08,150.02000427246094
2019-02-04,147.7100067138672
2018-07-27,143.69000244140625
2018-08-28,144.1300048828125
2019-01-03,140.77999877929688
2019-08-15,141.24000549316406
2018-10-31,143.52000427246094
2019-09-16,148.10000610351562
2020-02-18,149.1199951171875
2020-05-07,154.41000366210938
2018-08-17,151.91000366210938
2019-12-04,151.32000732421875
2020-02-21,154.13999938964844
2018-12-17,165.38999938964844
2019-08-30,163.49000549316406
2018-11-15,158.8800048828125
2019-07-29,157.64999389648438
2019-06-27,155.32000732421875
2019-04-24,153.92999267578125
2018-07-10,154.0800018310547
2018-09-12,148.3800048828125
2019-02-19,145.5800018310547
2019-01-18,150.49000549316406
2020-02-24,149.19000244140625
2020-05-13,150.7899932861328
2019-12-10,150.91000366210938
2020-02-27,152.63999938964844
2019-12-13,157.39999389648438
2020-05-19,158.1300048828125
2019-03-06,162.22999572753906
2018-11-30,156.02000427246094
2019-08-13,152.07000732421875
2019-07-12,151.1699981689453
2019-06-10,151.72000122070312
2019-05-09,152.8300018310547
2018-07-25,155.05999755859375
2018-09-27,153.50999450683594
2018-10-29,149.5500030517578
2019-10-16,145.30999755859375
2019-12-16,147.9499969482422
2020-03-04,144.77000427246094
2020-05-22,140.9600067138672
2019-10-01,139.99000549316406
2019-12-19,136.8000030517578
2018-09-10,137.50999450683594
2019-05-24,138.75999450683594
2018-08-09,140.7899932861328
2019-04-22,142.1699981689453
2019-03-21,137.13999938964844
2019-01-16,137.44000244140625
2019-08-28,138.4600067138672
2018-11-13,143.35000610351562
2018-10-12,146.5800018310547
2019-06-25,148.25999450683594
2020-03-10,150.5500030517578
2020-05-28,151.00999450683594
2019-10-07,151.6300048828125
2020-03-13,153.6699981689453
2019-10-10,155.50999450683594
2020-03-16,155.52999877929688
2020-06-03,158.60000610351562
2018-11-28,157.41000366210938
2018-09-25,157.64999389648438
2018-07-23,157.00999450683594
2018-08-24,159.8699951171875
2019-07-10,158.8699951171875
2019-05-07,158.27000427246094
2019-04-05,159.0399932861328
2019-03-04,161.30999755859375
2019-01-31,161.24000549316406
2019-09-12,166.57000732421875
2019-12-31,168.8800048828125
2020-03-19,166.00999450683594
2020-01-03,168.80999755859375
2020-06-09,167.2899932861328
2019-02-15,170.99000549316406
2019-01-14,171.66000366210938
2018-07-06,173.0
2018-08-07,171.3699951171875
2018-10-10,173.00999450683594
2018-12-13,173.30999755859375
2019-08-26,173.5
2019-07-25,172.9600067138672
2019-05-22,174.75
2019-03-19,174.9199981689453
2020-01-06,173.19000244140625
2020-03-25,173.27000427246094
2020-06-12,176.9199981689453
2019-10-22,178.33999633789062
2020-01-09,177.5500030517578
2020-06-15,178.72999572753906
2019-10-25,177.1999969482422
2020-03-31,177.42999267578125
2020-06-18,174.5500030517578
2019-04-03,177.8699951171875
2018-08-22,178.14999389648438
2018-10-25,180.64999389648438
2019-01-29,179.77000427246094
2018-12-28,179.2899932861328
2018-11-26,179.35000610351562
2019-08-09,180.07000732421875
2019-07-08,179.2899932861328
2019-06-06,179.02999877929688
2019-09-10,177.10000610351562
2020-01-15,175.5500030517578
2020-04-03,175.89999389648438
2019-10-31,176.7899932861328
2020-04-06,178.25999450683594
2020-06-24,181.19000244140625
2018-11-09,184.0500030517578
2019-07-23,185.5399932861328
2019-06-21,187.52000427246094
2019-05-20,183.14999389648438
2019-04-18,184.8300018310547
2018-09-06,184.0800018310547
2018-10-08,185.38999938964844
2019-02-13,186.66000366210938
2018-12-11,187.4600067138672
2019-09-25,188.3300018310547
2020-01-21,188.9199981689453
2020-04-09,188.6300048828125
2019-11-06,186.49000549316406
2020-01-24,184.25999450683594
2020-01-27,184.97999572753906
2020-04-15,189.52000427246094
2018-12-26,192.3699951171875
2019-08-07,189.58999633789062
2019-06-04,190.49000549316406
2018-09-21,193.55999755859375
2018-07-19,192.0399932861328
2018-08-20,192.08999633789062
2018-10-23,184.0800018310547
2019-05-03,191.64999389648438
2019-04-01,188.25
2019-02-28,187.2899932861328
2019-11-12,187.22999572753906
2020-01-30,188.0800018310547
2019-11-15,187.50999450683594
2020-04-21,183.22999572753906
2019-04-16,184.27999877929688
2019-03-15,184.14999389648438
2019-02-11,187.6199951171875
2019-01-10,187.49000549316406
2019-08-22,183.66000366210938
2018-11-07,185.64999389648438
2018-08-03,184.25999450683594
2018-09-04,179.1999969482422
2019-06-19,180.82000732421875
2019-09-23,180.3300018310547
2019-11-18,178.22000122070312
2020-02-05,179.3800048828125
2020-04-24,178.0
2019-03-29,174.25
2019-11-21,175.89999389648438
2020-04-27,182.8000030517578
2020-02-11,184.61000061035156
2020-04-30,189.88999938964844
2019-05-01,192.0
2019-02-26,192.9600067138672
2019-01-25,194.83999633789062
2018-12-24,197.64999389648438
2019-09-06,195.6699981689453
2018-07-17,196.6699981689453
2018-09-19,199.91000366210938
2019-08-05,201.2100067138672
2019-10-08,203.17999267578125
2019-12-11,200.7899932861328
2019-11-27,200.55999755859375
2020-02-14,196.16000366210938
2020-05-06,197.0
2019-01-08,199.22999572753906
2018-12-07,201.3000030517578
2019-08-20,206.5800018310547
2018-11-05,205.8300018310547
2019-07-19,207.14999389648438
2018-10-04,205.1199951171875
2019-06-17,206.52000427246094
2019-05-16,205.5500030517578
2018-08-01,207.5500030517578
2019-03-13,208.52000427246094
2019-12-03,209.67999267578125
2020-02-20,210.22000122070312
2019-12-06,208.86000061035156
2020-05-12,209.5399932861328
2019-12-09,206.3800048828125
2020-02-26,207.97000122070312
2020-05-15,209.47000122070312
2019-03-28,209.6300048828125
2018-09-17,212.1199951171875
2018-08-16,212.89999389648438
2018-10-19,212.9499969482422
2019-04-29,207.9600067138672
2019-01-23,207.1300048828125
2019-09-04,200.80999755859375
2018-11-20,200.27999877929688
2019-07-02,193.9499969482422
2019-05-31,186.80999755859375
2019-12-12,195.38999938964844
2020-05-18,195.74000549316406
2019-09-27,203.42999267578125
2020-03-03,206.35000610351562
2020-05-21,205.13999938964844
2019-05-14,206.9600067138672
2018-08-31,204.42999267578125
2018-07-30,201.9499969482422
2018-10-02,205.2100067138672
2019-04-12,210.75999450683594
2019-03-11,210.97000122070312
2019-02-07,213.4199981689453
2019-07-17,215.47999572753906
2019-09-19,210.0800018310547
2019-10-21,210.6999969482422
2019-12-18,208.55999755859375
2020-03-06,203.27000427246094
2019-10-03,206.52000427246094
2020-03-09,204.13999938964844
2020-05-27,205.3300018310547
2019-12-24,207.6300048828125
2020-03-12,213.6999969482422
2018-12-20,216.63999938964844
2019-08-01,211.6199951171875
2018-08-14,209.10000610351562
2018-07-13,210.7899932861328
2018-10-17,208.97999572753906
2019-05-29,211.16000366210938
2019-03-26,210.4499969482422
2019-02-22,212.6300048828125
2019-10-04,214.25
2019-11-05,216.8000030517578
2019-12-27,215.3000030517578
2020-06-02,214.36000061035156
2019-12-30,213.0
2020-03-18,211.4600067138672
2020-06-05,215.94000244140625
2019-07-15,215.05999755859375
2018-12-03,217.19000244140625
2019-06-13,216.50999450683594
2019-01-04,211.66000366210938
2018-08-29,213.17999267578125
2019-02-05,220.49000549316406
2018-11-01,222.49000549316406
2019-08-16,216.52000427246094
2019-04-10,219.16000366210938
2019-09-17,219.44000244140625
2019-10-15,222.32000732421875
2020-01-02,223.1699981689453
2020-06-08,225.22000122070312
2019-10-18,221.4600067138672
2020-03-24,220.63999938964844
2020-06-11,216.10000610351562
2020-01-08,218.00999450683594
2019-04-25,214.1999969482422
2019-07-30,213.6699981689453
2019-02-20,217.0
2018-07-11,219.94000244140625
2018-09-13,220.32000732421875
2018-10-15,222.0
2019-06-28,221.1300048828125
2018-12-18,219.64999389648438
