Dates,VTR
2018-06-20,1708700.0
2018-06-21,1664900.0
2018-06-25,2504500.0
2018-06-22,2236100.0
2018-06-26,2029400.0
2018-06-27,2002700.0
2018-06-28,2679500.0
2018-06-29,2998300.0
2018-07-02,3253500.0
2018-07-03,2084300.0
2018-07-05,2467400.0
2018-07-16,1850700.0
2018-09-18,2075300.0
2019-01-24,1632100.0
2019-09-05,1367700.0
2018-11-21,1294400.0
2020-01-13,1485700.0
2020-04-01,1357000.0
2020-06-19,1810800.0
2019-10-29,2071100.0
2020-01-16,4303800.0
2020-06-22,1894200.0
2018-10-03,3401400.0
2018-07-31,2537700.0
2019-03-12,1736500.0
2019-02-08,3723300.0
2019-01-07,4404900.0
2018-12-06,2416500.0
2019-08-19,3095900.0
2019-07-18,1978900.0
2019-05-15,1454400.0
2019-09-20,2379300.0
2019-11-01,1705400.0
2020-04-07,2394100.0
2020-06-25,1894900.0
2020-06-16,2300700.0
2019-11-04,1484200.0
2020-01-22,1471900.0
2019-11-07,1889400.0
2020-04-13,2060900.0
2019-07-01,1289200.0
2019-05-30,1552800.0
2018-08-15,1887200.0
2018-10-18,1529400.0
2019-03-27,1265900.0
2019-01-22,2341500.0
2018-12-21,2265600.0
2019-09-03,1921500.0
2018-11-19,1522700.0
2019-08-02,1443900.0
2020-01-28,1353300.0
2020-04-16,1655400.0
2019-11-13,1333400.0
2020-01-31,3347600.0
2018-12-04,1402400.0
2018-11-02,1518100.0
2019-07-16,1405700.0
2018-08-30,1453000.0
2018-10-01,1235600.0
2019-06-14,1209300.0
2019-05-13,2065200.0
2019-04-11,1600900.0
2019-02-06,1650800.0
2019-09-18,1416400.0
2020-02-03,2517300.0
2020-04-22,3710100.0
2019-11-19,2597000.0
2020-02-06,1995300.0
2019-11-22,2272100.0
2019-03-25,2531500.0
2019-02-21,2514900.0
2018-12-19,1863700.0
2018-07-12,1451700.0
2018-09-14,2574100.0
2018-08-13,1804300.0
2018-10-16,2117300.0
2019-07-31,2883500.0
2019-05-28,1663700.0
2019-04-26,3050400.0
2020-04-28,3631300.0
2019-11-25,3035700.0
2020-02-12,2127500.0
2020-05-01,3205800.0
2020-05-04,2026800.0
2019-06-12,2063700.0
2019-04-09,2456600.0
2019-03-08,3099000.0
2019-02-04,2426800.0
2018-07-27,3322300.0
2018-08-28,3215300.0
2019-01-03,4342500.0
2019-08-15,3949500.0
2018-10-31,4306900.0
2019-09-16,4012300.0
2020-02-18,2610500.0
2020-05-07,3015200.0
2018-08-17,1878800.0
2019-12-04,1964700.0
2020-02-21,1286700.0
2018-12-17,1130800.0
2019-08-30,1286700.0
2018-11-15,1556700.0
2019-07-29,2968300.0
2019-06-27,2038400.0
2019-04-24,2369600.0
2018-07-10,2053100.0
2018-09-12,2527300.0
2019-02-19,3022400.0
2019-01-18,1974900.0
2020-02-24,423500.0
2020-05-13,1416700.0
2019-12-10,1836000.0
2020-02-27,1795200.0
2019-12-13,1109900.0
2020-05-19,2735500.0
2019-03-06,1541100.0
2018-11-30,3561700.0
2019-08-13,4103500.0
2019-07-12,3533100.0
2019-06-10,2479600.0
2019-05-09,1877700.0
2018-07-25,3186800.0
2018-09-27,4885300.0
2018-10-29,2236100.0
2019-10-16,2708700.0
2019-12-16,1705800.0
2020-03-04,2571100.0
2020-05-22,2655600.0
2019-10-01,4542500.0
2019-12-19,1114400.0
2018-09-10,1586100.0
2019-05-24,1774000.0
2018-08-09,1931600.0
2019-04-22,1739200.0
2019-03-21,1794400.0
2019-01-16,2293500.0
2019-08-28,2361900.0
2018-11-13,2718400.0
2018-10-12,3324100.0
2019-06-25,2002000.0
2020-03-10,2281600.0
2020-05-28,2112400.0
2019-10-07,2801300.0
2020-03-13,2378200.0
2019-10-10,2319400.0
2020-03-16,2175500.0
2020-06-03,2478900.0
2018-11-28,2384300.0
2018-09-25,1346200.0
2018-07-23,1098500.0
2018-08-24,1284700.0
2019-07-10,1585000.0
2019-05-07,1610400.0
2019-04-05,1622400.0
2019-03-04,4495300.0
2019-01-31,2026100.0
2019-09-12,1864500.0
2019-12-31,2173600.0
2020-03-19,1656500.0
2020-01-03,1715500.0
2020-06-09,2480100.0
2019-02-15,2504300.0
2019-01-14,3259500.0
2018-07-06,1875200.0
2018-08-07,2043500.0
2018-10-10,1925900.0
2018-12-13,1675200.0
2019-08-26,2512300.0
2019-07-25,2187700.0
2019-05-22,1176200.0
2019-03-19,1419700.0
2020-01-06,1199800.0
2020-03-25,1616600.0
2020-06-12,3079700.0
2019-10-22,2535200.0
2020-01-09,2054600.0
2020-06-15,1305700.0
2019-10-25,2223300.0
2020-03-31,1573300.0
2020-06-18,1101300.0
2019-04-03,1150400.0
2018-08-22,1590200.0
2018-10-25,1851300.0
2019-01-29,2211900.0
2018-12-28,3503700.0
2018-11-26,2691000.0
2019-08-09,2663700.0
2019-07-08,2398200.0
2019-06-06,3250000.0
2019-09-10,3413800.0
2020-01-15,2335200.0
2020-04-03,1514500.0
2019-10-31,2202900.0
2020-04-06,2176200.0
2020-06-24,2780600.0
2018-11-09,2257600.0
2019-07-23,2026500.0
2019-06-21,2196500.0
2019-05-20,1669000.0
2019-04-18,1378500.0
2018-09-06,1112800.0
2018-10-08,1131600.0
2019-02-13,1329200.0
2018-12-11,1576500.0
2019-09-25,1388000.0
2020-01-21,1322200.0
2020-04-09,2671600.0
2019-11-06,2662800.0
2020-01-24,1565900.0
2020-01-27,2943900.0
2020-04-15,2545100.0
2018-12-26,2701400.0
2019-08-07,2345900.0
2019-06-04,2163400.0
2018-09-21,1543000.0
2018-07-19,2790900.0
2018-08-20,1597400.0
2018-10-23,2198400.0
2019-05-03,1768000.0
2019-04-01,1193100.0
2019-02-28,1546700.0
2019-11-12,1466000.0
2020-01-30,943800.0
2019-11-15,912900.0
2020-04-21,1323700.0
2019-04-16,1165200.0
2019-03-15,1257700.0
2019-02-11,1294200.0
2019-01-10,1313900.0
2019-08-22,1095600.0
2018-11-07,920900.0
2018-08-03,1050800.0
2018-09-04,1733100.0
2019-06-19,1189200.0
2019-09-23,2364400.0
2019-11-18,1430300.0
2020-02-05,1536300.0
2020-04-24,1959100.0
2019-03-29,2270900.0
2019-11-21,9923700.0
2020-04-27,5064900.0
2020-02-11,3302400.0
2020-04-30,2465700.0
2019-05-01,2244400.0
2019-02-26,2532400.0
2019-01-25,2554300.0
2018-12-24,1450000.0
2019-09-06,3743400.0
2018-07-17,3607300.0
2018-09-19,2530300.0
2019-08-05,2977900.0
2019-10-08,7832100.0
2019-12-11,7784500.0
2019-11-27,2843500.0
2020-02-14,3428100.0
2020-05-06,2897300.0
2019-01-08,2129000.0
2018-12-07,2814000.0
2019-08-20,2038600.0
2018-11-05,2797300.0
2019-07-19,1321200.0
2018-10-04,1497200.0
2019-06-17,2001800.0
2019-05-16,1833900.0
2018-08-01,2314400.0
2019-03-13,1768200.0
2019-12-03,2049400.0
2020-02-20,1451600.0
2019-12-06,1713400.0
2020-05-12,1614800.0
2019-12-09,1256700.0
2020-02-26,1958200.0
2020-05-15,1382400.0
2019-03-28,2113800.0
2018-09-17,1753300.0
2018-08-16,1803000.0
2018-10-19,2394200.0
2019-04-29,1586600.0
2019-01-23,986800.0
2019-09-04,1720900.0
2018-11-20,2069300.0
2019-07-02,1749600.0
2019-05-31,1779100.0
2019-12-12,1420000.0
2020-05-18,3300400.0
2019-09-27,2293300.0
2020-03-03,1793300.0
2020-05-21,1300500.0
2019-05-14,1496100.0
2018-08-31,2779200.0
2018-07-30,2079400.0
2018-10-02,1838600.0
2019-04-12,1566500.0
2019-03-11,1466800.0
2019-02-07,1100800.0
2019-07-17,1064100.0
2019-09-19,1502700.0
2019-10-21,1960000.0
2019-12-18,1794600.0
2020-03-06,1288600.0
2019-10-03,1460700.0
2020-03-09,1073900.0
2020-05-27,1594300.0
2019-12-24,1324900.0
2020-03-12,2018500.0
2018-12-20,1428400.0
2019-08-01,1342500.0
2018-08-14,2697700.0
2018-07-13,3305600.0
2018-10-17,2892500.0
2019-05-29,3402200.0
2019-03-26,2286100.0
2019-02-22,1673400.0
2019-10-04,1461600.0
2019-11-05,1387700.0
2019-12-27,4720000.0
2020-06-02,1676100.0
2019-12-30,1628700.0
2020-03-18,1115000.0
2020-06-05,997200.0
2019-07-15,1174800.0
2018-12-03,1479900.0
2019-06-13,1216400.0
2019-01-04,1762000.0
2018-08-29,1644400.0
2019-02-05,1413500.0
2018-11-01,1873200.0
2019-08-16,2182200.0
2019-04-10,1401300.0
2019-09-17,1457000.0
2019-10-15,1828800.0
2020-01-02,1451900.0
2020-06-08,1795600.0
2019-10-18,1510500.0
2020-03-24,1294200.0
2020-06-11,1534300.0
2020-01-08,1537000.0
2019-04-25,1523600.0
2019-07-30,1652800.0
2019-02-20,1229500.0
2018-07-11,6621800.0
2018-09-13,7252300.0
2018-10-15,4379900.0
2019-06-28,2356900.0
2018-12-18,2122100.0
2018-11-16,2114600.0
2019-10-02,2398200.0
2020-03-27,3919500.0
2020-01-10,3084200.0
2019-10-24,2910900.0
2020-03-30,1649000.0
2020-06-17,1702300.0
2020-01-14,2719200.0
2020-04-02,2418100.0
2019-01-02,1808600.0
2019-08-14,1952700.0
2018-10-30,2016600.0
2019-06-11,1876900.0
2019-05-10,1683900.0
2019-04-08,1678200.0
2018-08-27,1849000.0
2018-07-26,2065400.0
2018-09-28,3497500.0
2019-03-07,2383100.0
2019-10-30,1138000.0
2020-01-17,2300000.0
2020-06-23,2209200.0
2020-04-08,1700100.0
2020-06-26,1667000.0
2019-03-22,2261400.0
2019-01-17,1578200.0
2019-08-29,3236000.0
2018-11-14,2995700.0
2019-06-26,3192900.0
2018-09-11,3807400.0
2018-07-09,4254200.0
2018-08-10,2729400.0
2019-04-23,2016600.0
2019-09-30,2234800.0
2020-01-23,4843300.0
2019-11-08,1642900.0
2020-04-14,745200.0
2019-11-11,1057800.0
2020-01-29,1239100.0
2020-04-17,1458500.0
2018-07-24,1952600.0
2018-09-26,2224500.0
2019-05-08,2966100.0
2019-03-05,2276200.0
2019-02-01,1578200.0
2018-12-31,2002200.0
2018-11-29,1688700.0
2019-08-12,2005700.0
2019-07-11,1751700.0
2019-09-13,1723500.0
2019-11-14,3853200.0
2020-04-20,3417800.0
2020-02-04,3536100.0
2020-04-23,2362000.0
2018-12-14,2835900.0
2019-08-27,2112600.0
2018-08-08,1505900.0
2018-10-11,2535300.0
2018-11-12,1627800.0
2019-07-26,1278800.0
2019-06-24,2207000.0
2019-05-23,2986000.0
2019-03-20,1672000.0
2019-01-15,1270200.0
2019-11-20,1194000.0
2020-02-07,1891600.0
2020-02-10,1284500.0
2020-04-29,1058200.0
2019-11-26,1078600.0
2020-02-13,1844300.0
2019-01-30,2645100.0
2018-08-23,3210400.0
2018-09-24,1599200.0
2018-11-27,2297800.0
2018-10-26,5374100.0
2019-07-09,3364400.0
2019-06-07,3201800.0
2019-05-06,5000300.0
2019-04-04,3767200.0
2019-09-11,4365800.0
2019-11-29,7020500.0
2020-05-05,7626000.0
2019-12-02,6974800.0
2020-02-19,4285900.0
2020-05-08,5116900.0
2019-05-21,4850300.0
2019-03-18,5979600.0
2018-09-07,5999500.0
2018-08-06,6277400.0
2018-10-09,10556300.0
2019-02-14,11016800.0
2018-12-12,7915100.0
2019-07-24,9193400.0
2019-09-26,15266700.0
2019-10-28,15658600.0
2019-12-05,13939600.0
2020-05-11,10074500.0
2019-07-03,8669600.0
2020-02-25,9205300.0
2020-05-14,6544400.0
2020-02-28,6745700.0
2019-08-08,6985800.0
2019-06-05,7762400.0
2018-07-20,6487900.0
2018-08-21,4817400.0
2018-10-24,3540200.0
2019-04-02,4045200.0
2019-03-01,4103800.0
2019-01-28,4405900.0
2018-12-27,9497300.0
2019-09-09,4209100.0
2020-03-02,2805400.0
2020-05-20,3846800.0
2019-12-17,3020100.0
2020-03-05,4318300.0
2019-02-12,3483600.0
2019-01-11,2862500.0
2018-12-10,2567000.0
2019-08-23,2237300.0
2018-11-08,3179200.0
2019-07-22,3771700.0
2019-06-20,3087600.0
2018-09-05,3953700.0
2019-04-17,4489700.0
2019-09-24,3748300.0
2019-12-20,2769200.0
2020-05-26,2154700.0
2019-04-30,3768400.0
2019-12-23,4980800.0
2020-03-11,5577500.0
2020-05-29,4056600.0
2019-12-26,6914800.0
2020-06-01,5042400.0
2019-05-02,4861700.0
2019-02-27,4906600.0
2018-11-23,5177100.0
2019-08-06,4663000.0
2018-07-18,3232300.0
2018-09-20,2540400.0
2018-10-22,2018700.0
2019-07-05,4482200.0
2019-06-03,6530300.0
2019-10-09,4270700.0
2019-10-11,7953700.0
2020-03-17,4843500.0
2020-06-04,5187800.0
2019-10-14,4205900.0
2020-03-20,3284600.0
2018-11-06,6503500.0
2019-06-18,5414700.0
2019-05-17,3159100.0
2019-04-15,4507800.0
2019-03-14,4155800.0
2019-01-09,3175600.0
2018-08-02,3515000.0
2018-10-05,3110900.0
2019-08-21,3476200.0
2019-10-17,4270800.0
2020-03-23,15138000.0
2020-06-10,6234000.0
2019-02-25,4591400.0
2020-01-07,4927700.0
2020-03-26,3426100.0
2019-10-23,3784700.0
