Dates,VTR
2018-06-20,53.630001068115234
2018-06-21,54.79999923706055
2018-06-25,55.0099983215332
2018-06-22,55.65999984741211
2018-06-26,56.150001525878906
2018-06-27,55.95000076293945
2018-06-28,56.150001525878906
2018-06-29,56.36000061035156
2018-07-02,56.90999984741211
2018-07-03,56.880001068115234
2018-07-05,58.06999969482422
2018-07-16,58.9900016784668
2018-09-18,59.08000183105469
2019-01-24,58.369998931884766
2019-09-05,58.68000030517578
2018-11-21,58.38999938964844
2020-01-13,58.58000183105469
2020-04-01,57.97999954223633
2020-06-19,58.5
2019-10-29,57.83000183105469
2020-01-16,57.33000183105469
2020-06-22,57.939998626708984
2018-10-03,58.18000030517578
2018-07-31,57.959999084472656
2019-03-12,57.880001068115234
2019-02-08,58.33000183105469
2019-01-07,57.619998931884766
2018-12-06,55.150001525878906
2019-08-19,55.779998779296875
2019-07-18,55.970001220703125
2019-05-15,56.68000030517578
2019-09-20,56.68000030517578
2019-11-01,57.88999938964844
2020-04-07,58.0
2020-06-25,58.439998626708984
2020-06-16,58.0099983215332
2019-11-04,57.61000061035156
2020-01-22,56.9900016784668
2019-11-07,57.060001373291016
2020-04-13,57.54999923706055
2019-07-01,58.720001220703125
2019-05-30,58.70000076293945
2018-08-15,59.72999954223633
2018-10-18,59.369998931884766
2019-03-27,59.04999923706055
2019-01-22,59.209999084472656
2018-12-21,59.0
2019-09-03,58.720001220703125
2018-11-19,58.65999984741211
2019-08-02,59.77000045776367
2020-01-28,59.869998931884766
2020-04-16,59.56999969482422
2019-11-13,59.849998474121094
2020-01-31,59.040000915527344
2018-12-04,59.9900016784668
2018-11-02,59.720001220703125
2019-07-16,59.13999938964844
2018-08-30,59.04999923706055
2018-10-01,59.06999969482422
2019-06-14,59.27000045776367
2019-05-13,58.779998779296875
2019-04-11,57.88999938964844
2019-02-06,58.40999984741211
2019-09-18,57.65999984741211
2020-02-03,57.0099983215332
2020-04-22,56.599998474121094
2019-11-19,56.040000915527344
2020-02-06,54.7599983215332
2019-11-22,54.31999969482422
2019-03-25,53.650001525878906
2019-02-21,53.349998474121094
2018-12-19,54.29999923706055
2018-07-12,54.02000045776367
2018-09-14,53.56999969482422
2018-08-13,52.459999084472656
2018-10-16,52.93000030517578
2019-07-31,53.2400016784668
2019-05-28,53.95000076293945
2019-04-26,54.369998931884766
2020-04-28,55.0099983215332
2019-11-25,53.619998931884766
2020-02-12,53.380001068115234
2020-05-01,53.90999984741211
2020-05-04,55.09000015258789
2019-06-12,55.41999816894531
2019-04-09,55.36000061035156
2019-03-08,56.13999938964844
2019-02-04,54.59000015258789
2018-07-27,55.619998931884766
2018-08-28,56.66999816894531
2019-01-03,57.25
2019-08-15,57.0
2018-10-31,57.459999084472656
2019-09-16,58.77000045776367
2020-02-18,58.16999816894531
2020-05-07,57.790000915527344
2018-08-17,56.81999969482422
2019-12-04,58.279998779296875
2020-02-21,59.119998931884766
2018-12-17,59.41999816894531
2019-08-30,59.619998931884766
2018-11-15,60.0
2019-07-29,60.2400016784668
2019-06-27,60.65999984741211
2019-04-24,60.209999084472656
2018-07-10,60.380001068115234
2018-09-12,61.45000076293945
2019-02-19,61.93000030517578
2019-01-18,62.15999984741211
2020-02-24,61.36000061035156
2020-05-13,61.650001525878906
2019-12-10,61.400001525878906
2020-02-27,61.7599983215332
2019-12-13,62.06999969482422
2020-05-19,62.540000915527344
2019-03-06,63.47999954223633
2018-11-30,63.630001068115234
2019-08-13,63.150001525878906
2019-07-12,65.16999816894531
2019-06-10,65.45999908447266
2019-05-09,64.9000015258789
2018-07-25,65.20999908447266
2018-09-27,63.209999084472656
2018-10-29,62.16999816894531
2019-10-16,62.7400016784668
2019-12-16,61.20000076293945
2020-03-04,61.630001068115234
2020-05-22,61.38999938964844
2019-10-01,61.040000915527344
2019-12-19,60.22999954223633
2018-09-10,57.5099983215332
2019-05-24,59.349998474121094
2018-08-09,59.560001373291016
2019-04-22,58.72999954223633
2019-03-21,58.02000045776367
2019-01-16,56.95000076293945
2019-08-28,57.93000030517578
2018-11-13,57.84000015258789
2018-10-12,58.15999984741211
2019-06-25,58.70000076293945
2020-03-10,58.2599983215332
2020-05-28,59.31999969482422
2019-10-07,59.970001220703125
2020-03-13,60.119998931884766
2019-10-10,60.630001068115234
2020-03-16,60.470001220703125
2020-06-03,60.790000915527344
2018-11-28,61.31999969482422
2018-09-25,61.63999938964844
2018-07-23,61.95000076293945
2018-08-24,62.029998779296875
2019-07-10,62.380001068115234
2019-05-07,62.959999084472656
2019-04-05,63.34000015258789
2019-03-04,63.810001373291016
2019-01-31,64.55000305175781
2019-09-12,63.25
2019-12-31,63.54999923706055
2020-03-19,64.4000015258789
2020-01-03,63.91999816894531
2020-06-09,63.86000061035156
2019-02-15,64.08999633789062
2019-01-14,63.650001525878906
2018-07-06,63.25
2018-08-07,64.29000091552734
2018-10-10,64.9800033569336
2018-12-13,65.08999633789062
2019-08-26,64.5999984741211
2019-07-25,63.099998474121094
2019-05-22,64.08999633789062
2019-03-19,64.38999938964844
2020-01-06,63.77000045776367
2020-03-25,62.81999969482422
2020-06-12,63.099998474121094
2019-10-22,62.68000030517578
2020-01-09,62.45000076293945
2020-06-15,62.650001525878906
2019-10-25,62.459999084472656
2020-03-31,62.119998931884766
2020-06-18,61.959999084472656
2019-04-03,62.119998931884766
2018-08-22,63.2599983215332
2018-10-25,63.61000061035156
2019-01-29,63.630001068115234
2018-12-28,63.630001068115234
2018-11-26,62.58000183105469
2019-08-09,61.45000076293945
2019-07-08,61.099998474121094
