Dates,CAT
2018-06-20,141.82000732421875
2018-06-21,139.1199951171875
2018-06-25,139.77000427246094
2018-06-22,135.17999267578125
2018-06-26,135.27999877929688
2018-06-27,134.5800018310547
2018-06-28,132.67999267578125
2018-06-29,135.5800018310547
2018-07-02,133.1999969482422
2018-07-03,133.3300018310547
2018-07-05,134.08999633789062
2018-07-16,133.32000732421875
2018-09-18,136.10000610351562
2019-01-24,140.13999938964844
2019-09-05,135.83999633789062
2018-11-21,136.8300018310547
2020-01-13,139.07000732421875
2020-04-01,137.89999389648438
2020-06-19,136.52999877929688
2019-10-29,138.3300018310547
2020-01-16,139.0500030517578
2020-06-22,136.63999938964844
2018-10-03,135.60000610351562
2018-07-31,137.36000061035156
2019-03-12,136.6699981689453
2019-02-08,140.07000732421875
2019-01-07,140.77999877929688
2018-12-06,139.05999755859375
2019-08-19,140.1699981689453
2019-07-18,138.11000061035156
2019-05-15,135.69000244140625
2019-09-20,137.07000732421875
2019-11-01,137.97000122070312
2020-04-07,140.3000030517578
2020-06-25,139.25999450683594
2020-06-16,138.25
2019-11-04,134.72999572753906
2020-01-22,134.72000122070312
2019-11-07,134.6699981689453
2020-04-13,129.42999267578125
2019-07-01,133.64999389648438
2019-05-30,135.44000244140625
2018-08-15,138.55999755859375
2018-10-18,139.07000732421875
2019-03-27,139.36000061035156
2019-01-22,136.4199981689453
2018-12-21,136.88999938964844
2019-09-03,139.3000030517578
2018-11-19,141.49000549316406
2019-08-02,141.2899932861328
2020-01-28,138.4499969482422
2020-04-16,138.3800048828125
2019-11-13,136.92999267578125
2020-01-31,137.67999267578125
2018-12-04,140.05999755859375
2018-11-02,140.0500030517578
2019-07-16,141.69000244140625
2018-08-30,140.3699951171875
2018-10-01,140.6199951171875
2019-06-14,144.52000427246094
2019-05-13,143.22999572753906
2019-04-11,144.5500030517578
2019-02-06,146.27000427246094
2019-09-18,149.3699951171875
2020-02-03,154.4600067138672
2020-04-22,154.8000030517578
2019-11-19,153.77000427246094
2020-02-06,152.80999755859375
2019-11-22,152.88999938964844
2019-03-25,151.1999969482422
2019-02-21,150.55999755859375
2018-12-19,151.67999267578125
2018-07-12,151.5
2018-09-14,155.7899932861328
2018-08-13,155.1999969482422
2018-10-16,151.61000061035156
2019-07-31,150.8800048828125
2019-05-28,149.0800018310547
2019-04-26,143.72000122070312
2020-04-28,139.83999633789062
2019-11-25,139.75
2020-02-12,141.1199951171875
2020-05-01,141.27000427246094
2020-05-04,141.11000061035156
2019-06-12,134.47000122070312
2019-04-09,131.27000427246094
2019-03-08,128.66000366210938
2019-02-04,115.62000274658203
2018-07-27,112.25
2018-08-28,112.5
2019-01-03,112.36000061035156
2019-08-15,112.05999755859375
2018-10-31,113.0999984741211
2019-09-16,119.26000213623047
2020-02-18,120.94000244140625
2020-05-07,124.26000213623047
2018-08-17,124.55000305175781
2019-12-04,126.30999755859375
2020-02-21,130.8800048828125
2018-12-17,130.89999389648438
2019-08-30,125.7300033569336
2018-11-15,124.58999633789062
2019-07-29,125.27999877929688
2019-06-27,123.7300033569336
2019-04-24,123.12999725341797
2018-07-10,128.0500030517578
2018-09-12,125.5999984741211
2019-02-19,121.2300033569336
2019-01-18,122.51000213623047
2020-02-24,121.56999969482422
2020-05-13,123.16000366210938
2019-12-10,122.38999938964844
2020-02-27,123.83999633789062
2019-12-13,127.58999633789062
2020-05-19,129.83999633789062
2019-03-06,138.52999877929688
2018-11-30,129.0399932861328
2019-08-13,124.05000305175781
2019-07-12,122.75
2019-06-10,121.16000366210938
2019-05-09,122.25
2018-07-25,125.0999984741211
2018-09-27,125.04000091552734
2018-10-29,123.1500015258789
2019-10-16,123.68000030517578
