Dates,HUM
2018-06-20,443100.0
2018-06-21,804900.0
2018-06-25,582400.0
2018-06-22,628400.0
2018-06-26,902900.0
2018-06-27,453000.0
2018-06-28,562600.0
2018-06-29,486500.0
2018-07-02,366400.0
2018-07-03,344800.0
2018-07-05,473800.0
2018-07-16,645900.0
2018-09-18,542200.0
2019-01-24,706900.0
2019-09-05,675000.0
2018-11-21,603500.0
2020-01-13,462200.0
2020-04-01,520500.0
2020-06-19,690800.0
2019-10-29,408800.0
2020-01-16,456100.0
2020-06-22,458600.0
2018-10-03,605300.0
2018-07-31,659000.0
2019-03-12,710800.0
2019-02-08,755400.0
2019-01-07,574500.0
2018-12-06,700500.0
2019-08-19,845900.0
2019-07-18,1281500.0
2019-05-15,650300.0
2019-09-20,453800.0
2019-11-01,414800.0
2020-04-07,474800.0
2020-06-25,393700.0
2020-06-16,341500.0
2019-11-04,380600.0
2020-01-22,306400.0
2019-11-07,423000.0
2020-04-13,381800.0
2019-07-01,410700.0
2019-05-30,516000.0
2018-08-15,368300.0
2018-10-18,326400.0
2019-03-27,362300.0
2019-01-22,510600.0
2018-12-21,292900.0
2019-09-03,291600.0
2018-11-19,272000.0
2019-08-02,496900.0
2020-01-28,314400.0
2020-04-16,474700.0
2019-11-13,458000.0
2020-01-31,534700.0
2018-12-04,683200.0
2018-11-02,381500.0
2019-07-16,457200.0
2018-08-30,452700.0
2018-10-01,452200.0
2019-06-14,364200.0
2019-05-13,395100.0
2019-04-11,538400.0
2019-02-06,398800.0
2019-09-18,369800.0
2020-02-03,430200.0
2020-04-22,827100.0
2019-11-19,516500.0
2020-02-06,649200.0
2019-11-22,550100.0
2019-03-25,336000.0
2019-02-21,782400.0
2018-12-19,420200.0
2018-07-12,422300.0
2018-09-14,743100.0
2018-08-13,460700.0
2018-10-16,398800.0
2019-07-31,450200.0
2019-05-28,652100.0
2019-04-26,605000.0
2020-04-28,757800.0
2019-11-25,797200.0
2020-02-12,597900.0
2020-05-01,370200.0
2020-05-04,354000.0
2019-06-12,499300.0
2019-04-09,646600.0
2019-03-08,653500.0
2019-02-04,440400.0
2018-07-27,438000.0
2018-08-28,452300.0
2019-01-03,462600.0
2019-08-15,671500.0
2018-10-31,448800.0
2019-09-16,972700.0
2020-02-18,968300.0
2020-05-07,684600.0
2018-08-17,514800.0
2019-12-04,772400.0
2020-02-21,1599600.0
2018-12-17,1068400.0
2019-08-30,783400.0
2018-11-15,772200.0
2019-07-29,985600.0
2019-06-27,1534900.0
2019-04-24,1122800.0
2018-07-10,1268300.0
2018-09-12,1050400.0
2019-02-19,1705300.0
2019-01-18,1414300.0
2020-02-24,309400.0
2020-05-13,1073200.0
2019-12-10,996800.0
2020-02-27,1373300.0
2019-12-13,912400.0
2020-05-19,1138000.0
2019-03-06,1795000.0
2018-11-30,1951900.0
2019-08-13,1913700.0
2019-07-12,1321000.0
2019-06-10,1268700.0
2019-05-09,869700.0
2018-07-25,866000.0
2018-09-27,948800.0
2018-10-29,1121500.0
2019-10-16,1897300.0
2019-12-16,1497200.0
2020-03-04,1655500.0
2020-05-22,1470700.0
2019-10-01,2110000.0
2019-12-19,514900.0
2018-09-10,836800.0
2019-05-24,887800.0
2018-08-09,849700.0
2019-04-22,860500.0
2019-03-21,1168800.0
2019-01-16,1330600.0
2019-08-28,1698900.0
2018-11-13,1298700.0
2018-10-12,1313100.0
2019-06-25,775500.0
2020-03-10,855900.0
2020-05-28,1081400.0
2019-10-07,842800.0
2020-03-13,893000.0
2019-10-10,1037300.0
2020-03-16,1195700.0
2020-06-03,766300.0
2018-11-28,1614900.0
2018-09-25,1432300.0
2018-07-23,806000.0
2018-08-24,660900.0
2019-07-10,921100.0
2019-05-07,614600.0
2019-04-05,802900.0
2019-03-04,918600.0
2019-01-31,1127700.0
2019-09-12,758700.0
2019-12-31,964400.0
2020-03-19,1224400.0
2020-01-03,1018700.0
2020-06-09,697100.0
2019-02-15,1423500.0
2019-01-14,1370800.0
2018-07-06,1167200.0
2018-08-07,1020200.0
2018-10-10,1278400.0
2018-12-13,1013500.0
2019-08-26,846500.0
2019-07-25,867000.0
2019-05-22,584200.0
2019-03-19,1349100.0
2020-01-06,1144200.0
2020-03-25,1996700.0
2020-06-12,1770300.0
2019-10-22,1426900.0
2020-01-09,1166700.0
2020-06-15,1691000.0
2019-10-25,1068800.0
2020-03-31,1358600.0
2020-06-18,768700.0
2019-04-03,1236600.0
2018-08-22,1062400.0
2018-10-25,1729300.0
2019-01-29,806500.0
2018-12-28,1851100.0
2018-11-26,1048900.0
2019-08-09,895400.0
2019-07-08,1537600.0
2019-06-06,525600.0
2019-09-10,678100.0
2020-01-15,975500.0
2020-04-03,1532100.0
2019-10-31,1257600.0
2020-04-06,879600.0
2020-06-24,1215800.0
2018-11-09,899100.0
2019-07-23,1084200.0
2019-06-21,1779300.0
2019-05-20,1174500.0
2019-04-18,1122100.0
2018-09-06,1084500.0
2018-10-08,1003000.0
2019-02-13,1209300.0
2018-12-11,2114400.0
2019-09-25,1840700.0
2020-01-21,2509800.0
2020-04-09,4794300.0
2019-11-06,3951900.0
2020-01-24,2018700.0
2020-01-27,1578300.0
2020-04-15,2078900.0
2018-12-26,1883200.0
2019-08-07,1487200.0
2019-06-04,1684700.0
2018-09-21,994700.0
2018-07-19,1383200.0
2018-08-20,2707200.0
2018-10-23,1758300.0
2019-05-03,1361400.0
2019-04-01,2213400.0
2019-02-28,1388000.0
2019-11-12,1130900.0
2020-01-30,1388600.0
2019-11-15,1115700.0
2020-04-21,1369700.0
2019-04-16,1974400.0
2019-03-15,1509100.0
2019-02-11,1436800.0
2019-01-10,1389100.0
2019-08-22,1633200.0
2018-11-07,1470900.0
2018-08-03,2141600.0
2018-09-04,1888200.0
2019-06-19,2333300.0
2019-09-23,1660800.0
2019-11-18,1082200.0
2020-02-05,835500.0
2020-04-24,1709100.0
2019-03-29,2589800.0
2019-11-21,1903100.0
2020-04-27,1665900.0
2020-02-11,1134200.0
2020-04-30,899600.0
2019-05-01,673200.0
2019-02-26,1232200.0
2019-01-25,1639100.0
2018-12-24,1297900.0
2019-09-06,966500.0
2018-07-17,636300.0
2018-09-19,1010100.0
2019-08-05,1209500.0
2019-10-08,1137500.0
2019-12-11,2522500.0
2019-11-27,1197000.0
2020-02-14,1171700.0
2020-05-06,1132500.0
2019-01-08,1003300.0
2018-12-07,2360800.0
2019-08-20,1017200.0
2018-11-05,1171200.0
2019-07-19,481100.0
2018-10-04,645900.0
2019-06-17,733500.0
2019-05-16,957600.0
2018-08-01,1058000.0
2019-03-13,2364700.0
2019-12-03,2058800.0
2020-02-20,1317100.0
2019-12-06,797000.0
2020-05-12,706200.0
2019-12-09,831600.0
2020-02-26,733400.0
2020-05-15,771100.0
2019-03-28,772000.0
2018-09-17,1490700.0
2018-08-16,798400.0
2018-10-19,886400.0
2019-04-29,704800.0
2019-01-23,935600.0
2019-09-04,2666800.0
2018-11-20,1637300.0
2019-07-02,1693200.0
2019-05-31,1528500.0
2019-12-12,1051800.0
2020-05-18,935500.0
2019-09-27,578900.0
2020-03-03,750700.0
