Dates,FE
2018-06-20,36.209999084472656
2018-06-21,36.150001525878906
2018-06-25,36.400001525878906
2018-06-22,36.13999938964844
2018-06-26,36.29999923706055
2018-06-27,36.18000030517578
2018-06-28,36.11000061035156
2018-06-29,36.279998779296875
2018-07-02,36.0
2018-07-03,36.2400016784668
2018-07-05,36.5099983215332
2018-07-16,36.880001068115234
2018-09-18,37.0099983215332
2019-01-24,37.20000076293945
2019-09-05,37.15999984741211
2018-11-21,37.209999084472656
2020-01-13,37.220001220703125
2020-04-01,37.290000915527344
2020-06-19,37.45000076293945
2019-10-29,37.47999954223633
2020-01-16,37.310001373291016
2020-06-22,37.119998931884766
2018-10-03,37.13999938964844
2018-07-31,37.27000045776367
2019-03-12,37.560001373291016
2019-02-08,38.040000915527344
2019-01-07,38.06999969482422
2018-12-06,38.18000030517578
2019-08-19,38.13999938964844
2019-07-18,39.540000915527344
2019-05-15,39.529998779296875
2019-09-20,39.4900016784668
2019-11-01,40.33000183105469
2020-04-07,40.790000915527344
2020-06-25,40.58000183105469
2020-06-16,40.810001373291016
2019-11-04,40.70000076293945
2020-01-22,40.810001373291016
2019-11-07,40.540000915527344
2020-04-13,40.650001525878906
2019-07-01,41.06999969482422
2019-05-30,41.470001220703125
2018-08-15,42.09000015258789
2018-10-18,41.9900016784668
2019-03-27,41.810001373291016
2019-01-22,41.959999084472656
2018-12-21,42.0
2019-09-03,41.310001373291016
2018-11-19,41.31999969482422
2019-08-02,41.16999816894531
2020-01-28,41.20000076293945
2020-04-16,41.09000015258789
2019-11-13,41.220001220703125
2020-01-31,41.2599983215332
2018-12-04,41.45000076293945
2018-11-02,41.459999084472656
2019-07-16,42.04999923706055
2018-08-30,41.95000076293945
2018-10-01,42.279998779296875
2019-06-14,42.43000030517578
2019-05-13,42.5
2019-04-11,42.7400016784668
2019-02-06,42.83000183105469
2019-09-18,42.9900016784668
2020-02-03,43.349998474121094
2020-04-22,43.61000061035156
2019-11-19,43.83000183105469
2020-02-06,43.7599983215332
2019-11-22,43.63999938964844
2019-03-25,43.68000030517578
2019-02-21,43.72999954223633
2018-12-19,43.90999984741211
2018-07-12,44.130001068115234
2018-09-14,44.279998779296875
2018-08-13,44.290000915527344
2018-10-16,44.599998474121094
2019-07-31,44.70000076293945
2019-05-28,44.790000915527344
2019-04-26,44.47999954223633
2020-04-28,42.400001525878906
2019-11-25,42.63999938964844
2020-02-12,42.97999954223633
2020-05-01,43.040000915527344
2020-05-04,43.75
2019-06-12,43.709999084472656
2019-04-09,43.97999954223633
2019-03-08,44.02000045776367
2019-02-04,43.689998626708984
2018-07-27,42.36000061035156
2018-08-28,41.65999984741211
2019-01-03,42.18000030517578
2019-08-15,42.560001373291016
2018-10-31,41.779998779296875
2019-09-16,42.709999084472656
2020-02-18,43.09000015258789
2020-05-07,42.47999954223633
2018-08-17,42.83000183105469
2019-12-04,42.689998626708984
2020-02-21,43.290000915527344
2018-12-17,43.470001220703125
2019-08-30,43.720001220703125
2018-11-15,43.900001525878906
2019-07-29,43.349998474121094
2019-06-27,42.709999084472656
2019-04-24,42.349998474121094
2018-07-10,42.90999984741211
2018-09-12,43.5099983215332
2019-02-19,43.400001525878906
2019-01-18,42.77000045776367
2020-02-24,42.79999923706055
2020-05-13,42.880001068115234
2019-12-10,42.970001220703125
2020-02-27,44.099998474121094
2019-12-13,44.70000076293945
2020-05-19,45.279998779296875
2019-03-06,45.7599983215332
2018-11-30,45.11000061035156
2019-08-13,43.619998931884766
2019-07-12,43.68000030517578
2019-06-10,43.06999969482422
2019-05-09,43.56999969482422
2018-07-25,44.150001525878906
2018-09-27,44.209999084472656
2018-10-29,43.43000030517578
2019-10-16,42.97999954223633
2019-12-16,42.040000915527344
2020-03-04,41.560001373291016
2020-05-22,41.529998779296875
2019-10-01,41.45000076293945
2019-12-19,40.52000045776367
2018-09-10,40.41999816894531
2019-05-24,41.2599983215332
2018-08-09,42.810001373291016
2019-04-22,43.099998474121094
2019-03-21,42.63999938964844
2019-01-16,41.95000076293945
2019-08-28,42.2599983215332
2018-11-13,42.86000061035156
2018-10-12,43.150001525878906
2019-06-25,43.20000076293945
2020-03-10,42.029998779296875
2020-05-28,42.150001525878906
2019-10-07,42.16999816894531
2020-03-13,42.43000030517578
2019-10-10,42.029998779296875
2020-03-16,41.83000183105469
2020-06-03,42.2599983215332
2018-11-28,41.93000030517578
2018-09-25,41.54999923706055
2018-07-23,40.619998931884766
2018-08-24,40.5099983215332
2019-07-10,39.47999954223633
2019-05-07,39.470001220703125
2019-04-05,40.72999954223633
2019-03-04,41.349998474121094
2019-01-31,42.54999923706055
2019-09-12,41.959999084472656
2019-12-31,42.060001373291016
2020-03-19,41.790000915527344
2020-01-03,41.209999084472656
2020-06-09,41.4900016784668
2019-02-15,41.5099983215332
2019-01-14,41.38999938964844
2018-07-06,41.38999938964844
2018-08-07,41.619998931884766
2018-10-10,42.08000183105469
2018-12-13,42.189998626708984
2019-08-26,41.93000030517578
2019-07-25,41.86000061035156
2019-05-22,42.220001220703125
2019-03-19,42.939998626708984
2020-01-06,42.79999923706055
2020-03-25,42.810001373291016
2020-06-12,42.869998931884766
2019-10-22,43.290000915527344
2020-01-09,42.880001068115234
2020-06-15,42.849998474121094
2019-10-25,41.619998931884766
2020-03-31,41.25
2020-06-18,40.34000015258789
2019-04-03,40.79999923706055
2018-08-22,41.369998931884766
2018-10-25,41.54999923706055
2019-01-29,41.130001068115234
2018-12-28,40.86000061035156
2018-11-26,41.650001525878906
2019-08-09,41.75
2019-07-08,41.779998779296875
2019-06-06,41.869998931884766
2019-09-10,41.83000183105469
2020-01-15,41.66999816894531
2020-04-03,42.130001068115234
2019-10-31,41.91999816894531
2020-04-06,42.060001373291016
2020-06-24,42.189998626708984
2018-11-09,42.54999923706055
2019-07-23,42.7400016784668
2019-06-21,42.54999923706055
2019-05-20,42.5
2019-04-18,42.88999938964844
2018-09-06,42.90999984741211
2018-10-08,42.58000183105469
2019-02-13,42.650001525878906
2018-12-11,41.9900016784668
2019-09-25,41.58000183105469
2020-01-21,41.470001220703125
2020-04-09,40.83000183105469
2019-11-06,39.38999938964844
2020-01-24,38.41999816894531
2020-01-27,38.810001373291016
2020-04-15,38.880001068115234
2018-12-26,39.15999984741211
2019-08-07,39.16999816894531
2019-06-04,39.45000076293945
2018-09-21,39.59000015258789
2018-07-19,39.79999923706055
2018-08-20,40.16999816894531
2018-10-23,40.58000183105469
2019-05-03,41.029998779296875
2019-04-01,40.84000015258789
2019-02-28,40.5
2019-11-12,40.439998626708984
2020-01-30,40.22999954223633
2019-11-15,39.869998931884766
2020-04-21,40.150001525878906
2019-04-16,40.560001373291016
2019-03-15,40.70000076293945
2019-02-11,41.150001525878906
2019-01-10,41.25
2019-08-22,41.279998779296875
2018-11-07,41.4900016784668
2018-08-03,41.54999923706055
2018-09-04,41.650001525878906
2019-06-19,41.869998931884766
2019-09-23,41.88999938964844
2019-11-18,41.279998779296875
2020-02-05,41.58000183105469
2020-04-24,41.45000076293945
2019-03-29,41.56999969482422
2019-11-21,42.040000915527344
2020-04-27,42.40999984741211
2020-02-11,42.47999954223633
2020-04-30,42.86000061035156
2019-05-01,42.66999816894531
2019-02-26,42.54999923706055
2019-01-25,42.459999084472656
2018-12-24,42.369998931884766
2019-09-06,42.47999954223633
2018-07-17,42.349998474121094
2018-09-19,42.81999969482422
2019-08-05,43.09000015258789
2019-10-08,43.5099983215332
2019-12-11,43.310001373291016
2019-11-27,43.470001220703125
2020-02-14,43.7599983215332
2020-05-06,42.5
2019-01-08,43.0099983215332
2018-12-07,42.97999954223633
2019-08-20,43.34000015258789
2018-11-05,43.65999984741211
2019-07-19,43.97999954223633
2018-10-04,43.779998779296875
2019-06-17,42.97999954223633
2019-05-16,43.29999923706055
2018-08-01,43.439998626708984
2019-03-13,42.380001068115234
2019-12-03,42.0099983215332
2020-02-20,42.2400016784668
2019-12-06,42.47999954223633
2020-05-12,42.72999954223633
2019-12-09,42.54999923706055
2020-02-26,42.77000045776367
2020-05-15,42.54999923706055
2019-03-28,42.75
2018-09-17,42.369998931884766
2018-08-16,42.529998779296875
2018-10-19,42.43000030517578
2019-04-29,41.34000015258789
2019-01-23,38.599998474121094
2019-09-04,38.5099983215332
2018-11-20,37.68000030517578
2019-07-02,37.75
2019-05-31,36.40999984741211
2019-12-12,36.470001220703125
2020-05-18,35.86000061035156
2019-09-27,36.599998474121094
2020-03-03,36.11000061035156
2020-05-21,34.779998779296875
2019-05-14,35.150001525878906
2018-08-31,34.20000076293945
2018-07-30,33.970001220703125
2018-10-02,34.4900016784668
2019-04-12,34.83000183105469
2019-03-11,34.56999969482422
2019-02-07,34.81999969482422
2019-07-17,34.79999923706055
2019-09-19,34.16999816894531
2019-10-21,34.47999954223633
2019-12-18,34.310001373291016
2020-03-06,34.279998779296875
2019-10-03,35.22999954223633
2020-03-09,35.279998779296875
2020-05-27,35.5099983215332
2019-12-24,35.70000076293945
2020-03-12,35.88999938964844
2018-12-20,36.11000061035156
2019-08-01,36.130001068115234
2018-08-14,36.02000045776367
2018-07-13,36.900001525878906
2018-10-17,37.060001373291016
2019-05-29,36.61000061035156
2019-03-26,36.349998474121094
2019-02-22,36.349998474121094
2019-10-04,36.2599983215332
2019-11-05,36.34000015258789
2019-12-27,36.47999954223633
2020-06-02,36.22999954223633
2019-12-30,35.97999954223633
2020-03-18,35.70000076293945
2020-06-05,35.56999969482422
2019-07-15,35.720001220703125
2018-12-03,35.91999816894531
2019-06-13,35.43000030517578
2019-01-04,34.65999984741211
2018-08-29,34.599998474121094
2019-02-05,35.45000076293945
2018-11-01,35.79999923706055
2019-08-16,35.41999816894531
2019-04-10,35.529998779296875
2019-09-17,35.599998474121094
2019-10-15,36.06999969482422
2020-01-02,35.97999954223633
2020-06-08,36.40999984741211
2019-10-18,36.31999969482422
2020-03-24,36.369998931884766
2020-06-11,36.349998474121094
2020-01-08,36.36000061035156
2019-04-25,36.25
2019-07-30,36.220001220703125
2019-02-20,36.2599983215332
2018-07-11,36.310001373291016
2018-09-13,36.81999969482422
2018-10-15,37.91999816894531
2019-06-28,38.29999923706055
2018-12-18,38.18000030517578
2018-11-16,38.38999938964844
2019-10-02,38.029998779296875
2020-03-27,37.470001220703125
2020-01-10,37.349998474121094
2019-10-24,36.880001068115234
2020-03-30,36.83000183105469
2020-06-17,36.75
2020-01-14,36.70000076293945
2020-04-02,36.29999923706055
2019-01-02,36.31999969482422
2019-08-14,36.52000045776367
2018-10-30,36.959999084472656
2019-06-11,37.31999969482422
2019-05-10,37.0099983215332
2019-04-08,37.040000915527344
2018-08-27,37.689998626708984
2018-07-26,38.45000076293945
2018-09-28,38.04999923706055
2019-03-07,38.33000183105469
2019-10-30,38.5099983215332
2020-01-17,38.25
2020-06-23,37.84000015258789
2020-04-08,37.88999938964844
2020-06-26,37.790000915527344
2019-03-22,38.220001220703125
2019-01-17,38.099998474121094
2019-08-29,38.189998626708984
2018-11-14,38.20000076293945
2019-06-26,38.16999816894531
2018-09-11,38.06999969482422
2018-07-09,38.65999984741211
2018-08-10,38.84000015258789
2019-04-23,38.63999938964844
2019-09-30,38.810001373291016
2020-01-23,38.970001220703125
2019-11-08,39.130001068115234
2020-04-14,39.20000076293945
2019-11-11,39.20000076293945
2020-01-29,39.25
2020-04-17,38.88999938964844
2018-07-24,38.709999084472656
2018-09-26,38.880001068115234
2019-05-08,38.66999816894531
2019-03-05,38.70000076293945
2019-02-01,38.68000030517578
2018-12-31,38.75
2018-11-29,38.790000915527344
2019-08-12,38.970001220703125
2019-07-11,39.209999084472656
2019-09-13,39.29999923706055
2019-11-14,40.16999816894531
2020-04-20,40.31999969482422
2020-02-04,40.41999816894531
2020-04-23,40.189998626708984
2018-12-14,39.970001220703125
2019-08-27,40.130001068115234
2018-08-08,39.63999938964844
2018-10-11,39.25
2018-11-12,37.95000076293945
2019-07-26,37.54999923706055
2019-06-24,36.689998626708984
2019-05-23,36.900001525878906
2019-03-20,37.29999923706055
2019-01-15,37.630001068115234
2019-11-20,37.81999969482422
2020-02-07,38.029998779296875
2020-02-10,37.93000030517578
2020-04-29,37.720001220703125
2019-11-26,37.7599983215332
2020-02-13,37.720001220703125
2019-01-30,36.88999938964844
2018-08-23,36.41999816894531
2018-09-24,36.27000045776367
2018-11-27,36.209999084472656
2018-10-26,35.40999984741211
2019-07-09,35.529998779296875
2019-06-07,34.599998474121094
2019-05-06,33.709999084472656
2019-04-04,34.02000045776367
2019-09-11,34.099998474121094
2019-11-29,32.529998779296875
2020-05-05,33.45000076293945
2019-12-02,33.86000061035156
2020-02-19,34.95000076293945
2020-05-08,35.15999984741211
2019-05-21,34.119998931884766
2019-03-18,33.15999984741211
2018-09-07,33.0099983215332
2018-08-06,31.65999984741211
2018-10-09,30.0
2019-02-14,30.229999542236328
2018-12-12,29.649999618530273
2019-07-24,30.59000015258789
2019-09-26,30.309999465942383
2019-10-28,30.010000228881836
2019-12-05,28.90999984741211
2020-05-11,27.8799991607666
2019-07-03,28.899999618530273
2020-02-25,29.0
2020-05-14,29.8799991607666
2020-02-28,30.65999984741211
2019-08-08,31.049999237060547
2019-06-05,32.2400016784668
2018-07-20,31.530000686645508
2018-08-21,31.75
2018-10-24,32.630001068115234
2019-04-02,33.779998779296875
2019-03-01,33.59000015258789
2019-01-28,33.439998626708984
2018-12-27,34.849998474121094
2019-09-09,34.720001220703125
2020-03-02,35.34000015258789
2020-05-20,35.58000183105469
2019-12-17,35.58000183105469
2020-03-05,36.11000061035156
2019-02-12,36.08000183105469
2019-01-11,35.369998931884766
2018-12-10,36.119998931884766
2019-08-23,36.279998779296875
2018-11-08,36.779998779296875
2019-07-22,37.56999969482422
2019-06-20,37.380001068115234
2018-09-05,37.709999084472656
2019-04-17,37.36000061035156
2019-09-24,37.38999938964844
2019-12-20,37.40999984741211
2020-05-26,38.27000045776367
2019-04-30,38.5099983215332
2019-12-23,36.88999938964844
2020-03-11,37.040000915527344
2020-05-29,37.15999984741211
2019-12-26,37.34000015258789
2020-06-01,36.59000015258789
2019-05-02,36.779998779296875
2019-02-27,37.38999938964844
2018-11-23,37.630001068115234
2019-08-06,37.310001373291016
2018-07-18,37.54999923706055
2018-09-20,37.04999923706055
2018-10-22,36.959999084472656
2019-07-05,37.45000076293945
2019-06-03,36.970001220703125
2019-10-09,37.720001220703125
2019-10-11,37.58000183105469
2020-03-17,34.90999984741211
2020-06-04,35.25
2019-10-14,35.540000915527344
2020-03-20,35.70000076293945
2018-11-06,35.880001068115234
2019-06-18,35.68000030517578
2019-05-17,36.16999816894531
2019-04-15,35.88999938964844
2019-03-14,33.279998779296875
2019-01-09,33.04999923706055
2018-08-02,32.7599983215332
2018-10-05,32.720001220703125
2019-08-21,33.31999969482422
2019-10-17,32.97999954223633
2020-03-23,33.119998931884766
2020-06-10,32.90999984741211
2019-02-25,32.7400016784668
2020-01-07,32.0
2020-03-26,31.829999923706055
2019-10-23,31.610000610351562
