Dates,FE
2018-06-20,33.90336608886719
2018-06-21,33.75458526611328
2018-06-25,33.949851989746094
2018-06-22,33.82897186279297
2018-06-26,33.82897186279297
2018-06-27,33.670894622802734
2018-06-28,33.81037139892578
2018-06-29,33.735984802246094
2018-07-02,33.78247833251953
2018-07-03,33.80107498168945
2018-07-05,34.284610748291016
2018-07-16,34.50778579711914
2018-09-18,34.55427932739258
2019-01-24,34.80534362792969
2019-09-05,34.600772857666016
2018-11-21,34.8890380859375
2020-01-13,34.89833450317383
2020-04-01,34.75885772705078
2020-06-19,35.009918212890625
2019-10-29,35.01921844482422
2020-01-16,34.74026107788086
2020-06-22,34.71236038208008
2018-10-03,34.600772857666016
2018-07-31,35.05641555786133
2019-03-12,35.326072692871094
2019-02-08,35.48415756225586
2019-01-07,35.71662902832031
2018-12-06,35.884002685546875
2019-08-19,37.130035400390625
2019-07-18,37.446197509765625
2019-05-15,37.183616638183594
2019-09-20,38.018253326416016
2019-11-01,38.487152099609375
2020-04-07,38.299591064453125
2020-06-25,38.834136962890625
2020-06-16,38.449642181396484
2019-11-04,38.383995056152344
2020-01-22,38.27145767211914
2019-11-07,38.17768096923828
2020-04-13,38.59968948364258
2019-07-01,38.84351348876953
2019-05-30,39.471839904785156
2018-08-15,39.6969108581543
2018-10-18,39.5374870300293
2019-03-27,39.45307922363281
2019-01-22,39.57499313354492
2018-12-21,39.76255798339844
2019-09-03,38.993560791015625
2018-11-19,38.91853713989258
2019-08-02,38.91853713989258
2020-01-28,38.91853713989258
2020-04-16,38.93729782104492
2019-11-13,38.79662322998047
2020-01-31,39.246768951416016
2018-12-04,39.181121826171875
2018-11-02,39.57499313354492
2019-07-16,39.44371032714844
2018-08-30,39.67816162109375
2018-10-01,39.771934509277344
2019-06-14,40.18456268310547
2019-05-13,40.287723541259766
2019-04-11,40.33460998535156
2019-02-06,40.80351257324219
2019-09-18,40.569061279296875
2020-02-03,41.02857971191406
2020-04-22,41.319297790527344
2019-11-19,41.19738006591797
2020-02-06,41.06609344482422
2019-11-22,40.96293258666992
2019-03-25,41.16925048828125
2019-02-21,41.32867431640625
2018-12-19,41.516231536865234
2018-07-12,41.46934509277344
2018-09-14,42.022647857666016
2018-08-13,41.91948318481445
2018-10-16,42.11642074584961
2019-07-31,42.46340560913086
2019-05-28,42.64158630371094
2019-04-26,41.741302490234375
2020-04-28,40.147056579589844
2019-11-25,41.05670928955078
2020-02-12,40.43776321411133
2020-05-01,41.19738006591797
2020-05-04,41.79757308959961
2019-06-12,41.26302719116211
2019-04-09,41.7319221496582
2019-03-08,41.610008239746094
2019-02-04,41.3568115234375
2018-07-27,39.83757400512695
2018-08-28,40.70973205566406
2019-01-03,39.950111389160156
2019-08-15,40.540924072265625
2018-10-31,40.222076416015625
2019-09-16,40.38150405883789
2020-02-18,40.953556060791016
2020-05-07,40.25959014892578
2018-08-17,40.812889099121094
2019-12-04,40.33460998535156
2020-02-21,41.638153076171875
2018-12-17,41.43968963623047
2019-08-30,41.84605407714844
2018-11-15,41.68539810180664
2019-07-29,41.127830505371094
2019-06-27,40.55135726928711
2019-04-24,40.83486557006836
2018-07-10,41.11838150024414
2018-09-12,41.75155258178711
2019-02-19,41.13727569580078
2019-01-18,40.73091125488281
2020-02-24,40.76871871948242
2020-05-13,40.957725524902344
2019-12-10,41.6475944519043
2020-02-27,42.43197250366211
2019-12-13,43.00843811035156
2020-05-19,43.68886947631836
2019-03-06,43.46206283569336
2018-11-30,42.658782958984375
2019-08-13,42.507572174072266
2019-07-12,41.50584030151367
2019-06-10,41.9594612121582
2019-05-09,41.59089660644531
2018-07-25,41.7326545715332
2018-09-27,42.120113372802734
2018-10-29,41.39243698120117
2019-10-16,40.7403678894043
2019-12-16,40.06938934326172
2020-03-04,39.66302490234375
2020-05-22,39.64413070678711
2019-10-01,39.62522888183594
2019-12-19,38.321083068847656
2018-09-10,39.87092971801758
2019-05-24,40.49465560913086
2018-08-09,40.59861373901367
2019-04-22,41.25068664550781
