Dates,COF
2018-06-20,2402000.0
2018-06-21,1806500.0
2018-06-25,1967100.0
2018-06-22,1750200.0
2018-06-26,1511800.0
2018-06-27,2520400.0
2018-06-28,1444800.0
2018-06-29,2288800.0
2018-07-02,2460400.0
2018-07-03,871100.0
2018-07-05,1447700.0
2018-07-16,1359100.0
2018-09-18,3123300.0
2019-01-24,1518700.0
2019-09-05,1264400.0
2018-11-21,2539100.0
2020-01-13,1952700.0
2020-04-01,1751300.0
2020-06-19,1698700.0
2019-10-29,1869900.0
2020-01-16,2705600.0
2020-06-22,5853400.0
2018-10-03,2986100.0
2018-07-31,3388800.0
2019-03-12,2065000.0
2019-02-08,5637400.0
2019-01-07,4732600.0
2018-12-06,2974400.0
2019-08-19,3616500.0
2019-07-18,3479700.0
2019-05-15,2026000.0
2019-09-20,1916900.0
2019-11-01,1662300.0
2020-04-07,2465300.0
2020-06-25,1601100.0
2020-06-16,1276800.0
2019-11-04,1810900.0
2020-01-22,1518100.0
2019-11-07,1950800.0
2020-04-13,2441500.0
2019-07-01,2112000.0
2019-05-30,1448500.0
2018-08-15,1982500.0
2018-10-18,2105800.0
2019-03-27,1147300.0
2019-01-22,1631400.0
2018-12-21,1046500.0
2019-09-03,1557000.0
2018-11-19,1453700.0
2019-08-02,1758400.0
2020-01-28,1337600.0
2020-04-16,1990200.0
2019-11-13,1875400.0
2020-01-31,2303600.0
2018-12-04,1759400.0
2018-11-02,1798200.0
2019-07-16,1394500.0
2018-08-30,1686300.0
2018-10-01,1791800.0
2019-06-14,2288400.0
2019-05-13,2333200.0
2019-04-11,1945900.0
2019-02-06,3039500.0
2019-09-18,5684200.0
2020-02-03,2624600.0
2020-04-22,4900600.0
2019-11-19,1980000.0
2020-02-06,3388500.0
2019-11-22,3195700.0
2019-03-25,2278200.0
2019-02-21,2708400.0
2018-12-19,2703200.0
2018-07-12,1987000.0
2018-09-14,2660600.0
2018-08-13,2829700.0
2018-10-16,1986400.0
2019-07-31,2694300.0
2019-05-28,2081600.0
2019-04-26,2803900.0
2020-04-28,2957800.0
2019-11-25,3555300.0
2020-02-12,2461600.0
2020-05-01,1851400.0
2020-05-04,2393100.0
2019-06-12,2089200.0
2019-04-09,2299800.0
2019-03-08,2656000.0
2019-02-04,6864400.0
2018-07-27,6766200.0
2018-08-28,4032900.0
2019-01-03,3918000.0
2019-08-15,4185200.0
2018-10-31,2824700.0
2019-09-16,3450300.0
2020-02-18,2128800.0
2020-05-07,4372900.0
2018-08-17,4166800.0
2019-12-04,2894800.0
2020-02-21,2045400.0
2018-12-17,1814400.0
2019-08-30,1755400.0
2018-11-15,1749800.0
2019-07-29,2026300.0
2019-06-27,2414700.0
2019-04-24,2886000.0
2018-07-10,3519700.0
2018-09-12,2202000.0
2019-02-19,2790400.0
2019-01-18,1859700.0
2020-02-24,723000.0
2020-05-13,2682900.0
2019-12-10,1806000.0
2020-02-27,2448300.0
2019-12-13,2118400.0
2020-05-19,2488400.0
2019-03-06,2360400.0
2018-11-30,3617600.0
2019-08-13,3904400.0
2019-07-12,2660900.0
2019-06-10,3234600.0
2019-05-09,2243800.0
2018-07-25,2151300.0
2018-09-27,2261500.0
2018-10-29,3657600.0
2019-10-16,4669300.0
2019-12-16,3592700.0
2020-03-04,3585000.0
2020-05-22,4242800.0
2019-10-01,4942500.0
2019-12-19,1749800.0
2018-09-10,3156200.0
2019-05-24,3261300.0
2018-08-09,2481000.0
2019-04-22,2542900.0
2019-03-21,3290800.0
2019-01-16,3599200.0
2019-08-28,2851300.0
2018-11-13,2665400.0
2018-10-12,3117700.0
2019-06-25,1903900.0
2020-03-10,3485200.0
2020-05-28,1832300.0
2019-10-07,2452900.0
2020-03-13,2829300.0
2019-10-10,3767800.0
2020-03-16,2312200.0
2020-06-03,2671600.0
2018-11-28,4800800.0
2018-09-25,8586700.0
2018-07-23,5529200.0
2018-08-24,3486900.0
2019-07-10,3848600.0
2019-05-07,2454200.0
2019-04-05,2720900.0
2019-03-04,3220200.0
2019-01-31,2438600.0
2019-09-12,3282300.0
2019-12-31,2305700.0
2020-03-19,3552900.0
2020-01-03,3395600.0
2020-06-09,3187500.0
2019-02-15,2649200.0
2019-01-14,2113800.0
2018-07-06,1809800.0
2018-08-07,2087800.0
2018-10-10,2704700.0
2018-12-13,2952500.0
2019-08-26,2167500.0
2019-07-25,1736900.0
2019-05-22,2096600.0
2019-03-19,2514300.0
2020-01-06,2682600.0
2020-03-25,2676400.0
2020-06-12,4649900.0
2019-10-22,3081600.0
2020-01-09,2918400.0
2020-06-15,1963800.0
2019-10-25,1713300.0
2020-03-31,3035600.0
2020-06-18,2111600.0
2019-04-03,2926600.0
2018-08-22,2153200.0
2018-10-25,1779500.0
2019-01-29,1794900.0
2018-12-28,2993500.0
2018-11-26,2529600.0
2019-08-09,2342100.0
2019-07-08,2462100.0
2019-06-06,2569500.0
2019-09-10,3119800.0
2020-01-15,2327500.0
2020-04-03,1668600.0
2019-10-31,1902000.0
2020-04-06,1268600.0
2020-06-24,2945600.0
2018-11-09,3036500.0
2019-07-23,2342100.0
2019-06-21,2852600.0
2019-05-20,2137200.0
2019-04-18,1554000.0
2018-09-06,2023200.0
2018-10-08,1212100.0
2019-02-13,1413200.0
2018-12-11,1390900.0
2019-09-25,1637100.0
2020-01-21,1215400.0
2020-04-09,1888400.0
2019-11-06,2337000.0
2020-01-24,1413900.0
2020-01-27,1060800.0
2020-04-15,1789000.0
2018-12-26,1759900.0
2019-08-07,2135600.0
2019-06-04,4310300.0
2018-09-21,2466400.0
2018-07-19,2211300.0
2018-08-20,2210800.0
2018-10-23,2062700.0
2019-05-03,1694500.0
2019-04-01,2208400.0
2019-02-28,1901500.0
2019-11-12,2183300.0
2020-01-30,2240800.0
2019-11-15,1348800.0
2020-04-21,1819400.0
2019-04-16,1640700.0
2019-03-15,1900000.0
2019-02-11,1631000.0
2019-01-10,1518100.0
2019-08-22,1460100.0
2018-11-07,1859200.0
2018-08-03,1117200.0
2018-09-04,1584300.0
2019-06-19,1175700.0
2019-09-23,2016500.0
2019-11-18,1605000.0
2020-02-05,1376400.0
2020-04-24,2785100.0
2019-03-29,2050000.0
2019-11-21,2047400.0
2020-04-27,1666600.0
2020-02-11,1474500.0
2020-04-30,1296200.0
2019-05-01,1402800.0
2019-02-26,1194400.0
2019-01-25,1011000.0
2018-12-24,1313300.0
2019-09-06,1310000.0
2018-07-17,1416800.0
2018-09-19,2205600.0
2019-08-05,1715500.0
2019-10-08,1365300.0
2019-12-11,3195400.0
2019-11-27,3038200.0
2020-02-14,1859200.0
2020-05-06,1559000.0
2019-01-08,1439600.0
2018-12-07,3156300.0
2019-08-20,1732900.0
2018-11-05,1637900.0
2019-07-19,1297000.0
2018-10-04,1106900.0
2019-06-17,1409800.0
2019-05-16,1982500.0
2018-08-01,2495500.0
2019-03-13,1492000.0
2019-12-03,1499800.0
2020-02-20,2104800.0
2019-12-06,2270400.0
2020-05-12,1875000.0
2019-12-09,2882300.0
2020-02-26,4118000.0
2020-05-15,2917100.0
2019-03-28,2275600.0
2018-09-17,3945000.0
2018-08-16,2427700.0
2018-10-19,3221300.0
2019-04-29,2427900.0
2019-01-23,12268200.0
2019-09-04,5102800.0
2018-11-20,3517000.0
2019-07-02,2802100.0
2019-05-31,3189100.0
2019-12-12,2810000.0
2020-05-18,2824500.0
2019-09-27,2597700.0
2020-03-03,2000800.0
2020-05-21,1744900.0
2019-05-14,3063400.0
2018-08-31,3022600.0
2018-07-30,2113900.0
2018-10-02,1797000.0
2019-04-12,2066400.0
2019-03-11,1838000.0
2019-02-07,1073200.0
2019-07-17,2074700.0
2019-09-19,2172400.0
2019-10-21,1428900.0
2019-12-18,1927800.0
2020-03-06,1818500.0
2019-10-03,1861600.0
2020-03-09,1879100.0
2020-05-27,2647500.0
2019-12-24,2334300.0
2020-03-12,1872600.0
2018-12-20,1594200.0
2019-08-01,2531200.0
2018-08-14,2184500.0
2018-07-13,1921800.0
2018-10-17,3212000.0
2019-05-29,1787700.0
2019-03-26,2402100.0
2019-02-22,1887900.0
2019-10-04,1450300.0
2019-11-05,1373500.0
2019-12-27,2808200.0
2020-06-02,1696800.0
2019-12-30,3304700.0
2020-03-18,2124000.0
2020-06-05,1621600.0
2019-07-15,1357200.0
2018-12-03,1619300.0
2019-06-13,1491600.0
2019-01-04,2300100.0
2018-08-29,2507000.0
2019-02-05,2008800.0
2018-11-01,1330800.0
2019-08-16,1895700.0
2019-04-10,1645700.0
2019-09-17,1648100.0
2019-10-15,2472300.0
2020-01-02,1836600.0
2020-06-08,1542200.0
2019-10-18,2181300.0
2020-03-24,1385100.0
2020-06-11,2182300.0
2020-01-08,1301900.0
2019-04-25,2162500.0
2019-07-30,1986800.0
2019-02-20,2205600.0
2018-07-11,2764600.0
2018-09-13,2846100.0
2018-10-15,2367700.0
2019-06-28,1802900.0
2018-12-18,2472300.0
2018-11-16,2315000.0
2019-10-02,2160800.0
2020-03-27,2509000.0
2020-01-10,2462100.0
2019-10-24,3205800.0
2020-03-30,2094000.0
2020-06-17,1921000.0
2020-01-14,2581100.0
2020-04-02,1267800.0
2019-01-02,1368400.0
2019-08-14,1758300.0
2018-10-30,2575500.0
2019-06-11,1769300.0
2019-05-10,2526900.0
2019-04-08,1646600.0
2018-08-27,2515200.0
2018-07-26,2201000.0
2018-09-28,2553700.0
2019-03-07,1402800.0
2019-10-30,1115500.0
2020-01-17,1750200.0
2020-06-23,2905500.0
2020-04-08,2046800.0
2020-06-26,1795800.0
2019-03-22,1996400.0
2019-01-17,2036800.0
2019-08-29,3155100.0
2018-11-14,1990800.0
2019-06-26,2237200.0
2018-09-11,1858500.0
2018-07-09,2756900.0
2018-08-10,1655800.0
2019-04-23,2300700.0
2019-09-30,2134500.0
2020-01-23,3070000.0
2019-11-08,1333800.0
2020-04-14,326200.0
2019-11-11,1124300.0
2020-01-29,840300.0
2020-04-17,961100.0
2018-07-24,1472800.0
2018-09-26,1603000.0
2019-05-08,1450100.0
2019-03-05,1526300.0
2019-02-01,1978200.0
2018-12-31,2194600.0
2018-11-29,1825500.0
2019-08-12,1167900.0
2019-07-11,1159900.0
2019-09-13,2251900.0
2019-11-14,1745400.0
2020-04-20,4126500.0
2020-02-04,2680100.0
2020-04-23,3077400.0
2018-12-14,5725700.0
2019-08-27,2110400.0
2018-08-08,2528100.0
2018-10-11,2447500.0
2018-11-12,1990500.0
2019-07-26,1883900.0
2019-06-24,2176700.0
2019-05-23,2637300.0
2019-03-20,2113500.0
2019-01-15,1556900.0
2019-11-20,2396400.0
2020-02-07,1807700.0
2020-02-10,1640600.0
2020-04-29,1434000.0
2019-11-26,2132100.0
2020-02-13,1767900.0
2019-01-30,2019500.0
2018-08-23,1271700.0
2018-09-24,2009900.0
2018-11-27,2059600.0
2018-10-26,2262900.0
2019-07-09,2764400.0
2019-06-07,2522800.0
2019-05-06,4499600.0
2019-04-04,2762300.0
2019-09-11,4273500.0
2019-11-29,6114300.0
2020-05-05,4111800.0
2019-12-02,4685800.0
2020-02-19,2888100.0
2020-05-08,3484700.0
2019-05-21,4154900.0
2019-03-18,4879500.0
2018-09-07,6218100.0
2018-08-06,5369900.0
2018-10-09,7039800.0
2019-02-14,5763900.0
2018-12-12,6562300.0
2019-07-24,10475200.0
