Dates,AWK
2019-02-11,704300.0
2019-01-10,941800.0
2019-08-22,861800.0
2018-11-07,787800.0
2018-08-03,715900.0
2018-09-04,751400.0
2019-06-19,678500.0
2019-09-23,1516400.0
2019-11-18,995100.0
2020-02-05,553400.0
2020-04-24,1081000.0
2019-03-29,697100.0
2019-11-21,946800.0
2020-04-27,741300.0
2020-02-11,968100.0
2020-04-30,1045700.0
2019-05-01,928300.0
2019-02-26,966600.0
2019-01-25,627700.0
2018-12-24,743900.0
2019-09-06,646100.0
2018-07-17,540500.0
2018-09-19,828500.0
2019-08-05,705900.0
2019-10-08,772400.0
2019-12-11,1796000.0
2019-11-27,997500.0
2020-02-14,902300.0
2020-05-06,820300.0
2019-01-08,926400.0
2018-12-07,1366200.0
2019-08-20,1124100.0
2018-11-05,816500.0
2019-07-19,583500.0
2018-10-04,791200.0
2019-06-17,689000.0
2019-05-16,1137600.0
2018-08-01,776900.0
2019-03-13,1045100.0
2019-12-03,1095600.0
2020-02-20,1167600.0
2019-12-06,1178700.0
2020-05-12,899300.0
2019-12-09,790800.0
2020-02-26,886200.0
2020-05-15,622400.0
2019-03-28,899400.0
2018-09-17,772700.0
2018-08-16,664300.0
2018-10-19,637700.0
2019-04-29,766000.0
2019-01-23,659400.0
2019-09-04,1116200.0
2018-11-20,1667000.0
2019-07-02,1155900.0
2019-05-31,1128200.0
2019-12-12,1130800.0
2020-05-18,1048600.0
2019-09-27,841900.0
2020-03-03,770200.0
2020-05-21,1217600.0
2019-05-14,887700.0
2018-08-31,1179700.0
2018-07-30,1005600.0
2018-10-02,1068600.0
2019-04-12,886400.0
2019-03-11,710200.0
2019-02-07,679300.0
2019-07-17,729700.0
2019-09-19,1010300.0
2019-10-21,451100.0
2019-12-18,911700.0
2020-03-06,990800.0
2019-10-03,663800.0
2020-03-09,787300.0
2020-05-27,1083400.0
2019-12-24,1064100.0
2020-03-12,1273600.0
2018-12-20,1148800.0
2019-08-01,1439100.0
2018-08-14,1221900.0
2018-07-13,1160200.0
2018-10-17,1267400.0
2019-05-29,1052300.0
2019-03-26,699200.0
2019-02-22,1055000.0
2019-10-04,1380000.0
2019-11-05,1261800.0
2019-12-27,1919800.0
2020-06-02,1139200.0
2019-12-30,1535400.0
2020-03-18,1064800.0
2020-06-05,971200.0
2019-07-15,885000.0
2018-12-03,1404200.0
2019-06-13,972200.0
2019-01-04,924000.0
2018-08-29,1063500.0
2019-02-05,841200.0
2018-11-01,752500.0
2019-08-16,574700.0
2019-04-10,521000.0
2019-09-17,599900.0
2019-10-15,887800.0
2020-01-02,841300.0
2020-06-08,886900.0
2019-10-18,1080700.0
2020-03-24,690900.0
2020-06-11,1089900.0
2020-01-08,1223100.0
2019-04-25,824400.0
2019-07-30,756400.0
2019-02-20,656800.0
2018-07-11,507000.0
2018-09-13,689500.0
2018-10-15,965800.0
2019-06-28,777900.0
2018-12-18,1260800.0
2018-11-16,1009700.0
2019-10-02,1136100.0
2020-03-27,1483200.0
2020-01-10,1161700.0
2019-10-24,1329100.0
2020-03-30,1111300.0
2020-06-17,749400.0
2020-01-14,745500.0
2020-04-02,813800.0
2019-01-02,580400.0
2019-08-14,713100.0
2018-10-30,750700.0
2019-06-11,945500.0
2019-05-10,1547300.0
2019-04-08,901600.0
2018-08-27,1117600.0
2018-07-26,646200.0
2018-09-28,1102800.0
2019-03-07,822200.0
2019-10-30,458200.0
2020-01-17,758900.0
2020-06-23,722100.0
2020-04-08,900400.0
2020-06-26,790300.0
2019-03-22,635000.0
2019-01-17,537400.0
2019-08-29,767200.0
2018-11-14,1118200.0
2019-06-26,1249200.0
2018-09-11,1023900.0
2018-07-09,1020500.0
2018-08-10,1091700.0
2019-04-23,1115600.0
2019-09-30,1111300.0
2020-01-23,1914600.0
2019-11-08,1073100.0
2020-04-14,243400.0
2019-11-11,309600.0
2020-01-29,575500.0
2020-04-17,737800.0
2018-07-24,766800.0
2018-09-26,1618900.0
2019-05-08,869300.0
2019-03-05,765800.0
2019-02-01,841000.0
2018-12-31,1096700.0
2018-11-29,803600.0
2019-08-12,754700.0
2019-07-11,961800.0
2019-09-13,886100.0
2019-11-14,912600.0
2020-04-20,984200.0
2020-02-04,1338400.0
2020-04-23,1666700.0
2018-12-14,1255000.0
2019-08-27,933300.0
2018-08-08,813800.0
2018-10-11,703400.0
2018-11-12,904200.0
2019-07-26,608400.0
2019-06-24,922700.0
2019-05-23,1300500.0
2019-03-20,1253800.0
2019-01-15,1193000.0
2019-11-20,923300.0
2020-02-07,669000.0
2020-02-10,938200.0
2020-04-29,1400000.0
2019-11-26,746800.0
2020-02-13,996000.0
2019-01-30,814200.0
2018-08-23,1091200.0
2018-09-24,1478400.0
2018-11-27,1288700.0
2018-10-26,1022400.0
2019-07-09,1222200.0
2019-06-07,1219400.0
2019-05-06,1056500.0
2019-04-04,1118600.0
2019-09-11,1277700.0
2019-11-29,3988800.0
2020-05-05,1860400.0
2019-12-02,1639200.0
2020-02-19,1528700.0
2020-05-08,1218400.0
2019-05-21,1492800.0
2019-03-18,2322200.0
2018-09-07,2185400.0
2018-08-06,2157100.0
2018-10-09,2494900.0
2019-02-14,1667000.0
2018-12-12,2367600.0
2019-07-24,2364400.0
2019-09-26,2661200.0
2019-10-28,2393300.0
2019-12-05,3441000.0
2020-05-11,2780900.0
2019-07-03,2167300.0
2020-02-25,1757000.0
2020-05-14,1634100.0
2020-02-28,1169900.0
2019-08-08,1584200.0
2019-06-05,2831000.0
2018-07-20,1355700.0
2018-08-21,944800.0
2018-10-24,1187700.0
2019-04-02,1224000.0
2019-03-01,1261400.0
2019-01-28,952800.0
2018-12-27,1177300.0
2019-09-09,764900.0
2020-03-02,904400.0
2020-05-20,922900.0
2019-12-17,915500.0
2020-03-05,1189400.0
2019-02-12,773300.0
2019-01-11,1075400.0
2018-12-10,739900.0
2019-08-23,946200.0
2018-11-08,1010900.0
2019-07-22,1476200.0
2019-06-20,929400.0
2018-09-05,934700.0
2019-04-17,1174800.0
2019-09-24,820800.0
2019-12-20,720100.0
2020-05-26,784000.0
2019-04-30,1128400.0
2019-12-23,1119000.0
2020-03-11,1068400.0
2020-05-29,1091100.0
2019-12-26,908100.0
2020-06-01,1194700.0
2019-05-02,1039100.0
2019-02-27,3087000.0
2018-11-23,931100.0
2019-08-06,756000.0
2018-07-18,683400.0
2018-09-20,685400.0
2018-10-22,445800.0
2019-07-05,873800.0
2019-06-03,876500.0
2019-10-09,947600.0
2019-10-11,1516800.0
2020-03-17,794200.0
2020-06-04,821900.0
2019-10-14,1117200.0
2020-03-20,1113300.0
2018-11-06,827400.0
2019-06-18,753300.0
2019-05-17,857100.0
2019-04-15,614700.0
2019-03-14,1024900.0
2019-01-09,901400.0
2018-08-02,1212300.0
2018-10-05,699800.0
2019-08-21,697700.0
2019-10-17,629200.0
2020-03-23,1766000.0
2020-06-10,1127400.0
2019-02-25,833000.0
2020-01-07,1038000.0
2020-03-26,707800.0
2019-10-23,1789400.0
