Dates,AWK
2018-06-20,83.16999816894531
2018-06-21,82.36000061035156
2018-06-25,83.41999816894531
2018-06-22,85.30000305175781
2018-06-26,85.29000091552734
2018-06-27,85.73999786376953
2018-06-28,85.51000213623047
2018-06-29,85.37999725341797
2018-07-02,86.30999755859375
2018-07-03,86.87999725341797
2018-07-05,87.56999969482422
2018-07-16,88.4800033569336
2018-09-18,85.27999877929688
2019-01-24,86.23999786376953
2019-09-05,87.23999786376953
2018-11-21,87.25
2020-01-13,87.69999694824219
2020-04-01,87.56999969482422
2020-06-19,87.69000244140625
2019-10-29,87.58000183105469
2020-01-16,88.52999877929688
2020-06-22,87.55000305175781
2018-10-03,87.27999877929688
2018-07-31,87.41999816894531
2019-03-12,87.5199966430664
2019-02-08,88.52999877929688
2019-01-07,88.36000061035156
2018-12-06,87.56999969482422
2019-08-19,88.25
2019-07-18,86.55999755859375
2019-05-15,87.54000091552734
2019-09-20,88.05000305175781
2019-11-01,88.26000213623047
2020-04-07,88.08000183105469
2020-06-25,88.12000274658203
2020-06-16,88.22000122070312
2019-11-04,87.63999938964844
2020-01-22,87.4000015258789
2019-11-07,87.58999633789062
2020-04-13,88.30000305175781
2019-07-01,88.95999908447266
2019-05-30,89.48999786376953
2018-08-15,89.36000061035156
2018-10-18,88.97000122070312
2019-03-27,88.26000213623047
2019-01-22,88.2699966430664
2018-12-21,88.8499984741211
2019-09-03,88.05000305175781
2018-11-19,87.25
2019-08-02,87.69000244140625
2020-01-28,87.61000061035156
2020-04-16,87.52999877929688
2019-11-13,88.80000305175781
2020-01-31,89.5
2018-12-04,89.08999633789062
2018-11-02,88.22000122070312
2019-07-16,88.66999816894531
2018-08-30,88.56999969482422
2018-10-01,88.41000366210938
2019-06-14,89.27999877929688
2019-05-13,89.23999786376953
2019-04-11,89.48999786376953
2019-02-06,89.37999725341797
2019-09-18,87.58000183105469
2020-02-03,88.43000030517578
2020-04-22,88.5999984741211
2019-11-19,87.81999969482422
2020-02-06,86.66000366210938
2019-11-22,85.91000366210938
2019-03-25,86.95999908447266
2019-02-21,87.97000122070312
2018-12-19,87.52999877929688
2018-07-12,88.3499984741211
2018-09-14,87.66000366210938
2018-08-13,87.66999816894531
2018-10-16,89.04000091552734
2019-07-31,89.93000030517578
2019-05-28,90.56999969482422
2019-04-26,90.48999786376953
2020-04-28,87.44999694824219
2019-11-25,87.7300033569336
2020-02-12,88.0
2020-05-01,90.05000305175781
2020-05-04,89.94999694824219
2019-06-12,90.44999694824219
