Dates,HSY
2018-06-20,707400.0
2018-06-21,1224600.0
2018-06-25,931200.0
2018-06-22,1488900.0
2018-06-26,1715100.0
2018-06-27,1037800.0
2018-06-28,895000.0
2018-06-29,1193200.0
2018-07-02,1094000.0
2018-07-03,635600.0
2018-07-05,1195400.0
2018-07-16,1259100.0
2018-09-18,785900.0
2019-01-24,926200.0
2019-09-05,929700.0
2018-11-21,884300.0
2020-01-13,856100.0
2020-04-01,776800.0
2020-06-19,601800.0
2019-10-29,1092400.0
2020-01-16,976000.0
2020-06-22,842200.0
2018-10-03,834900.0
2018-07-31,1400300.0
2019-03-12,1444900.0
2019-02-08,3534700.0
2019-01-07,2216800.0
2018-12-06,1567300.0
2019-08-19,1631500.0
2019-07-18,1377100.0
2019-05-15,1253100.0
2019-09-20,1365300.0
2019-11-01,1260100.0
2020-04-07,1373800.0
2020-06-25,748400.0
2020-06-16,764200.0
2019-11-04,633900.0
2020-01-22,712200.0
2019-11-07,626000.0
2020-04-13,1118200.0
2019-07-01,1457400.0
2019-05-30,2508600.0
2018-08-15,965000.0
2018-10-18,971000.0
2019-03-27,818200.0
2019-01-22,654400.0
2018-12-21,917900.0
2019-09-03,612700.0
2018-11-19,622300.0
2019-08-02,665500.0
2020-01-28,906300.0
2020-04-16,1141700.0
2019-11-13,1232500.0
2020-01-31,2057700.0
2018-12-04,1292400.0
2018-11-02,1173100.0
2019-07-16,1148100.0
2018-08-30,922400.0
2018-10-01,1414500.0
2019-06-14,1024400.0
2019-05-13,967700.0
2019-04-11,1831700.0
2019-02-06,1080000.0
2019-09-18,639900.0
2020-02-03,871200.0
2020-04-22,1396200.0
2019-11-19,619600.0
2020-02-06,854200.0
2019-11-22,753800.0
2019-03-25,521300.0
2019-02-21,663100.0
2018-12-19,777100.0
2018-07-12,559400.0
2018-09-14,933100.0
2018-08-13,801900.0
2018-10-16,1138100.0
2019-07-31,935300.0
2019-05-28,869800.0
2019-04-26,1176700.0
2020-04-28,952100.0
2019-11-25,850000.0
2020-02-12,779500.0
2020-05-01,724700.0
2020-05-04,849000.0
2019-06-12,1578900.0
2019-04-09,1303800.0
2019-03-08,941700.0
2019-02-04,1437300.0
2018-07-27,1799200.0
2018-08-28,2429000.0
2019-01-03,1728300.0
2019-08-15,2069100.0
2018-10-31,1775600.0
2019-09-16,1582500.0
2020-02-18,956700.0
2020-05-07,1166000.0
2018-08-17,1206700.0
2019-12-04,884800.0
2020-02-21,1904900.0
2018-12-17,1883300.0
2019-08-30,1679400.0
2018-11-15,1136700.0
2019-07-29,1217500.0
2019-06-27,995700.0
2019-04-24,1400600.0
2018-07-10,1606900.0
2018-09-12,1119100.0
2019-02-19,1521800.0
2019-01-18,1319100.0
2020-02-24,780200.0
2020-05-13,1059800.0
2019-12-10,1452500.0
2020-02-27,1207300.0
2019-12-13,770300.0
2020-05-19,2120900.0
2019-03-06,2094900.0
2018-11-30,2184900.0
2019-08-13,1307900.0
2019-07-12,1101800.0
2019-06-10,966200.0
2019-05-09,1251300.0
2018-07-25,1047800.0
2018-09-27,1233400.0
2018-10-29,992500.0
2019-10-16,988300.0
2019-12-16,1202600.0
2020-03-04,2414700.0
2020-05-22,1523000.0
2019-10-01,1949000.0
2019-12-19,572900.0
2018-09-10,838000.0
2019-05-24,1007200.0
2018-08-09,1036800.0
2019-04-22,835500.0
2019-03-21,1037700.0
2019-01-16,1236700.0
2019-08-28,1642000.0
2018-11-13,1733200.0
2018-10-12,1589700.0
2019-06-25,1039100.0
2020-03-10,1050300.0
2020-05-28,1141300.0
2019-10-07,1145000.0
2020-03-13,805400.0
2019-10-10,753700.0
2020-03-16,996300.0
2020-06-03,938800.0
2018-11-28,983900.0
2018-09-25,849300.0
2018-07-23,1239900.0
2018-08-24,1661700.0
2019-07-10,1171800.0
2019-05-07,913600.0
2019-04-05,1424800.0
2019-03-04,3209100.0
2019-01-31,1522900.0
2019-09-12,1169000.0
2019-12-31,1485400.0
2020-03-19,885100.0
2020-01-03,1072500.0
2020-06-09,1420700.0
2019-02-15,1227200.0
2019-01-14,1007700.0
2018-07-06,1618000.0
2018-08-07,936900.0
2018-10-10,2175300.0
2018-12-13,1122200.0
2019-08-26,1485400.0
2019-07-25,1179600.0
2019-05-22,1132500.0
2019-03-19,943700.0
2020-01-06,1019900.0
2020-03-25,1113600.0
2020-06-12,1195100.0
2019-10-22,1218900.0
2020-01-09,1131300.0
2020-06-15,963000.0
2019-10-25,1052300.0
2020-03-31,765700.0
2020-06-18,1010200.0
2019-04-03,748300.0
2018-08-22,911300.0
2018-10-25,733300.0
2019-01-29,919700.0
2018-12-28,1333400.0
2018-11-26,1145200.0
2019-08-09,1356600.0
2019-07-08,1181900.0
2019-06-06,1113500.0
2019-09-10,1387800.0
2020-01-15,758800.0
2020-04-03,860200.0
2019-10-31,781500.0
2020-04-06,892200.0
2020-06-24,1077800.0
