Dates,HCA
2018-06-20,105.45999908447266
2018-06-21,107.37999725341797
2018-06-25,106.62000274658203
2018-06-22,104.68000030517578
2018-06-26,105.08999633789062
2018-06-27,104.18000030517578
2018-06-28,102.44999694824219
2018-06-29,101.70999908447266
2018-07-02,101.30000305175781
2018-07-03,103.08000183105469
2018-07-05,102.7699966430664
2018-07-16,103.5199966430664
2018-09-18,104.83999633789062
2019-01-24,105.08999633789062
2019-09-05,105.41000366210938
2018-11-21,105.22000122070312
2020-01-13,105.27999877929688
2020-04-01,106.19000244140625
2020-06-19,106.1500015258789
2019-10-29,106.45999908447266
2020-01-16,105.63999938964844
2020-06-22,107.04000091552734
2018-10-03,108.22000122070312
2018-07-31,107.25
2019-03-12,111.41000366210938
2019-02-08,118.81999969482422
2019-01-07,122.16999816894531
2018-12-06,123.29000091552734
2019-08-19,122.37000274658203
2019-07-18,124.19999694824219
2019-05-15,123.91000366210938
2019-09-20,125.69999694824219
2019-11-01,128.69000244140625
2020-04-07,127.86000061035156
2020-06-25,128.22999572753906
2020-06-16,127.1500015258789
2019-11-04,127.16999816894531
2020-01-22,128.16000366210938
2019-11-07,128.9499969482422
2020-04-13,128.91000366210938
2019-07-01,128.88999938964844
2019-05-30,129.66000366210938
2018-08-15,131.05999755859375
2018-10-18,130.2899932861328
2019-03-27,130.2899932861328
2019-01-22,130.25
2018-12-21,130.08999633789062
2019-09-03,130.72000122070312
2018-11-19,130.13999938964844
2019-08-02,130.4499969482422
2020-01-28,130.9199981689453
2020-04-16,130.77999877929688
2019-11-13,133.88999938964844
2020-01-31,132.72999572753906
2018-12-04,131.5500030517578
2018-11-02,131.5399932861328
2019-07-16,130.97000122070312
2018-08-30,131.25999450683594
2018-10-01,130.17999267578125
2019-06-14,131.77999877929688
2019-05-13,133.55999755859375
2019-04-11,132.35000610351562
2019-02-06,132.88999938964844
2019-09-18,131.6199951171875
2020-02-03,132.3800048828125
2020-04-22,132.85000610351562
2019-11-19,133.33999633789062
2020-02-06,133.38999938964844
2019-11-22,134.49000549316406
2019-03-25,136.57000732421875
2019-02-21,136.75999450683594
2018-12-19,139.16000366210938
2018-07-12,137.6999969482422
2018-09-14,137.89999389648438
2018-08-13,137.94000244140625
2018-10-16,138.27999877929688
2019-07-31,137.44000244140625
2019-05-28,138.60000610351562
2019-04-26,134.99000549316406
2020-04-28,132.24000549316406
2019-11-25,132.72999572753906
2020-02-12,132.67999267578125
2020-05-01,132.33999633789062
2020-05-04,134.17999267578125
2019-06-12,135.33999633789062
2019-04-09,133.3699951171875
2019-03-08,131.57000732421875
2019-02-04,127.5
2018-07-27,126.22000122070312
2018-08-28,126.51000213623047
2019-01-03,124.31999969482422
2019-08-15,128.7899932861328
2018-10-31,121.16999816894531
2019-09-16,133.02999877929688
2020-02-18,133.64999389648438
2020-05-07,133.8000030517578
2018-08-17,134.5500030517578
2019-12-04,134.27000427246094
2020-02-21,136.0800018310547
2018-12-17,140.0399932861328
2019-08-30,141.63999938964844
2018-11-15,141.66000366210938
2019-07-29,140.5399932861328
2019-06-27,138.64999389648438
2019-04-24,135.97000122070312
