Dates,HCA
2018-06-20,1600800.0
2018-06-21,1776600.0
2018-06-25,2811800.0
2018-06-22,2068700.0
2018-06-26,1828800.0
2018-06-27,1248000.0
2018-06-28,1631500.0
2018-06-29,1258700.0
2018-07-02,1403100.0
2018-07-03,741700.0
2018-07-05,2002200.0
2018-07-16,1233600.0
2018-09-18,960500.0
2019-01-24,1024800.0
2019-09-05,1018000.0
2018-11-21,1370900.0
2020-01-13,1111100.0
2020-04-01,1167000.0
2020-06-19,1805300.0
2019-10-29,1428500.0
2020-01-16,3015900.0
2020-06-22,1216200.0
2018-10-03,2038600.0
2018-07-31,2428100.0
2019-03-12,4998800.0
2019-02-08,3970000.0
2019-01-07,2252300.0
2018-12-06,1912800.0
2019-08-19,1650500.0
2019-07-18,2156100.0
2019-05-15,2112700.0
2019-09-20,2831900.0
2019-11-01,2199700.0
2020-04-07,1051100.0
2020-06-25,2009300.0
2020-06-16,1340500.0
2019-11-04,1286800.0
2020-01-22,973500.0
2019-11-07,1033200.0
2020-04-13,1724400.0
2019-07-01,1510900.0
2019-05-30,1608300.0
2018-08-15,1112700.0
2018-10-18,2208900.0
2019-03-27,973300.0
2019-01-22,1245200.0
2018-12-21,692400.0
2019-09-03,876800.0
2018-11-19,1392400.0
2019-08-02,1296000.0
2020-01-28,958200.0
2020-04-16,1545800.0
2019-11-13,3377800.0
2020-01-31,1835800.0
2018-12-04,1572200.0
2018-11-02,1403700.0
2019-07-16,1451000.0
2018-08-30,1707300.0
2018-10-01,2103200.0
2019-06-14,1547400.0
2019-05-13,990400.0
2019-04-11,866000.0
2019-02-06,1927600.0
2019-09-18,2461200.0
2020-02-03,1304400.0
2020-04-22,3714700.0
2019-11-19,1090800.0
2020-02-06,1896200.0
2019-11-22,1965300.0
2019-03-25,2427000.0
2019-02-21,2013100.0
2018-12-19,1616000.0
2018-07-12,2151700.0
2018-09-14,1498800.0
2018-08-13,1389000.0
2018-10-16,1512900.0
2019-07-31,1215100.0
2019-05-28,1649800.0
2019-04-26,1642300.0
2020-04-28,1940600.0
2019-11-25,1605800.0
2020-02-12,1422600.0
2020-05-01,1908800.0
2020-05-04,1552000.0
2019-06-12,2227200.0
2019-04-09,2247300.0
2019-03-08,2356200.0
2019-02-04,2294500.0
2018-07-27,2084100.0
2018-08-28,1595600.0
2019-01-03,2469600.0
2019-08-15,4097500.0
2018-10-31,4695800.0
2019-09-16,2536200.0
2020-02-18,2013300.0
2020-05-07,2084300.0
2018-08-17,2047000.0
2019-12-04,1534300.0
2020-02-21,2345200.0
2018-12-17,2216300.0
2019-08-30,1903200.0
2018-11-15,1426800.0
2019-07-29,1538400.0
2019-06-27,1985000.0
2019-04-24,2628200.0
2018-07-10,2388800.0
2018-09-12,2693700.0
2019-02-19,1653000.0
2019-01-18,1906100.0
2020-02-24,570000.0
2020-05-13,2047400.0
2019-12-10,1962000.0
2020-02-27,2458500.0
2019-12-13,1819900.0
2020-05-19,2214300.0
2019-03-06,1385000.0
2018-11-30,3066900.0
2019-08-13,2121900.0
2019-07-12,1829800.0
2019-06-10,1987400.0
2019-05-09,1169100.0
2018-07-25,2356600.0
2018-09-27,2377100.0
2018-10-29,2450300.0
2019-10-16,3510500.0
2019-12-16,2391100.0
2020-03-04,2103200.0
2020-05-22,2185400.0
2019-10-01,3192800.0
2019-12-19,971100.0
2018-09-10,1275000.0
2019-05-24,1641600.0
2018-08-09,1117300.0
2019-04-22,1206400.0
2019-03-21,1501300.0
2019-01-16,1817300.0
2019-08-28,1487100.0
2018-11-13,2906500.0
2018-10-12,1066600.0
2019-06-25,1857100.0
2020-03-10,960200.0
2020-05-28,1466100.0
2019-10-07,992800.0
2020-03-13,2168800.0
2019-10-10,1318000.0
2020-03-16,961800.0
2020-06-03,2233600.0
2018-11-28,2039800.0
2018-09-25,1561200.0
2018-07-23,1187300.0
2018-08-24,1909800.0
2019-07-10,1812900.0
2019-05-07,2669700.0
2019-04-05,2259000.0
2019-03-04,1880100.0
2019-01-31,1866700.0
2019-09-12,1334100.0
2019-12-31,1037300.0
2020-03-19,902600.0
2020-01-03,1241300.0
2020-06-09,996900.0
2019-02-15,1015400.0
2019-01-14,1076400.0
2018-07-06,745700.0
2018-08-07,1035600.0
2018-10-10,1176600.0
2018-12-13,1418800.0
2019-08-26,1640900.0
2019-07-25,1714600.0
2019-05-22,898100.0
2019-03-19,1433200.0
2020-01-06,1332700.0
2020-03-25,1279300.0
2020-06-12,1718800.0
2019-10-22,1997100.0
2020-01-09,2334500.0
2020-06-15,2257000.0
2019-10-25,3543000.0
2020-03-31,3655600.0
2020-06-18,1700400.0
2019-04-03,3133000.0
2018-08-22,2694800.0
2018-10-25,1584800.0
2019-01-29,1756200.0
2018-12-28,2924400.0
2018-11-26,2385900.0
2019-08-09,1767400.0
2019-07-08,1759900.0
2019-06-06,770000.0
2019-09-10,1560100.0
2020-01-15,1305500.0
2020-04-03,1717700.0
2019-10-31,1427600.0
2020-04-06,1031500.0
2020-06-24,1410600.0
2018-11-09,1405500.0
2019-07-23,958400.0
2019-06-21,994000.0
2019-05-20,1488700.0
2019-04-18,1592400.0
2018-09-06,993000.0
2018-10-08,1132000.0
2019-02-13,1111400.0
2018-12-11,1020800.0
2019-09-25,2693200.0
2020-01-21,1651100.0
2020-04-09,5138500.0
2019-11-06,3955700.0
2020-01-24,3832200.0
2020-01-27,3140700.0
2020-04-15,3050300.0
2018-12-26,3483800.0
2019-08-07,1425400.0
2019-06-04,1887500.0
2018-09-21,2223000.0
2018-07-19,3623900.0
2018-08-20,2823500.0
2018-10-23,2810200.0
2019-05-03,1580700.0
2019-04-01,1824900.0
2019-02-28,1859900.0
2019-11-12,2050000.0
2020-01-30,1475500.0
2019-11-15,1152900.0
2020-04-21,1588000.0
2019-04-16,1409100.0
2019-03-15,1252300.0
2019-02-11,1430600.0
2019-01-10,1216100.0
2019-08-22,1976700.0
2018-11-07,1683400.0
2018-08-03,1012900.0
2018-09-04,2532000.0
2019-06-19,2335000.0
2019-09-23,2719800.0
2019-11-18,1136000.0
2020-02-05,1044800.0
2020-04-24,1558300.0
2019-03-29,1588300.0
2019-11-21,2470400.0
2020-04-27,1981100.0
