Dates,JPY=X
2007-02-12,121.7699966430664
2007-02-13,121.2699966430664
2007-02-15,120.30999755859375
2007-02-14,119.38999938964844
2007-02-16,119.41000366210938
2007-02-19,119.69000244140625
2007-02-20,120.01499938964844
2007-02-21,120.94000244140625
2007-02-22,121.48999786376953
2007-02-23,121.08999633789062
2007-02-26,120.63999938964844
2007-04-29,118.08999633789062
2007-03-28,118.7300033569336
2007-11-07,117.72000122070312
2007-09-04,117.19000244140625
2008-04-15,115.58999633789062
2008-05-21,116.77999877929688
2008-01-25,115.69000244140625
2007-05-14,117.1500015258789
2007-04-12,118.31999969482422
2007-12-24,117.56999969482422
2007-11-22,116.0199966430664
2007-10-21,117.26000213623047
2007-09-19,117.1500015258789
2007-07-17,116.73999786376953
2008-02-26,117.61000061035156
2008-05-27,117.25
2008-06-02,117.41000366210938
2007-08-01,118.08999633789062
2008-04-13,118.05000305175781
2008-03-12,118.12000274658203
2007-03-26,117.75
2007-05-29,116.87000274658203
2008-01-08,117.9800033569336
2007-12-07,117.80999755859375
2007-11-05,117.76000213623047
2007-10-04,118.87000274658203
2007-09-02,118.7699966430664
2008-06-05,118.69200134277344
2008-08-26,119.06999969482422
2007-09-17,119.22000122070312
2007-08-16,119.12000274658203
2007-04-10,119.29000091552734
2007-03-09,119.0
2007-07-15,119.2300033569336
2008-03-27,119.76000213623047
2007-06-13,118.94999694824219
2008-01-23,118.44999694824219
2007-11-20,118.25
2008-04-28,118.66000366210938
2008-06-11,118.56999969482422
2007-12-05,118.4800033569336
2007-10-02,118.68000030517578
2007-04-25,119.52999877929688
2007-05-27,119.4800033569336
2007-07-30,119.36000061035156
2007-06-28,119.80000305175781
2008-03-10,120.16000366210938
2008-02-07,120.36000061035156
2008-05-13,120.2699966430664
2008-07-16,120.05000305175781
2008-06-23,119.98999786376953
2008-03-25,120.11000061035156
2007-06-11,119.83999633789062
2008-02-22,120.19000244140625
2008-01-21,120.31999969482422
2007-12-20,120.22000122070312
2007-05-10,120.72000122070312
2007-03-07,121.29100036621094
2007-04-08,121.05999755859375
2007-10-17,121.47000122070312
2007-08-14,121.63999938964844
2008-06-26,121.5199966430664
2007-05-31,121.35800170898438
2008-06-29,121.76000213623047
2008-07-02,121.69999694824219
2007-09-30,121.58999633789062
2007-08-29,121.58999633789062
2008-04-09,121.75
2007-06-26,122.12999725341797
2008-02-05,121.72000122070312
2008-01-04,121.33999633789062
2007-03-22,121.01000213623047
2007-04-23,120.87999725341797
2007-12-03,121.70999908447266
2007-11-01,121.76000213623047
2008-07-08,121.62000274658203
2007-11-16,122.56999969482422
2007-10-15,122.95500183105469
2007-09-13,123.4000015258789
2007-08-12,123.68000030517578
2007-07-11,123.41999816894531
2008-02-20,123.47000122070312
2007-03-05,123.73999786376953
2007-05-08,123.69000244140625
2008-04-24,123.58000183105469
2008-05-26,123.04000091552734
2008-07-14,123.1500015258789
2008-07-17,123.16000366210938
2007-06-24,123.16000366210938
2008-03-06,122.2300033569336
2007-05-23,122.47000122070312
2008-01-02,122.66000366210938
2007-03-20,122.94999694824219
2007-10-30,123.36000061035156
2007-08-27,123.37000274658203
2007-07-26,121.29000091552734
2008-04-07,122.2699966430664
2008-06-10,122.4000015258789
2008-07-20,121.9000015258789
2008-07-23,121.80000305175781
2007-09-11,122.0
2007-05-06,121.9000015258789
2007-04-04,122.10900115966797
2007-06-07,121.2699966430664
2007-07-09,121.05000305175781
2008-03-21,120.11000061035156
2008-02-18,120.45999908447266
2008-01-17,118.45999908447266
2007-11-14,118.95999908447266
2008-04-22,119.1500015258789
2008-05-08,118.41999816894531
2008-05-11,118.9800033569336
2008-07-29,119.13999938964844
2007-11-29,118.04000091552734
2007-05-21,118.81999969482422
2007-04-19,118.80000305175781
2007-09-26,119.69000244140625
2007-07-24,118.29000091552734
2008-03-04,118.51000213623047
2008-02-01,118.20999908447266
2007-12-31,117.41999816894531
2008-05-07,116.31999969482422
2008-06-08,114.05999755859375
2008-08-07,114.25
2008-01-15,114.83999633789062
2007-12-14,114.1500015258789
2007-04-02,115.62000274658203
2007-03-01,116.0199966430664
2007-06-05,116.37999725341797
2007-11-12,115.55000305175781
2007-10-11,114.33999633789062
2007-08-08,115.83999633789062
2008-04-20,115.94000244140625
2008-03-19,115.7699966430664
2007-08-23,115.77999877929688
2007-07-22,116.23999786376953
2008-04-03,115.12000274658203
2007-06-20,115.38999938964844
2008-01-30,113.38999938964844
2007-04-17,114.26000213623047
2007-03-16,114.12000274658203
2007-11-27,114.58999633789062
2007-09-24,115.26000213623047
2008-05-05,115.02999877929688
2008-05-29,115.91000366210938
2008-03-14,116.01000213623047
2008-06-01,114.63999938964844
2008-06-04,115.4800033569336
2007-10-09,114.86000061035156
2007-08-06,114.66000366210938
2007-07-05,115.44000244140625
2008-03-17,115.55000305175781
2007-05-02,114.73999786376953
2007-02-27,115.80000305175781
2007-06-03,115.70999908447266
2008-02-14,116.55999755859375
2007-12-12,116.41000366210938
2008-05-20,116.87999725341797
2008-08-25,117.31999969482422
2008-08-28,117.19000244140625
2008-01-28,117.14800262451172
2007-12-27,117.37000274658203
2007-10-24,117.58999633789062
2007-08-21,117.31999969482422
2007-03-14,116.94000244140625
2007-05-17,116.48999786376953
2007-04-15,115.45999908447266
2007-06-18,114.55999755859375
2008-04-01,114.44200134277344
2008-02-29,114.86000061035156
2008-01-10,114.18000030517578
2008-06-16,113.96299743652344
2008-06-19,114.20999908447266
2008-04-16,114.69999694824219
2007-07-03,114.77999877929688
2008-02-12,115.38999938964844
