Dates,EMN
2018-06-20,1235900.0
2018-06-21,1226500.0
2018-06-25,1367100.0
2018-06-22,1021400.0
2018-06-26,1220700.0
2018-06-27,1360100.0
2018-06-28,1098400.0
2018-06-29,1179000.0
2018-07-02,776100.0
2018-07-03,544600.0
2018-07-05,817200.0
2018-07-16,583700.0
2018-09-18,725100.0
2019-01-24,1005900.0
2019-09-05,894500.0
2018-11-21,839500.0
2020-01-13,616000.0
2020-04-01,514800.0
2020-06-19,716100.0
2019-10-29,676000.0
2020-01-16,517900.0
2020-06-22,662600.0
2018-10-03,595100.0
2018-07-31,552100.0
2019-03-12,991900.0
2019-02-08,935500.0
2019-01-07,1602200.0
2018-12-06,910900.0
2019-08-19,1142900.0
2019-07-18,840300.0
2019-05-15,1003600.0
2019-09-20,1009700.0
2019-11-01,853200.0
2020-04-07,748100.0
2020-06-25,714300.0
2020-06-16,561800.0
2019-11-04,803800.0
2020-01-22,814600.0
2019-11-07,871300.0
2020-04-13,953900.0
2019-07-01,768700.0
2019-05-30,857000.0
2018-08-15,896100.0
2018-10-18,1144600.0
2019-03-27,1081400.0
2019-01-22,686100.0
2018-12-21,670500.0
2019-09-03,540600.0
2018-11-19,759000.0
2019-08-02,566300.0
2020-01-28,769600.0
2020-04-16,824400.0
2019-11-13,916600.0
2020-01-31,1371100.0
2018-12-04,778200.0
2018-11-02,856700.0
2019-07-16,857500.0
2018-08-30,1453900.0
2018-10-01,875000.0
2019-06-14,901200.0
2019-05-13,1017500.0
2019-04-11,721000.0
2019-02-06,920700.0
2019-09-18,911200.0
2020-02-03,842500.0
2020-04-22,1341400.0
2019-11-19,763400.0
2020-02-06,667500.0
2019-11-22,752200.0
2019-03-25,727000.0
2019-02-21,899000.0
2018-12-19,483700.0
2018-07-12,551100.0
2018-09-14,969700.0
2018-08-13,1244300.0
2018-10-16,2518000.0
2019-07-31,1408200.0
2019-05-28,2543000.0
2019-04-26,2798900.0
2020-04-28,2146300.0
2019-11-25,1801000.0
2020-02-12,1984200.0
2020-05-01,1274900.0
2020-05-04,1069200.0
2019-06-12,1270200.0
2019-04-09,1328500.0
2019-03-08,940000.0
2019-02-04,1651100.0
2018-07-27,1839100.0
2018-08-28,1652300.0
2019-01-03,2837000.0
2019-08-15,1894100.0
2018-10-31,1855300.0
2019-09-16,1984800.0
2020-02-18,1451600.0
2020-05-07,1726900.0
2018-08-17,1273400.0
2019-12-04,1209900.0
2020-02-21,1176400.0
2018-12-17,965300.0
2019-08-30,1310100.0
2018-11-15,856900.0
2019-07-29,1023200.0
2019-06-27,1583100.0
2019-04-24,904900.0
2018-07-10,752900.0
2018-09-12,962400.0
2019-02-19,994700.0
2019-01-18,944000.0
2020-02-24,940000.0
2020-05-13,1865600.0
2019-12-10,1123700.0
2020-02-27,1107000.0
2019-12-13,717100.0
2020-05-19,1307600.0
2019-03-06,1611900.0
2018-11-30,1236700.0
2019-08-13,1810100.0
2019-07-12,1710000.0
2019-06-10,1509000.0
2019-05-09,1276600.0
2018-07-25,2498600.0
2018-09-27,1995800.0
2018-10-29,2584500.0
2019-10-16,1885400.0
2019-12-16,1713800.0
2020-03-04,1236300.0
2020-05-22,1572300.0
2019-10-01,3089200.0
2019-12-19,510200.0
2018-09-10,910700.0
2019-05-24,1131200.0
2018-08-09,774100.0
2019-04-22,725800.0
2019-03-21,1589000.0
2019-01-16,1206900.0
2019-08-28,999000.0
2018-11-13,2140100.0
2018-10-12,1685400.0
2019-06-25,1078000.0
2020-03-10,1217000.0
2020-05-28,800400.0
2019-10-07,1159600.0
2020-03-13,836800.0
2019-10-10,1141300.0
2020-03-16,1567800.0
2020-06-03,1803100.0
2018-11-28,1154500.0
2018-09-25,1213100.0
2018-07-23,1068600.0
2018-08-24,1180000.0
2019-07-10,981000.0
2019-05-07,1125600.0
2019-04-05,1203300.0
2019-03-04,1819900.0
2019-01-31,2356500.0
2019-09-12,1755700.0
2019-12-31,1548600.0
2020-03-19,1274500.0
2020-01-03,1215600.0
2020-06-09,1051400.0
2019-02-15,932700.0
2019-01-14,1135700.0
2018-07-06,1347300.0
2018-08-07,1269800.0
2018-10-10,1053500.0
2018-12-13,1108700.0
2019-08-26,1017500.0
2019-07-25,808400.0
2019-05-22,966700.0
2019-03-19,581500.0
2020-01-06,516600.0
2020-03-25,654000.0
2020-06-12,1263600.0
2019-10-22,825100.0
2020-01-09,919800.0
2020-06-15,964200.0
2019-10-25,1060200.0
2020-03-31,1489600.0
2020-06-18,1154800.0
2019-04-03,790700.0
2018-08-22,969500.0
2018-10-25,985400.0
2019-01-29,1205400.0
2018-12-28,2491300.0
2018-11-26,1493500.0
2019-08-09,1179500.0
2019-07-08,1035800.0
2019-06-06,1190200.0
2019-09-10,1513800.0
2020-01-15,1271000.0
2020-04-03,939700.0
2019-10-31,1267900.0
2020-04-06,775200.0
2020-06-24,1760600.0
2018-11-09,1115900.0
2019-07-23,1306800.0
2019-06-21,1853300.0
2019-05-20,1055000.0
2019-04-18,1237800.0
2018-09-06,1334400.0
2018-10-08,720600.0
2019-02-13,637400.0
2018-12-11,1065000.0
2019-09-25,1820300.0
2020-01-21,799900.0
2020-04-09,968600.0
2019-11-06,1080300.0
2020-01-24,956600.0
2020-01-27,744100.0
2020-04-15,1440400.0
2018-12-26,805800.0
2019-08-07,1364900.0
2019-06-04,2193800.0
2018-09-21,1002000.0
2018-07-19,1135300.0
2018-08-20,1238200.0
2018-10-23,1387500.0
2019-05-03,1222900.0
2019-04-01,1184200.0
2019-02-28,1189700.0
