Dates,EMN
2018-06-20,104.58000183105469
2018-06-21,103.08000183105469
2018-06-25,102.12000274658203
2018-06-22,101.97000122070312
2018-06-26,100.62000274658203
2018-06-27,100.2300033569336
2018-06-28,99.19000244140625
2018-06-29,100.05999755859375
2018-07-02,98.77999877929688
2018-07-03,100.20999908447266
2018-07-05,99.33999633789062
2018-07-16,99.0
2018-09-18,99.94999694824219
2019-01-24,102.44000244140625
2019-09-05,100.77999877929688
2018-11-21,99.86000061035156
2020-01-13,99.05999755859375
2020-04-01,99.58999633789062
2020-06-19,98.66000366210938
2019-10-29,100.7300033569336
2020-01-16,101.08999633789062
2020-06-22,100.29000091552734
2018-10-03,99.98999786376953
2018-07-31,100.23999786376953
2019-03-12,99.9800033569336
2019-02-08,101.81999969482422
2019-01-07,101.0
2018-12-06,101.02999877929688
2019-08-19,101.91999816894531
2019-07-18,103.26000213623047
2019-05-15,100.9000015258789
2019-09-20,100.0
2019-11-01,101.5999984741211
2020-04-07,102.25
2020-06-25,101.97000122070312
2020-06-16,101.44000244140625
2019-11-04,101.0999984741211
2020-01-22,100.02999877929688
2019-11-07,99.08999633789062
2020-04-13,98.30999755859375
2019-07-01,97.56999969482422
2019-05-30,97.37999725341797
2018-08-15,97.80000305175781
2018-10-18,98.25
2019-03-27,99.19999694824219
2019-01-22,98.1500015258789
2018-12-21,98.30000305175781
2019-09-03,99.31999969482422
2018-11-19,99.93000030517578
2019-08-02,98.80999755859375
2020-01-28,98.4800033569336
2020-04-16,97.44000244140625
2019-11-13,96.73999786376953
2020-01-31,96.62999725341797
2018-12-04,97.75
2018-11-02,96.91999816894531
2019-07-16,97.56999969482422
2018-08-30,96.25
2018-10-01,95.97000122070312
2019-06-14,95.95999908447266
2019-05-13,97.02999877929688
2019-04-11,97.3499984741211
2019-02-06,98.05999755859375
2019-09-18,97.72000122070312
2020-02-03,99.5999984741211
2020-04-22,100.16999816894531
2019-11-19,99.88999938964844
2020-02-06,99.3499984741211
2019-11-22,98.4000015258789
2019-03-25,97.91000366210938
2019-02-21,96.4000015258789
2018-12-19,96.44000244140625
2018-07-12,97.0199966430664
2018-09-14,97.81999969482422
2018-08-13,97.30000305175781
2018-10-16,95.02999877929688
2019-07-31,91.12000274658203
2019-05-28,90.38999938964844
2019-04-26,87.0
2020-04-28,83.75
2019-11-25,83.75
2020-02-12,82.48999786376953
2020-05-01,82.86000061035156
2020-05-04,83.69999694824219
2019-06-12,83.05000305175781
2019-04-09,82.05999755859375
2019-03-08,81.16000366210938
2019-02-04,78.04000091552734
2018-07-27,78.9000015258789
2018-08-28,77.0199966430664
2019-01-03,73.94999694824219
2019-08-15,79.2699966430664
2018-10-31,76.38999938964844
2019-09-16,79.93000030517578
2020-02-18,79.94000244140625
2020-05-07,82.20999908447266
2018-08-17,83.01000213623047
2019-12-04,82.19000244140625
2020-02-21,83.54000091552734
2018-12-17,83.52999877929688
2019-08-30,82.94999694824219
2018-11-15,83.06999969482422
2019-07-29,81.45999908447266
2019-06-27,81.25
2019-04-24,81.30999755859375
2018-07-10,82.61000061035156
2018-09-12,83.02999877929688
2019-02-19,80.45999908447266
2019-01-18,80.66000366210938
2020-02-24,79.30000305175781
2020-05-13,78.13999938964844
2019-12-10,78.72000122070312
2020-02-27,78.16000366210938
2019-12-13,78.77999877929688
2020-05-19,78.55999755859375
2019-03-06,81.08000183105469
2018-11-30,80.52999877929688
2019-08-13,76.11000061035156
2019-07-12,76.1500015258789
2019-06-10,72.58999633789062
2019-05-09,74.7300033569336
2018-07-25,73.9000015258789
2018-09-27,72.79000091552734
2018-10-29,70.76000213623047
