Dates,VFC
2018-06-20,78.33333587646484
2018-06-21,78.09793090820312
2018-06-25,76.81732940673828
2018-06-22,76.46892547607422
2018-06-26,77.22222137451172
2018-06-27,76.44068145751953
2018-06-28,76.82674407958984
2018-06-29,76.76082611083984
2018-07-02,76.48776245117188
2018-07-03,76.73258209228516
2018-07-05,76.53484344482422
2018-07-16,76.75141143798828
2018-09-18,77.54237365722656
2019-01-24,78.24858856201172
2019-09-05,78.45574188232422
2018-11-21,78.81356048583984
2020-01-13,79.88700866699219
2020-04-01,83.6158218383789
2020-06-19,83.3427505493164
2019-10-29,83.0696792602539
2020-01-16,84.0301284790039
2020-06-22,87.51412200927734
2018-10-03,86.88323974609375
2018-07-31,86.13935852050781
2019-03-12,87.00565338134766
2019-02-08,88.32391357421875
2019-01-07,86.60075378417969
2018-12-06,86.25235748291016
2019-08-19,86.69491577148438
2019-07-18,85.9698715209961
2019-05-15,86.7231674194336
2019-09-20,87.0433120727539
2019-11-01,88.23917388916016
2020-04-07,88.41807556152344
2020-06-25,89.08663177490234
2020-06-16,89.97174835205078
2019-11-04,90.66854858398438
2020-01-22,87.40113067626953
2019-11-07,88.50282287597656
2020-04-13,86.93973541259766
2019-07-01,85.8097915649414
2019-05-30,86.28060150146484
2018-08-15,87.43879699707031
2018-10-18,86.93973541259766
2019-03-27,86.34651947021484
2019-01-22,85.98870086669922
2018-12-21,86.41242980957031
2019-09-03,87.15631103515625
2018-11-19,88.12617492675781
2019-08-02,87.81544494628906
2020-01-28,85.89453887939453
2020-04-16,86.75141143798828
2019-11-13,86.51600646972656
2020-01-31,85.77212524414062
2018-12-04,85.96044921875
2018-11-02,84.22787475585938
2019-07-16,84.82109069824219
2018-08-30,84.74576568603516
2018-10-01,84.41619873046875
2019-06-14,85.88512420654297
2019-05-13,85.84745788574219
2019-04-11,85.82862854003906
2019-02-06,86.94915008544922
2019-09-18,86.36534881591797
2020-02-03,86.49717712402344
2020-04-22,86.85498809814453
2019-11-19,85.91336822509766
2020-02-06,85.65913391113281
2019-11-22,87.17514038085938
2019-03-25,87.6836166381836
2019-02-21,87.99434661865234
2018-12-19,87.96610260009766
2018-07-12,87.62712097167969
2018-09-14,88.32391357421875
2018-08-13,86.11111450195312
2018-10-16,86.12994384765625
2019-07-31,86.99623107910156
2019-05-28,87.17514038085938
2019-04-26,81.20527648925781
2020-04-28,80.480224609375
2019-11-25,82.32579803466797
2020-02-12,82.49529266357422
2020-05-01,84.41619873046875
2020-05-04,84.06779479980469
2019-06-12,82.00565338134766
2019-04-09,73.2203369140625
2019-03-08,73.0696792602539
2019-02-04,73.17325592041016
2018-07-27,72.69303131103516
2018-08-28,74.74576568603516
2019-01-03,74.67984771728516
2019-08-15,76.34651947021484
2018-10-31,77.65536499023438
2019-09-16,78.04142761230469
2020-02-18,80.1506576538086
2020-05-07,80.40489959716797
2018-08-17,81.41242980957031
2019-12-04,80.47080993652344
2020-02-21,81.15819549560547
2018-12-17,81.55367279052734
2019-08-30,79.2467041015625
2018-11-15,78.71939849853516
2019-07-29,78.63465118408203
2019-06-27,78.96421813964844
2019-04-24,79.16195678710938
2018-07-10,77.48587799072266
2018-09-12,75.33898162841797
2019-02-19,73.90772247314453
2019-01-18,74.86817169189453
2020-02-24,74.35969543457031
2020-05-13,75.81920623779297
2019-12-10,74.40677642822266
2020-02-27,75.4237289428711
2019-12-13,74.82109069824219
2020-05-19,76.54425811767578
2019-03-06,78.18267059326172
2018-11-30,75.64971923828125
2019-08-13,75.28248596191406
2019-07-12,71.5630874633789
2019-06-10,71.87382507324219
2019-05-09,71.70433044433594
2018-07-25,72.17514038085938
2018-09-27,71.77024841308594
2018-10-29,70.76271057128906
2019-10-16,68.78530883789062
2019-12-16,69.47269439697266
2020-03-04,67.64595031738281
2020-05-22,65.96044921875
2019-10-01,65.79096221923828
2019-12-19,63.38983154296875
2018-09-10,65.67796325683594
2019-05-24,66.30885314941406
2018-08-09,66.4500961303711
2019-04-22,67.17514038085938
2019-03-21,67.18455505371094
2019-01-16,65.2071533203125
2019-08-28,67.44821166992188
2018-11-13,68.71939849853516
2018-10-12,70.25423431396484
2019-06-25,70.40489959716797
2020-03-10,69.34086608886719
2020-05-28,67.28813934326172
2019-10-07,67.44821166992188
2020-03-13,67.85310363769531
2019-10-10,67.72128295898438
2020-03-16,68.98304748535156
2020-06-03,77.532958984375
2018-11-28,76.99623107910156
2018-09-25,78.05084991455078
2018-07-23,78.47457885742188
2018-08-24,78.62523651123047
2019-07-10,78.81356048583984
2019-05-07,79.17137145996094
2019-04-05,79.6704330444336
2019-03-04,79.25611877441406
2019-01-31,79.31261444091797
2019-09-12,80.09416198730469
2019-12-31,80.73446655273438
2020-03-19,81.42184448242188
2020-01-03,81.01695251464844
2020-06-09,80.77212524414062
2019-02-15,80.49906158447266
2019-01-14,81.58192443847656
2018-07-06,81.43125915527344
2018-08-07,80.95103454589844
2018-10-10,81.82674407958984
