Dates,VFC
2018-06-20,79.16195678710938
2018-06-21,78.51223754882812
2018-06-25,78.32391357421875
2018-06-22,76.95857238769531
2018-06-26,78.52165985107422
2018-06-27,77.97551727294922
2018-06-28,77.3163833618164
2018-06-29,78.22975158691406
2018-07-02,76.7796630859375
2018-07-03,77.41996002197266
2018-07-05,77.17514038085938
2018-07-16,77.08097839355469
2018-09-18,78.09793090820312
2019-01-24,78.41807556152344
2019-09-05,78.9171371459961
2018-11-21,79.43502807617188
2020-01-13,80.97928619384766
2020-04-01,83.79472351074219
2020-06-19,84.02071380615234
2019-10-29,83.7664794921875
2020-01-16,84.3691177368164
2020-06-22,88.05084991455078
2018-10-03,88.04142761230469
2018-07-31,87.41996002197266
2019-03-12,87.07156372070312
2019-02-08,88.95480346679688
2019-01-07,88.41807556152344
2018-12-06,86.61958312988281
2019-08-19,87.02448272705078
2019-07-18,86.54425811767578
2019-05-15,87.29755401611328
2019-09-20,87.41996002197266
2019-11-01,88.29566955566406
2020-04-07,88.7099838256836
2020-06-25,89.31261444091797
2020-06-16,90.35781860351562
2019-11-04,91.33709716796875
2020-01-22,90.41431427001953
2019-11-07,88.88888549804688
2020-04-13,87.96610260009766
2019-07-01,87.12805938720703
2019-05-30,86.6290054321289
2018-08-15,87.57061767578125
2018-10-18,88.11676025390625
2019-03-27,87.22222137451172
2019-01-22,86.7231674194336
2018-12-21,86.47834014892578
2019-09-03,87.3163833618164
2018-11-19,88.23917388916016
2019-08-02,88.12617492675781
2020-01-28,87.64595031738281
2020-04-16,86.86441040039062
2019-11-13,86.94915008544922
2020-01-31,86.41242980957031
2018-12-04,86.49717712402344
2018-11-02,85.64971923828125
2019-07-16,85.1224136352539
2018-08-30,85.3295669555664
2018-10-01,84.93408966064453
2019-06-14,86.21469116210938
2019-05-13,87.54237365722656
2019-04-11,86.16761016845703
2019-02-06,87.28813934326172
2019-09-18,86.93973541259766
2020-02-03,87.01506805419922
2020-04-22,87.4105453491211
2019-11-19,86.85498809814453
2020-02-06,86.49717712402344
2019-11-22,87.87194061279297
2019-03-25,88.38983154296875
2019-02-21,88.6158218383789
2018-12-19,88.95480346679688
2018-07-12,88.62523651123047
2018-09-14,88.75706481933594
2018-08-13,88.2203369140625
