Dates,VFC
2018-06-20,1755800.0
2018-06-21,1622300.0
2018-06-25,1818700.0
2018-06-22,2545000.0
2018-06-26,2291700.0
2018-06-27,1524700.0
2018-06-28,1380900.0
2018-06-29,1816200.0
2018-07-02,1450600.0
2018-07-03,721700.0
2018-07-05,1379400.0
2018-07-16,1177700.0
2018-09-18,1650800.0
2019-01-24,2051700.0
2019-09-05,1731800.0
2018-11-21,1825200.0
2020-01-13,1757200.0
2020-04-01,4579000.0
2020-06-19,2409200.0
2019-10-29,2220700.0
2020-01-16,3359100.0
2020-06-22,4651800.0
2018-10-03,3036600.0
2018-07-31,2230400.0
2019-03-12,2596500.0
2019-02-08,2595300.0
2019-01-07,2602400.0
2018-12-06,2028500.0
2019-08-19,2694900.0
2019-07-18,1921700.0
2019-05-15,3486200.0
2019-09-20,2779200.0
2019-11-01,2838100.0
2020-04-07,2620600.0
2020-06-25,1345300.0
2020-06-16,1593400.0
2019-11-04,2928400.0
2020-01-22,5637300.0
2019-11-07,2988600.0
2020-04-13,2361700.0
2019-07-01,3391200.0
2019-05-30,1785900.0
2018-08-15,2833400.0
2018-10-18,1789000.0
2019-03-27,1816300.0
2019-01-22,1671400.0
2018-12-21,2004500.0
2019-09-03,1475600.0
2018-11-19,1910200.0
2019-08-02,1610200.0
2020-01-28,1661600.0
2020-04-16,1940000.0
2019-11-13,1791800.0
2020-01-31,3926100.0
2018-12-04,2760600.0
2018-11-02,2284200.0
2019-07-16,3175200.0
2018-08-30,3776800.0
2018-10-01,2013900.0
2019-06-14,2377000.0
2019-05-13,2318600.0
2019-04-11,2219100.0
2019-02-06,1872800.0
2019-09-18,1498000.0
2020-02-03,1580500.0
2020-04-22,3484900.0
2019-11-19,1758600.0
2020-02-06,1571200.0
2019-11-22,2491400.0
2019-03-25,1415700.0
2019-02-21,1978700.0
2018-12-19,1699700.0
2018-07-12,4188400.0
2018-09-14,3576600.0
2018-08-13,3845600.0
2018-10-16,2138800.0
2019-07-31,2510700.0
2019-05-28,2834300.0
2019-04-26,3455700.0
2020-04-28,4727000.0
2019-11-25,2727000.0
2020-02-12,2168200.0
2020-05-01,2122000.0
2020-05-04,2753500.0
2019-06-12,3390700.0
2019-04-09,7649700.0
2019-03-08,4131300.0
2019-02-04,3702400.0
2018-07-27,3869900.0
2018-08-28,4133400.0
2019-01-03,3302200.0
2019-08-15,3575400.0
2018-10-31,3002200.0
2019-09-16,3177000.0
2020-02-18,1950500.0
2020-05-07,1923300.0
2018-08-17,1919400.0
2019-12-04,2128800.0
2020-02-21,2149900.0
2018-12-17,2504700.0
2019-08-30,2674000.0
2018-11-15,1907200.0
2019-07-29,1359400.0
2019-06-27,1474300.0
2019-04-24,2269000.0
2018-07-10,2544700.0
2018-09-12,2082700.0
2019-02-19,2405900.0
2019-01-18,1781900.0
2020-02-24,771200.0
2020-05-13,1994200.0
2019-12-10,2543800.0
2020-02-27,2781200.0
2019-12-13,2935300.0
2020-05-19,4460100.0
2019-03-06,2710500.0
2018-11-30,2497000.0
2019-08-13,2537300.0
