Dates,APH
2018-06-20,970900.0
2018-06-21,1048800.0
2018-06-25,1252800.0
2018-06-22,1339200.0
2018-06-26,1388700.0
2018-06-27,1596300.0
2018-06-28,1501400.0
2018-06-29,1842500.0
2018-07-02,1151500.0
2018-07-03,429600.0
2018-07-05,778600.0
2018-07-16,811800.0
2018-09-18,813700.0
2019-01-24,656400.0
2019-09-05,791900.0
2018-11-21,819900.0
2020-01-13,678000.0
2020-04-01,768800.0
2020-06-19,1088200.0
2019-10-29,954100.0
2020-01-16,918100.0
2020-06-22,1120900.0
2018-10-03,1071800.0
2018-07-31,1608100.0
2019-03-12,2175500.0
2019-02-08,2007500.0
2019-01-07,2284900.0
2018-12-06,1061300.0
2019-08-19,1908400.0
2019-07-18,1116100.0
2019-05-15,1077200.0
2019-09-20,915400.0
2019-11-01,746300.0
2020-04-07,747500.0
2020-06-25,633400.0
2020-06-16,1131600.0
2019-11-04,807400.0
2020-01-22,1238400.0
2019-11-07,1132000.0
2020-04-13,1602700.0
2019-07-01,1031700.0
2019-05-30,1103600.0
2018-08-15,989900.0
2018-10-18,896900.0
2019-03-27,1333100.0
2019-01-22,1665600.0
2018-12-21,2283500.0
2019-09-03,1835600.0
2018-11-19,1881100.0
2019-08-02,875100.0
2020-01-28,744200.0
2020-04-16,1086400.0
2019-11-13,1062600.0
2020-01-31,1120800.0
2018-12-04,966600.0
2018-11-02,1340000.0
2019-07-16,1449000.0
2018-08-30,1541200.0
2018-10-01,1851000.0
2019-06-14,860400.0
2019-05-13,1374500.0
2019-04-11,1533100.0
2019-02-06,987700.0
2019-09-18,980300.0
2020-02-03,1176900.0
2020-04-22,2765700.0
2019-11-19,1495300.0
2020-02-06,1310800.0
2019-11-22,1016500.0
2019-03-25,857300.0
2019-02-21,1256500.0
2018-12-19,949700.0
2018-07-12,857600.0
2018-09-14,906400.0
2018-08-13,1421000.0
2018-10-16,1321900.0
2019-07-31,1073100.0
2019-05-28,2080400.0
2019-04-26,1550100.0
2020-04-28,2608600.0
2019-11-25,1667700.0
2020-02-12,1125000.0
2020-05-01,1868800.0
2020-05-04,1584800.0
2019-06-12,1729800.0
2019-04-09,1965900.0
2019-03-08,1249300.0
2019-02-04,2505000.0
2018-07-27,4539200.0
2018-08-28,2403700.0
2019-01-03,2580800.0
2019-08-15,2648800.0
2018-10-31,3212800.0
2019-09-16,3685800.0
2020-02-18,2153000.0
2020-05-07,2560800.0
2018-08-17,1992800.0
2019-12-04,1590500.0
2020-02-21,1095100.0
2018-12-17,876200.0
2019-08-30,951600.0
2018-11-15,2074600.0
2019-07-29,1483400.0
2019-06-27,1156000.0
2019-04-24,1655600.0
2018-07-10,1367600.0
2018-09-12,1813900.0
2019-02-19,1919700.0
2019-01-18,1663500.0
2020-02-24,791800.0
2020-05-13,1427800.0
2019-12-10,1414100.0
2020-02-27,2127300.0
2019-12-13,1291700.0
2020-05-19,1743100.0
2019-03-06,1466400.0
2018-11-30,2424400.0
2019-08-13,3386700.0
2019-07-12,2947700.0
2019-06-10,2032800.0
2019-05-09,1412000.0
2018-07-25,1689100.0
2018-09-27,860100.0
2018-10-29,866800.0
2019-10-16,1700300.0
2019-12-16,1614800.0
2020-03-04,1893800.0
2020-05-22,1994100.0
2019-10-01,4137900.0
2019-12-19,822200.0
2018-09-10,1308600.0
2019-05-24,1127900.0
2018-08-09,847500.0
2019-04-22,1054300.0
2019-03-21,1390400.0
2019-01-16,3681100.0
2019-08-28,3347700.0
2018-11-13,1181300.0
2018-10-12,1831800.0
2019-06-25,1112100.0
2020-03-10,1184700.0
2020-05-28,692000.0
2019-10-07,925000.0
2020-03-13,834200.0
2019-10-10,871300.0
2020-03-16,791000.0
2020-06-03,1863300.0
2018-11-28,1725200.0
