Dates,GIS
2018-06-20,4102900.0
2018-06-21,3882200.0
2018-06-25,5853700.0
2018-06-22,6909700.0
2018-06-26,7207700.0
2018-06-27,11075500.0
2018-06-28,7967500.0
2018-06-29,6546600.0
2018-07-02,7075600.0
2018-07-03,3167600.0
2018-07-05,6755300.0
2018-07-16,4302600.0
2018-09-18,3777200.0
2019-01-24,6012200.0
2019-09-05,4057300.0
2018-11-21,4524800.0
2020-01-13,2922300.0
2020-04-01,3954200.0
2020-06-19,3485800.0
2019-10-29,4526400.0
2020-01-16,4363800.0
2020-06-22,3427400.0
2018-10-03,2988000.0
2018-07-31,4801600.0
2019-03-12,3375900.0
2019-02-08,3849900.0
2019-01-07,5342300.0
2018-12-06,5746400.0
2019-08-19,7127700.0
2019-07-18,5684200.0
2019-05-15,5298600.0
2019-09-20,8204100.0
2019-11-01,4034300.0
2020-04-07,4347400.0
2020-06-25,6007900.0
2020-06-16,2498100.0
2019-11-04,2566300.0
2020-01-22,3489500.0
2019-11-07,3093900.0
2020-04-13,4976800.0
2019-07-01,4127700.0
2019-05-30,3374000.0
2018-08-15,3717700.0
2018-10-18,3774600.0
2019-03-27,2936200.0
2019-01-22,2788000.0
2018-12-21,2231400.0
2019-09-03,2179700.0
2018-11-19,2499700.0
2019-08-02,2275500.0
2020-01-28,2681000.0
2020-04-16,3628900.0
2019-11-13,4056400.0
2020-01-31,6033200.0
2018-12-04,4913000.0
2018-11-02,3982900.0
2019-07-16,3285900.0
2018-08-30,4303600.0
2018-10-01,2651300.0
2019-06-14,3015900.0
2019-05-13,4884200.0
2019-04-11,7788400.0
2019-02-06,16268000.0
2019-09-18,10130000.0
2020-02-03,6018800.0
2020-04-22,8076200.0
2019-11-19,3365600.0
2020-02-06,3735500.0
2019-11-22,3669500.0
2019-03-25,4580400.0
2019-02-21,4950000.0
2018-12-19,5797200.0
2018-07-12,4008900.0
2018-09-14,4350500.0
2018-08-13,3368100.0
2018-10-16,4341100.0
2019-07-31,4931600.0
2019-05-28,3639200.0
2019-04-26,6114800.0
2020-04-28,5175900.0
2019-11-25,4272300.0
2020-02-12,3148600.0
2020-05-01,4004400.0
2020-05-04,2857200.0
2019-06-12,3092900.0
2019-04-09,3852000.0
2019-03-08,3436500.0
2019-02-04,4377600.0
2018-07-27,4000800.0
2018-08-28,4140800.0
2019-01-03,5142600.0
2019-08-15,5483700.0
2018-10-31,7296600.0
2019-09-16,6805400.0
2020-02-18,4365500.0
2020-05-07,9583100.0
2018-08-17,5852700.0
2019-12-04,3773300.0
2020-02-21,3631700.0
2018-12-17,3676800.0
2019-08-30,4825500.0
2018-11-15,4211500.0
2019-07-29,3719500.0
2019-06-27,3837600.0
2019-04-24,4013400.0
2018-07-10,6056400.0
2018-09-12,6875900.0
2019-02-19,3717300.0
2019-01-18,4111900.0
2020-02-24,1114600.0
2020-05-13,4636800.0
2019-12-10,4094100.0
2020-02-27,5269500.0
2019-12-13,6458000.0
2020-05-19,6085200.0
2019-03-06,7978500.0
2018-11-30,8535300.0
2019-08-13,12064800.0
2019-07-12,10226800.0
2019-06-10,6664800.0
2019-05-09,6570100.0
2018-07-25,9250000.0
2018-09-27,7061000.0
2018-10-29,6719500.0
2019-10-16,8633300.0
2019-12-16,8108700.0
2020-03-04,14213500.0
2020-05-22,10024600.0
2019-10-01,13092200.0
2019-12-19,3958000.0
2018-09-10,6692700.0
2019-05-24,8036100.0
2018-08-09,5779600.0
2019-04-22,5292900.0
2019-03-21,6478900.0
2019-01-16,6359800.0
2019-08-28,6326100.0
2018-11-13,5695600.0
2018-10-12,6609400.0
2019-06-25,4521300.0
2020-03-10,8279800.0
2020-05-28,7417400.0
2019-10-07,3874400.0
2020-03-13,4486300.0
2019-10-10,4905600.0
2020-03-16,4664400.0
2020-06-03,5564800.0
2018-11-28,9260500.0
2018-09-25,5208600.0
2018-07-23,4700400.0
2018-08-24,7013900.0
2019-07-10,3552900.0
2019-05-07,3431900.0
2019-04-05,3140900.0
2019-03-04,4730000.0
2019-01-31,5061700.0
2019-09-12,3462400.0
