Dates,ACN
2018-06-20,163.0
2018-06-21,161.3699951171875
2018-06-25,160.5
2018-06-22,157.99000549316406
2018-06-26,156.52999877929688
2018-06-27,157.16000366210938
2018-06-28,160.49000549316406
2018-06-29,164.19000244140625
2018-07-02,161.89999389648438
2018-07-03,163.91000366210938
2018-07-05,163.6999969482422
2018-07-16,164.77000427246094
2018-09-18,165.0
2019-01-24,166.5
2019-09-05,165.39999389648438
2018-11-21,167.52000427246094
2020-01-13,167.75
2020-04-01,168.14999389648438
2020-06-19,167.0800018310547
2019-10-29,167.47000122070312
2020-01-16,166.2100067138672
2020-06-22,166.58999633789062
2018-10-03,165.92999267578125
2018-07-31,166.3300018310547
2019-03-12,165.0
2019-02-08,167.39999389648438
2019-01-07,165.36000061035156
2018-12-06,162.24000549316406
2019-08-19,160.3000030517578
2019-07-18,160.30999755859375
2019-05-15,158.3000030517578
2019-09-20,160.49000549316406
2019-11-01,160.27000427246094
2020-04-07,161.17999267578125
2020-06-25,161.10000610351562
2020-06-16,161.1300048828125
2019-11-04,160.0500030517578
2020-01-22,160.72999572753906
2019-11-07,160.08999633789062
2020-04-13,160.55999755859375
2019-07-01,161.8000030517578
2019-05-30,163.47000122070312
2018-08-15,165.33999633789062
2018-10-18,165.5
2019-03-27,164.69000244140625
2019-01-22,164.97999572753906
2018-12-21,165.91000366210938
2019-09-03,166.77999877929688
2018-11-19,167.3800048828125
2019-08-02,167.5500030517578
2020-01-28,169.55999755859375
2020-04-16,168.7100067138672
2019-11-13,168.75999450683594
2020-01-31,169.0500030517578
2018-12-04,168.27999877929688
2018-11-02,168.8699951171875
2019-07-16,169.86000061035156
2018-08-30,169.7100067138672
2018-10-01,170.69000244140625
2019-06-14,171.16000366210938
2019-05-13,171.74000549316406
2019-04-11,171.4499969482422
2019-02-06,171.13999938964844
2019-09-18,172.82000732421875
2020-02-03,173.89999389648438
2020-04-22,174.75
2019-11-19,173.05999755859375
2020-02-06,173.5399932861328
2019-11-22,173.07000732421875
2019-03-25,168.92999267578125
2019-02-21,169.99000549316406
2018-12-19,171.13999938964844
2018-07-12,173.1199951171875
2018-09-14,173.72000122070312
2018-08-13,173.8699951171875
2018-10-16,171.52999877929688
2019-07-31,170.33999633789062
2019-05-28,169.2100067138672
2019-04-26,168.5
2020-04-28,161.1199951171875
2019-11-25,159.58999633789062
2020-02-12,158.94000244140625
2020-05-01,159.57000732421875
2020-05-04,159.14999389648438
2019-06-12,158.44000244140625
2019-04-09,156.00999450683594
2019-03-08,158.08999633789062
2019-02-04,156.6999969482422
2018-07-27,157.8699951171875
2018-08-28,155.39999389648438
2019-01-03,154.3000030517578
2019-08-15,156.0500030517578
2018-10-31,153.44000244140625
2019-09-16,156.22000122070312
2020-02-18,157.89999389648438
2020-05-07,158.94000244140625
2018-08-17,157.6300048828125
2019-12-04,158.9600067138672
2020-02-21,160.0
2018-12-17,162.8699951171875
2019-08-30,164.02999877929688
2018-11-15,164.52000427246094
2019-07-29,162.6699981689453
2019-06-27,163.22000122070312
2019-04-24,159.9199981689453
2018-07-10,161.7100067138672
2018-09-12,164.5
2019-02-19,160.1999969482422
2019-01-18,160.0
2020-02-24,155.85000610351562
2020-05-13,158.5399932861328
2019-12-10,158.0399932861328
2020-02-27,160.00999450683594
2019-12-13,162.2100067138672
2020-05-19,161.77000427246094
2019-03-06,165.97000122070312
2018-11-30,166.4600067138672
2019-08-13,160.7100067138672
2019-07-12,158.8800048828125
2019-06-10,157.02000427246094
2019-05-09,160.0
2018-07-25,160.25999450683594
2018-09-27,159.7899932861328
2018-10-29,158.3300018310547
2019-10-16,154.72999572753906
2019-12-16,153.3300018310547
2020-03-04,152.2899932861328
2020-05-22,146.0
2019-10-01,141.02000427246094
2019-12-19,136.5800018310547
2018-09-10,134.8000030517578
2019-05-24,137.11000061035156
2018-08-09,141.00999450683594
2019-04-22,140.39999389648438
2019-03-21,138.92999267578125
2019-01-16,139.1300048828125
2019-08-28,138.1199951171875
2018-11-13,140.8300018310547
2018-10-12,144.6300048828125
