Dates,ACN
2018-06-20,163.3699951171875
2018-06-21,161.92999267578125
2018-06-25,160.5
2018-06-22,158.05999755859375
2018-06-26,157.58999633789062
2018-06-27,158.6999969482422
2018-06-28,165.55999755859375
2018-06-29,165.55999755859375
2018-07-02,163.4199981689453
2018-07-03,165.4199981689453
2018-07-05,164.85000610351562
2018-07-16,165.1699981689453
2018-09-18,166.25999450683594
2019-01-24,167.77000427246094
2019-09-05,167.10000610351562
2018-11-21,168.14999389648438
2020-01-13,168.5
2020-04-01,168.47000122070312
2020-06-19,168.9499969482422
2019-10-29,167.47000122070312
2020-01-16,167.27000427246094
2020-06-22,166.99000549316406
2018-10-03,166.4499969482422
2018-07-31,166.52000427246094
2019-03-12,167.1199951171875
2019-02-08,168.11000061035156
2019-01-07,165.75
2018-12-06,162.4199981689453
2019-08-19,161.3000030517578
2019-07-18,161.38999938964844
2019-05-15,160.3000030517578
2019-09-20,160.94000244140625
2019-11-01,161.00999450683594
2020-04-07,161.91000366210938
2020-06-25,161.64999389648438
2020-06-16,161.74000549316406
2019-11-04,161.47000122070312
2020-01-22,161.89999389648438
2019-11-07,161.6300048828125
2020-04-13,161.44000244140625
2019-07-01,163.25
2019-05-30,165.1699981689453
2018-08-15,165.63999938964844
2018-10-18,165.89999389648438
2019-03-27,165.86000061035156
2019-01-22,166.47999572753906
2018-12-21,166.7899932861328
2019-09-03,167.25
2018-11-19,167.89999389648438
2019-08-02,169.9199981689453
2020-01-28,169.77000427246094
2020-04-16,169.55999755859375
2019-11-13,169.58999633789062
2020-01-31,169.2899932861328
2018-12-04,169.9199981689453
2018-11-02,169.6699981689453
2019-07-16,171.0
2018-08-30,171.00999450683594
2018-10-01,171.02999877929688
2019-06-14,172.50999450683594
2019-05-13,172.27000427246094
2019-04-11,171.72000122070312
2019-02-06,172.8300018310547
2019-09-18,173.30999755859375
2020-02-03,174.38999938964844
2020-04-22,175.63999938964844
2019-11-19,173.25
2020-02-06,174.5
2019-11-22,174.5500030517578
2019-03-25,173.92999267578125
2019-02-21,170.8000030517578
2018-12-19,174.17999267578125
2018-07-12,173.55999755859375
2018-09-14,174.82000732421875
2018-08-13,174.13999938964844
2018-10-16,172.14999389648438
2019-07-31,171.74000549316406
2019-05-28,169.8800048828125
2019-04-26,168.6300048828125
2020-04-28,161.5399932861328
2019-11-25,160.22999572753906
2020-02-12,159.6199951171875
2020-05-01,161.8800048828125
2020-05-04,160.36000061035156
2019-06-12,158.44000244140625
2019-04-09,158.64999389648438
2019-03-08,160.2899932861328
2019-02-04,159.32000732421875
2018-07-27,158.44000244140625
2018-08-28,157.9600067138672
2019-01-03,156.0800018310547
2019-08-15,156.63999938964844
2018-10-31,154.86000061035156
2019-09-16,159.4499969482422
2020-02-18,159.2100067138672
2020-05-07,160.6699981689453
