Dates,ACN
2018-06-20,156.41673278808594
2018-06-21,154.7342987060547
2018-06-25,154.34756469726562
2018-06-22,150.99237060546875
2018-06-26,151.66921997070312
2018-06-27,150.19949340820312
2018-06-28,159.056396484375
2018-06-29,158.176513671875
2018-07-02,157.82843017578125
2018-07-03,157.93478393554688
2018-07-05,159.34645080566406
2018-07-16,159.06607055664062
2018-09-18,160.6324462890625
2019-01-24,160.95155334472656
2019-09-05,160.80648803710938
2018-11-21,162.46957397460938
2020-01-13,162.527587890625
2020-04-01,162.0924835205078
2020-06-19,162.50827026367188
2019-10-29,160.8741912841797
2020-01-16,161.36729431152344
2020-06-22,161.00955200195312
2018-10-03,160.4680938720703
2018-07-31,159.70420837402344
2019-03-12,161.55101013183594
2019-02-08,159.70420837402344
2019-01-07,156.65846252441406
2018-12-06,154.1444854736328
2019-08-19,154.05746459960938
2019-07-18,154.42489624023438
2019-05-15,154.85032653808594
2019-09-20,155.06304931640625
2019-11-01,155.26611328125
2020-04-07,155.86557006835938
2020-06-25,155.8075714111328
2020-06-16,155.32412719726562
2019-11-04,155.36280822753906
2020-01-22,154.9276885986328
2019-11-07,155.90426635742188
2020-04-13,155.10174560546875
2019-07-01,157.4996795654297
2019-05-30,159.43348693847656
2018-08-15,159.65585327148438
2018-10-18,159.16273498535156
2019-03-27,159.46250915527344
2019-01-22,159.7332305908203
2018-12-21,160.39073181152344
2019-09-03,161.3479766845703
2018-11-19,162.12147521972656
2019-08-02,164.1519775390625
2020-01-28,163.04971313476562
2020-04-16,163.47515869140625
2019-11-13,163.89093017578125
2020-01-31,163.05938720703125
2018-12-04,163.7555389404297
2018-11-02,163.47515869140625
2019-07-16,163.93927001953125
2018-08-30,165.0415496826172
2018-10-01,164.71279907226562
2019-06-14,166.3759002685547
2019-05-13,165.96009826660156
2019-04-11,165.37994384765625
2019-02-06,166.7046356201172
2019-09-18,167.41046142578125
2020-02-03,168.36773681640625
2020-04-22,168.4257354736328
2019-11-19,166.9173583984375
2020-02-06,167.10107421875
2019-11-22,167.24610900878906
2019-03-25,164.42274475097656
2019-02-21,164.56777954101562
2018-12-19,167.76821899414062
2018-07-12,167.42015075683594
2018-09-14,168.37738037109375
2018-08-13,166.17283630371094
2018-10-16,165.56365966796875
2019-07-31,164.27767944335938
2019-05-28,163.214111328125
2019-04-26,156.3877410888672
2020-04-28,150.83766174316406
2019-11-25,154.16383361816406
2020-02-12,152.69415283203125
2020-05-01,155.86557006835938
2020-05-04,155.04595947265625
2019-06-12,152.4114532470703
2019-04-09,154.4409942626953
2019-03-08,155.68020629882812
2019-02-04,154.255615234375
2018-07-27,149.40615844726562
2018-08-28,153.11398315429688
2019-01-03,150.70388793945312
2019-08-15,149.03536987304688
2018-10-31,150.86978149414062
2019-09-16,153.7969970703125
2020-02-18,154.73373413085938
2020-05-07,153.57260131835938
2018-08-17,154.7532501220703
