Dates,ACN
2018-06-20,161.66000366210938
2018-06-21,159.6300048828125
2018-06-25,158.44000244140625
2018-06-22,155.35000610351562
2018-06-26,156.16000366210938
2018-06-27,155.3000030517578
2018-06-28,159.6999969482422
2018-06-29,163.02999877929688
2018-07-02,161.3000030517578
2018-07-03,163.02000427246094
2018-07-05,163.16000366210938
2018-07-16,163.00999450683594
2018-09-18,165.0
2019-01-24,166.33999633789062
2019-09-05,164.61000061035156
2018-11-21,166.97999572753906
2020-01-13,167.6300048828125
2020-04-01,167.3800048828125
2020-06-19,167.0
2019-10-29,165.97000122070312
2020-01-16,165.50999450683594
2020-06-22,166.32000732421875
2018-10-03,165.50999450683594
2018-07-31,164.30999755859375
2019-03-12,165.0
2019-02-08,165.05999755859375
2019-01-07,161.11000061035156
2018-12-06,158.0800018310547
2019-08-19,158.88999938964844
2019-07-18,159.08999633789062
2019-05-15,157.83999633789062
2019-09-20,158.9600067138672
2019-11-01,159.5800018310547
2020-04-07,161.0
2020-06-25,160.89999389648438
2020-06-16,160.5399932861328
2019-11-04,159.8800048828125
2020-01-22,160.0500030517578
2019-11-07,159.88999938964844
2020-04-13,159.75999450683594
2019-07-01,161.50999450683594
2019-05-30,163.05999755859375
2018-08-15,164.8000030517578
2018-10-18,164.52000427246094
2019-03-27,164.33999633789062
2019-01-22,164.97999572753906
2018-12-21,165.00999450683594
2019-09-03,166.13999938964844
2018-11-19,166.5800018310547
2019-08-02,167.5500030517578
2020-01-28,168.1300048828125
2020-04-16,168.1999969482422
2019-11-13,167.8800048828125
2020-01-31,167.5
2018-12-04,167.83999633789062
2018-11-02,168.4600067138672
2019-07-16,169.4499969482422
2018-08-30,169.22999572753906
2018-10-01,169.50999450683594
2019-06-14,170.85000610351562
2019-05-13,171.02999877929688
2019-04-11,170.75999450683594
2019-02-06,171.05999755859375
2019-09-18,171.85000610351562
2020-02-03,173.25999450683594
2020-04-22,173.8699951171875
2019-11-19,172.24000549316406
2020-02-06,172.42999267578125
2019-11-22,172.4600067138672
2019-03-25,168.6999969482422
2019-02-21,169.05999755859375
2018-12-19,171.11000061035156
2018-07-12,172.50999450683594
2018-09-14,173.66000366210938
2018-08-13,170.47999572753906
2018-10-16,170.11000061035156
2019-07-31,168.64999389648438
2019-05-28,168.11000061035156
2019-04-26,161.5800018310547
