Dates,ACN
2018-06-20,2026800.0
2018-06-21,2034200.0
2018-06-25,3623900.0
2018-06-22,3134500.0
2018-06-26,2164000.0
2018-06-27,3191900.0
2018-06-28,5801100.0
2018-06-29,3370000.0
2018-07-02,2279400.0
2018-07-03,1919100.0
2018-07-05,2427900.0
2018-07-16,1840400.0
2018-09-18,1651600.0
2019-01-24,2071000.0
2019-09-05,1307100.0
2018-11-21,1717000.0
2020-01-13,1420300.0
2020-04-01,1522800.0
2020-06-19,2315300.0
2019-10-29,2206500.0
2020-01-16,2055100.0
2020-06-22,1110200.0
2018-10-03,1783300.0
2018-07-31,2545500.0
2019-03-12,2285200.0
2019-02-08,2228000.0
2019-01-07,2704000.0
2018-12-06,2553200.0
2019-08-19,2722700.0
2019-07-18,2060600.0
2019-05-15,1774700.0
2019-09-20,1478500.0
2019-11-01,1135800.0
2020-04-07,1415700.0
2020-06-25,1123400.0
2020-06-16,1722100.0
2019-11-04,1354200.0
2020-01-22,1590100.0
2019-11-07,2083200.0
2020-04-13,1669400.0
2019-07-01,1957000.0
2019-05-30,2717500.0
2018-08-15,1285800.0
2018-10-18,1291600.0
2019-03-27,1184400.0
2019-01-22,1299200.0
2018-12-21,1768200.0
2019-09-03,1406800.0
2018-11-19,1668500.0
2019-08-02,1370800.0
2020-01-28,1480000.0
2020-04-16,2803300.0
2019-11-13,1676900.0
2020-01-31,1869000.0
2018-12-04,1813000.0
2018-11-02,1826600.0
2019-07-16,1888500.0
2018-08-30,1963400.0
2018-10-01,1743300.0
2019-06-14,1586500.0
2019-05-13,2212900.0
2019-04-11,1770900.0
2019-02-06,2078400.0
2019-09-18,1531100.0
2020-02-03,1818900.0
2020-04-22,4743000.0
2019-11-19,2074700.0
2020-02-06,1979900.0
2019-11-22,2623900.0
2019-03-25,3112800.0
2019-02-21,2384500.0
2018-12-19,2336700.0
2018-07-12,1762700.0
2018-09-14,1655500.0
2018-08-13,1779100.0
2018-10-16,1485800.0
2019-07-31,1693600.0
2019-05-28,2027900.0
2019-04-26,2972300.0
2020-04-28,4752800.0
2019-11-25,3376300.0
2020-02-12,1945100.0
2020-05-01,2830200.0
2020-05-04,2687200.0
2019-06-12,2196000.0
2019-04-09,2426100.0
2019-03-08,1958300.0
2019-02-04,2204000.0
2018-07-27,2473700.0
2018-08-28,2313700.0
2019-01-03,2472500.0
2019-08-15,1909200.0
2018-10-31,2296400.0
2019-09-16,2414900.0
2020-02-18,1771600.0
2020-05-07,1998600.0
2018-08-17,1705200.0
2019-12-04,1364700.0
2020-02-21,2278400.0
2018-12-17,1294400.0
2019-08-30,1882100.0
2018-11-15,2263800.0
2019-07-29,1486700.0
2019-06-27,2819900.0
2019-04-24,2561800.0
2018-07-10,3218500.0
2018-09-12,2194400.0
2019-02-19,2224800.0
2019-01-18,2525600.0
2020-02-24,938800.0
2020-05-13,2127500.0
2019-12-10,1930000.0
2020-02-27,2784000.0
2019-12-13,2414600.0
2020-05-19,5832800.0
2019-03-06,2319800.0
2018-11-30,3108900.0
2019-08-13,6012000.0
2019-07-12,3090000.0
2019-06-10,2280800.0
2019-05-09,1786300.0
2018-07-25,2423400.0
2018-09-27,2227100.0
2018-10-29,2336100.0
2019-10-16,2755000.0
2019-12-16,2692600.0
2020-03-04,3261000.0
2020-05-22,6409200.0
2019-10-01,6236900.0
2019-12-19,2305400.0
2018-09-10,2488600.0
2019-05-24,2684100.0
2018-08-09,2015600.0
2019-04-22,1826400.0
2019-03-21,2059300.0
2019-01-16,2801300.0
2019-08-28,2296400.0
2018-11-13,2315600.0
2018-10-12,2647800.0
2019-06-25,2181500.0
2020-03-10,1836300.0
2020-05-28,2004100.0
2019-10-07,1484500.0
2020-03-13,1543800.0
2019-10-10,2677100.0
2020-03-16,1814700.0
2020-06-03,2470500.0
2018-11-28,1950300.0
2018-09-25,1989400.0
2018-07-23,1947100.0
2018-08-24,1742800.0
2019-07-10,2046500.0
2019-05-07,1963200.0
2019-04-05,1679400.0
2019-03-04,2115600.0
2019-01-31,1957400.0
2019-09-12,1666100.0
2019-12-31,1985700.0
2020-03-19,1375100.0
2020-01-03,2109800.0
