Dates,XOM
2018-06-20,8917700.0
2018-06-21,10990700.0
2018-06-25,16012200.0
2018-06-22,10557200.0
2018-06-26,10382800.0
2018-06-27,12725900.0
2018-06-28,9390700.0
2018-06-29,17323200.0
2018-07-02,9998300.0
2018-07-03,7197300.0
2018-07-05,9035700.0
2018-07-16,7637100.0
2018-09-18,7158600.0
2019-01-24,8806200.0
2019-09-05,10405300.0
2018-11-21,9762200.0
2020-01-13,8720000.0
2020-04-01,8306900.0
2020-06-19,7373300.0
2019-10-29,8711900.0
2020-01-16,8659100.0
2020-06-22,9196300.0
2018-10-03,8425900.0
2018-07-31,11121000.0
2019-03-12,9523600.0
2019-02-08,13210100.0
2019-01-07,18220800.0
2018-12-06,11282800.0
2019-08-19,11716800.0
2019-07-18,8936300.0
2019-05-15,8364300.0
2019-09-20,7811100.0
2019-11-01,10041800.0
2020-04-07,10698100.0
2020-06-25,7275000.0
2020-06-16,9828500.0
2019-11-04,12954300.0
2020-01-22,10308500.0
2019-11-07,8005900.0
2020-04-13,16307800.0
2019-07-01,11519900.0
2019-05-30,10178400.0
2018-08-15,8152100.0
2018-10-18,9192200.0
2019-03-27,10098200.0
2019-01-22,7203900.0
2018-12-21,6545200.0
2019-09-03,6671900.0
2018-11-19,8823400.0
2019-08-02,8004800.0
2020-01-28,7450900.0
2020-04-16,10700000.0
2019-11-13,8855000.0
2020-01-31,13878400.0
2018-12-04,13320600.0
2018-11-02,16417800.0
2019-07-16,10817900.0
2018-08-30,11891900.0
2018-10-01,11556300.0
2019-06-14,11162700.0
2019-05-13,9442600.0
2019-04-11,8403300.0
2019-02-06,9219900.0
2019-09-18,10413600.0
2020-02-03,11198200.0
2020-04-22,26639400.0
2019-11-19,13549500.0
2020-02-06,12200700.0
2019-11-22,10275500.0
2019-03-25,7895400.0
2019-02-21,9884900.0
2018-12-19,8566900.0
2018-07-12,8453100.0
2018-09-14,10206700.0
2018-08-13,10204600.0
2018-10-16,9217400.0
2019-07-31,13242400.0
2019-05-28,10177900.0
2019-04-26,16573400.0
