Dates,XOM
2018-06-20,72.75129699707031
2018-06-21,72.06403350830078
2018-06-25,73.59229278564453
2018-06-22,72.10923767089844
2018-06-26,72.9231185913086
2018-06-27,73.8907241821289
2018-06-28,74.12583923339844
2018-06-29,74.81311798095703
2018-07-02,73.93594360351562
2018-07-03,74.3699951171875
2018-07-05,74.43329620361328
2018-07-16,74.45140838623047
2018-09-18,74.96684265136719
2019-01-24,75.65412902832031
2019-09-05,74.68650817871094
2018-11-21,74.77693939208984
2020-01-13,75.33760833740234
2020-04-01,74.59607696533203
2020-06-19,74.43329620361328
2019-10-29,74.35192108154297
2020-01-16,74.1620101928711
2020-06-22,73.61039733886719
2018-10-03,73.61039733886719
2018-07-31,75.06632232666016
2019-03-12,75.5908203125
2019-02-08,76.1786117553711
2019-01-07,74.08061981201172
2018-12-06,73.91785430908203
2019-08-19,73.70986938476562
2019-07-18,72.69705200195312
2019-05-15,72.26296997070312
2019-09-20,72.52523040771484
2019-11-01,72.50714111328125
2020-04-07,73.49283599853516
2020-06-25,73.00450134277344
2020-06-16,72.63374328613281
2019-11-04,72.5606460571289
2020-01-22,71.77491760253906
2019-11-07,71.54652404785156
2020-04-13,70.29484558105469
2019-07-01,71.26329040527344
2019-05-30,71.5008316040039
2018-08-15,72.00334167480469
2018-10-18,72.0216064453125
2019-03-27,73.05400848388672
2019-01-22,72.25001525878906
2018-12-21,72.74337005615234
2019-09-03,73.45600891113281
2018-11-19,73.34637451171875
2019-08-02,73.87628173828125
2020-01-28,73.55651092529297
2020-04-16,73.24588012695312
2019-11-13,73.35551452636719
2020-01-31,74.33309936523438
2018-12-04,73.51081848144531
2018-11-02,74.76250457763672
2019-07-16,74.65286254882812
2018-08-30,75.70354461669922
2018-10-01,75.95022583007812
2019-06-14,75.2101821899414
2019-05-13,75.75836181640625
2019-04-11,76.20603942871094
2019-02-06,76.40704345703125
2019-09-18,77.32067108154297
2020-02-03,77.49425506591797
2020-04-22,77.81403350830078
2019-11-19,79.12052154541016
2020-02-06,79.02915954589844
2019-11-22,78.37134552001953
2019-03-25,78.36221313476562
2019-02-21,77.67698669433594
2018-12-19,78.39874267578125
2018-07-12,78.99260711669922
2018-09-14,78.70939636230469
2018-08-13,78.1886215209961
2018-10-16,77.96935272216797
2019-07-31,78.69111633300781
2019-05-28,79.0383071899414
2019-04-26,77.22017669677734
2020-04-28,74.5523681640625
2019-11-25,74.35136413574219
2020-02-12,73.8397445678711
2020-05-01,74.18690490722656
2020-05-04,74.46101379394531
2019-06-12,74.78076934814453
2019-04-09,74.8904037475586
2019-03-08,74.14122772216797
2019-02-04,72.9443588256836
2018-07-27,70.91612243652344
2018-08-28,71.54652404785156
2019-01-03,70.8338851928711
2019-08-15,70.39533996582031
2018-10-31,71.9759292602539
2019-09-16,72.7981948852539
2020-02-18,73.70268249511719
2020-05-07,74.87213897705078
2018-08-17,74.58891296386719
2019-12-04,74.90868377685547
2020-02-21,75.85885620117188
2018-12-17,74.65286254882812
2019-08-30,74.63441467285156
2018-11-15,73.67460632324219
2019-07-29,71.98570251464844
2019-06-27,71.42273712158203
2019-04-24,72.16106414794922
2018-07-10,72.8716812133789
2018-09-12,73.11163330078125
2019-02-19,71.03512573242188
2019-01-18,71.57962036132812
2020-02-24,69.66924285888672
2020-05-13,71.04436492919922
2019-12-10,71.10895538330078
2020-02-27,72.40100860595703
2019-12-13,72.9639663696289
2020-05-19,73.37004089355469
2019-03-06,74.95742797851562
2018-11-30,73.30545043945312
2019-08-13,72.34563446044922
2019-07-12,71.65345001220703
2019-06-10,70.6382827758789
2019-05-09,70.76748657226562
2018-07-25,70.15837097167969
2018-09-27,71.04436492919922
2018-10-29,69.7522964477539
2019-10-16,68.33103942871094
2019-12-16,66.4483413696289
2020-03-04,65.32241821289062
2020-05-22,63.33818817138672
2019-10-01,62.86752700805664
2019-12-19,60.458763122558594
2018-09-10,63.34742736816406
2019-05-24,63.62428283691406
2018-08-09,62.91364288330078
2019-04-22,62.93212127685547
2019-03-21,64.31645965576172
2019-01-16,63.32896041870117
2019-08-28,65.66388702392578
2018-11-13,66.00535583496094
2018-10-12,66.4852523803711
2019-06-25,66.8359603881836
2020-03-10,66.49449157714844
2020-05-28,66.18994140625
2019-10-07,66.10688018798828
2020-03-13,66.14378356933594
2019-10-10,66.11609649658203
2020-03-16,66.56830596923828
2020-06-03,67.36201477050781
2018-11-28,66.34681701660156
2018-09-25,65.80232238769531
2018-07-23,65.89460754394531
2018-08-24,66.18994140625
2019-07-10,65.7469482421875
2019-05-07,65.9961166381836
2019-04-05,66.71598815917969
2019-03-04,67.629638671875
2019-01-31,70.06608581542969
2019-09-12,69.05089569091797
2019-12-31,69.76152801513672
2020-03-19,69.45698547363281
2020-01-03,68.92169189453125
2020-06-09,69.03368377685547
2019-02-15,69.1456527709961
2019-01-14,70.35873413085938
2018-07-06,71.15190124511719
2018-08-07,71.17057037353516
2018-10-10,72.5142822265625
2018-12-13,72.99951934814453
2019-08-26,73.27945709228516
2019-07-25,72.61693572998047
2019-05-22,73.17681121826172
2019-03-19,73.25147247314453
2020-01-06,73.40077209472656
2020-03-25,74.1566162109375
2020-06-12,73.74603271484375
2019-10-22,74.65116882324219
2020-01-09,74.94044494628906
2020-06-15,74.82847595214844
2019-10-25,73.97930908203125
2020-03-31,74.80048370361328
2020-06-18,73.72737121582031
2019-04-03,74.44588470458984
2018-08-22,74.65116882324219
2018-10-25,75.31371307373047
2019-01-29,75.06175994873047
2018-12-28,74.79115295410156
2018-11-26,75.65896606445312
2019-08-09,75.4630126953125
2019-07-08,75.88291931152344
2019-06-06,76.32149505615234
2019-09-10,75.09909057617188
2020-01-15,74.57652282714844
2020-04-03,75.54698944091797
2019-10-31,74.96843719482422
2020-04-06,75.3416976928711
2020-06-24,75.39768981933594
2018-11-09,76.26551818847656
2019-07-23,75.93891143798828
2019-06-21,75.49100494384766
2019-05-20,76.56412506103516
2019-04-18,76.97468566894531
2018-09-06,77.45059204101562
2018-10-08,76.45213317871094
2019-02-13,76.10687255859375
2018-12-11,76.4708023071289
2019-09-25,75.5096664428711
2020-01-21,75.25772094726562
2020-04-09,75.77094268798828
