Dates,HOLX
2018-06-20,1699000.0
2018-06-21,4393800.0
2018-06-25,4523400.0
2018-06-22,1571800.0
2018-06-26,1465600.0
2018-06-27,1207800.0
2018-06-28,872500.0
2018-06-29,2188200.0
2018-07-02,1456500.0
2018-07-03,945200.0
2018-07-05,3023500.0
2018-07-16,1639100.0
2018-09-18,1329100.0
2019-01-24,1123800.0
2019-09-05,1510800.0
2018-11-21,2017700.0
2020-01-13,1231300.0
2020-04-01,1184400.0
2020-06-19,1006600.0
2019-10-29,1012700.0
2020-01-16,1032700.0
2020-06-22,1248900.0
2018-10-03,1144700.0
2018-07-31,2655200.0
2019-03-12,1481300.0
2019-02-08,1521900.0
2019-01-07,2094100.0
2018-12-06,3560300.0
2019-08-19,2960800.0
2019-07-18,7311300.0
2019-05-15,4147200.0
2019-09-20,2273700.0
2019-11-01,2200900.0
2020-04-07,1863000.0
2020-06-25,1611100.0
2020-06-16,1670000.0
2019-11-04,1130100.0
2020-01-22,4668700.0
2019-11-07,4234400.0
2020-04-13,2241700.0
2019-07-01,2166700.0
2019-05-30,3686600.0
2018-08-15,2624800.0
2018-10-18,2636900.0
2019-03-27,2289600.0
2019-01-22,1370100.0
2018-12-21,1300200.0
2019-09-03,1746900.0
2018-11-19,1916600.0
2019-08-02,1192900.0
2020-01-28,1717800.0
2020-04-16,1530800.0
2019-11-13,2191900.0
2020-01-31,2991800.0
2018-12-04,1930000.0
2018-11-02,1540800.0
2019-07-16,1320200.0
2018-08-30,1806700.0
2018-10-01,827100.0
2019-06-14,2378000.0
2019-05-13,2385700.0
2019-04-11,1977200.0
2019-02-06,3610800.0
2019-09-18,2771000.0
2020-02-03,1268500.0
2020-04-22,1915400.0
2019-11-19,1784500.0
2020-02-06,2537400.0
2019-11-22,1199400.0
2019-03-25,1222700.0
2019-02-21,1213400.0
2018-12-19,1002600.0
2018-07-12,1664800.0
2018-09-14,1104200.0
2018-08-13,1624800.0
2018-10-16,2029400.0
2019-07-31,1994500.0
2019-05-28,2250700.0
2019-04-26,2660500.0
2020-04-28,2922300.0
2019-11-25,2105100.0
2020-02-12,1476800.0
2020-05-01,1270600.0
2020-05-04,1137100.0
2019-06-12,1090300.0
2019-04-09,1619500.0
