Dates,HOLX
2018-06-20,39.970001220703125
2018-06-21,39.900001525878906
2018-06-25,40.869998931884766
2018-06-22,40.40999984741211
2018-06-26,40.02000045776367
2018-06-27,40.150001525878906
2018-06-28,39.56999969482422
2018-06-29,40.2400016784668
2018-07-02,39.68000030517578
2018-07-03,40.16999816894531
2018-07-05,40.279998779296875
2018-07-16,41.27000045776367
2018-09-18,41.310001373291016
2019-01-24,41.540000915527344
2019-09-05,41.72999954223633
2018-11-21,42.209999084472656
2020-01-13,42.13999938964844
2020-04-01,42.0
2020-06-19,41.52000045776367
2019-10-29,41.77000045776367
2020-01-16,41.47999954223633
2020-06-22,41.369998931884766
2018-10-03,41.439998626708984
2018-07-31,42.060001373291016
2019-03-12,42.15999984741211
2019-02-08,42.70000076293945
2019-01-07,42.77000045776367
2018-12-06,43.400001525878906
2019-08-19,43.02000045776367
2019-07-18,43.630001068115234
2019-05-15,42.540000915527344
2019-09-20,42.52000045776367
2019-11-01,42.380001068115234
2020-04-07,42.20000076293945
2020-06-25,41.7599983215332
2020-06-16,41.560001373291016
2019-11-04,41.189998626708984
2020-01-22,40.130001068115234
2019-11-07,39.45000076293945
2020-04-13,39.16999816894531
2019-07-01,39.16999816894531
2019-05-30,38.45000076293945
2018-08-15,38.40999984741211
2018-10-18,38.56999969482422
2019-03-27,39.119998931884766
2019-01-22,39.060001373291016
2018-12-21,39.119998931884766
2019-09-03,39.25
2018-11-19,39.369998931884766
2019-08-02,39.560001373291016
2020-01-28,39.84000015258789
2020-04-16,39.959999084472656
2019-11-13,39.77000045776367
2020-01-31,39.2400016784668
2018-12-04,39.15999984741211
2018-11-02,38.86000061035156
2019-07-16,38.93000030517578
2018-08-30,38.970001220703125
2018-10-01,39.099998474121094
2019-06-14,39.84000015258789
2019-05-13,39.790000915527344
2019-04-11,39.720001220703125
2019-02-06,40.560001373291016
2019-09-18,41.66999816894531
2020-02-03,41.29999923706055
2020-04-22,41.380001068115234
2019-11-19,41.209999084472656
2020-02-06,41.470001220703125
2019-11-22,41.54999923706055
2019-03-25,41.150001525878906
2019-02-21,41.11000061035156
2018-12-19,41.29999923706055
2018-07-12,41.189998626708984
2018-09-14,41.209999084472656
2018-08-13,40.84000015258789
2018-10-16,40.72999954223633
2019-07-31,40.779998779296875
2019-05-28,41.66999816894531
2019-04-26,41.349998474121094
2020-04-28,40.7400016784668
2019-11-25,40.20000076293945
2020-02-12,40.560001373291016
2020-05-01,41.40999984741211
2020-05-04,41.779998779296875
2019-06-12,41.689998626708984
2019-04-09,41.599998474121094
2019-03-08,40.970001220703125
2019-02-04,40.52000045776367
2018-07-27,40.41999816894531
2018-08-28,39.439998626708984
2019-01-03,38.779998779296875
2019-08-15,38.88999938964844
2018-10-31,38.689998626708984
2019-09-16,39.529998779296875
2020-02-18,40.130001068115234
2020-05-07,40.65999984741211
2018-08-17,40.34000015258789
2019-12-04,40.5099983215332
2020-02-21,41.36000061035156
2018-12-17,43.540000915527344
2019-08-30,42.279998779296875
2018-11-15,41.869998931884766
2019-07-29,41.459999084472656
2019-06-27,40.88999938964844
2019-04-24,41.369998931884766
2018-07-10,42.18000030517578
2018-09-12,42.31999969482422
2019-02-19,41.88999938964844
2019-01-18,41.83000183105469
2020-02-24,42.779998779296875
2020-05-13,42.9900016784668
2019-12-10,43.709999084472656
2020-02-27,44.560001373291016
2019-12-13,45.0
2020-05-19,44.70000076293945
2019-03-06,44.91999816894531
2018-11-30,45.16999816894531
2019-08-13,43.36000061035156
2019-07-12,43.400001525878906
2019-06-10,42.59000015258789
2019-05-09,43.2599983215332
2018-07-25,43.4900016784668
2018-09-27,43.36000061035156
2018-10-29,42.709999084472656
2019-10-16,42.20000076293945
2019-12-16,40.529998779296875
2020-03-04,40.869998931884766
2020-05-22,39.86000061035156
2019-10-01,39.2599983215332
2019-12-19,38.40999984741211
2018-09-10,40.0
2019-05-24,40.7400016784668
2018-08-09,41.029998779296875
2019-04-22,41.189998626708984
2019-03-21,39.650001525878906
2019-01-16,38.75
2019-08-28,39.20000076293945
2018-11-13,41.36000061035156
2018-10-12,41.040000915527344
2019-06-25,42.279998779296875
2020-03-10,42.58000183105469
2020-05-28,42.939998626708984
2019-10-07,42.77000045776367
2020-03-13,43.029998779296875
2019-10-10,43.5099983215332
2020-03-16,43.5099983215332
2020-06-03,44.13999938964844
2018-11-28,44.2599983215332
2018-09-25,44.900001525878906
2018-07-23,44.79999923706055
2018-08-24,45.279998779296875
2019-07-10,44.68000030517578
2019-05-07,44.4900016784668
2019-04-05,45.06999969482422
2019-03-04,45.45000076293945
2019-01-31,44.58000183105469
2019-09-12,43.90999984741211
2019-12-31,44.47999954223633
2020-03-19,44.20000076293945
2020-01-03,43.81999969482422
2020-06-09,43.619998931884766
2019-02-15,44.040000915527344
2019-01-14,44.7400016784668
2018-07-06,44.959999084472656
2018-08-07,45.470001220703125
2018-10-10,46.31999969482422
2018-12-13,46.45000076293945
2019-08-26,46.58000183105469
2019-07-25,46.529998779296875
2019-05-22,47.119998931884766
2019-03-19,47.81999969482422
2020-01-06,47.20000076293945
2020-03-25,46.97999954223633
2020-06-12,47.380001068115234
2019-10-22,48.09000015258789
2020-01-09,48.11000061035156
2020-06-15,47.689998626708984
2019-10-25,47.619998931884766
2020-03-31,46.939998626708984
2020-06-18,46.720001220703125
2019-04-03,46.970001220703125
2018-08-22,47.439998626708984
2018-10-25,48.0
2019-01-29,47.470001220703125
2018-12-28,47.83000183105469
2018-11-26,47.75
2019-08-09,47.59000015258789
