Dates,GE
2018-06-20,100282600.0
2018-06-21,73519800.0
2018-06-25,70665100.0
2018-06-22,79892500.0
2018-06-26,222386500.0
2018-06-27,140816600.0
2018-06-28,67008200.0
2018-06-29,74837600.0
2018-07-02,65284800.0
2018-07-03,33500800.0
2018-07-05,55683800.0
2018-07-16,62423200.0
2018-09-18,69743500.0
2019-01-24,62727700.0
2019-09-05,49156700.0
2018-11-21,41417400.0
2020-01-13,50445700.0
2020-04-01,44574600.0
2020-06-19,61476000.0
2019-10-29,42676400.0
2020-01-16,77961300.0
2020-06-22,178095200.0
2018-10-03,93946100.0
2018-07-31,58933200.0
2019-03-12,55487400.0
2019-02-08,56692400.0
2019-01-07,40903800.0
2018-12-06,41147600.0
2019-08-19,74561600.0
2019-07-18,46309400.0
2019-05-15,38038300.0
2019-09-20,36654900.0
2019-11-01,33788800.0
2020-04-07,58868000.0
2020-06-25,42015300.0
2020-06-16,33786600.0
2019-11-04,50390300.0
2020-01-22,69783300.0
2019-11-07,51585600.0
2020-04-13,67295300.0
2019-07-01,54063600.0
2019-05-30,48823300.0
2018-08-15,39266700.0
2018-10-18,60265500.0
2019-03-27,45184000.0
2019-01-22,39576700.0
2018-12-21,40216800.0
2019-09-03,46473100.0
2018-11-19,61432000.0
2019-08-02,49700000.0
2020-01-28,46454200.0
2020-04-16,52419200.0
2019-11-13,46630400.0
2020-01-31,57274400.0
2018-12-04,42244500.0
2018-11-02,47701800.0
2019-07-16,45109600.0
2018-08-30,41760000.0
2018-10-01,41793000.0
2019-06-14,56861700.0
2019-05-13,72768500.0
2019-04-11,52698400.0
2019-02-06,44608500.0
2019-09-18,64586100.0
2020-02-03,91858600.0
2020-04-22,99235800.0
2019-11-19,154533400.0
2020-02-06,139041900.0
2019-11-22,97109500.0
2019-03-25,85484000.0
2019-02-21,79637000.0
2018-12-19,320431000.0
2018-07-12,154654000.0
2018-09-14,86284700.0
2018-08-13,77908500.0
2018-10-16,157206800.0
2019-07-31,179555400.0
2019-05-28,114866000.0
2019-04-26,95620700.0
2020-04-28,120808300.0
2019-11-25,128136800.0
2020-02-12,65145800.0
2020-05-01,89945200.0
2020-05-04,86770400.0
2019-06-12,84781000.0
2019-04-09,90256900.0
2019-03-08,52253200.0
2019-02-04,85160400.0
2018-07-27,86694700.0
2018-08-28,91770700.0
2019-01-03,122317200.0
2019-08-15,124642600.0
2018-10-31,358775700.0
2019-09-16,209953700.0
2020-02-18,245822000.0
2020-05-07,274055100.0
2018-08-17,129364500.0
2019-12-04,117445300.0
2020-02-21,128981500.0
2018-12-17,168268600.0
2019-08-30,284483900.0
2018-11-15,254996400.0
2019-07-29,214048600.0
2019-06-27,176976500.0
2019-04-24,133613800.0
2018-07-10,183673200.0
2018-09-12,154000300.0
2019-02-19,149041800.0
2019-01-18,87820500.0
2020-02-24,45209900.0
2020-05-13,164993700.0
2019-12-10,114823200.0
2020-02-27,129279400.0
2019-12-13,128318600.0
2020-05-19,194566200.0
2019-03-06,135909800.0
2018-11-30,138662900.0
2019-08-13,117484300.0
2019-07-12,119059300.0
2019-06-10,117355400.0
2019-05-09,129563800.0
2018-07-25,110052800.0
2018-09-27,215573200.0
2018-10-29,133952700.0
2019-10-16,134920300.0
2019-12-16,152644400.0
2020-03-04,228253100.0
2020-05-22,189647700.0
2019-10-01,193077300.0
2019-12-19,72810800.0
2018-09-10,135032100.0
2019-05-24,124569700.0
2018-08-09,126537600.0
2019-04-22,112695900.0
2019-03-21,134528200.0
2019-01-16,127866900.0
