Dates,GE
2018-06-20,12.384614944458008
2018-06-21,12.269230842590332
2018-06-25,12.548076629638672
2018-06-22,12.259614944458008
2018-06-26,13.211538314819336
2018-06-27,13.423076629638672
2018-06-28,13.298076629638672
2018-06-29,13.086538314819336
2018-07-02,12.855769157409668
2018-07-03,12.855769157409668
2018-07-05,12.913461685180664
2018-07-16,13.317307472229004
2018-09-18,13.413461685180664
2019-01-24,13.625
2019-09-05,13.451923370361328
2018-11-21,13.451923370361328
2020-01-13,13.355769157409668
2020-04-01,13.365385055541992
2020-06-19,13.163461685180664
2019-10-29,13.22115421295166
2020-01-16,13.201923370361328
2020-06-22,12.615385055541992
2018-10-03,12.490385055541992
2018-07-31,12.615385055541992
2019-03-12,12.605769157409668
2019-02-08,12.644230842590332
2019-01-07,12.557692527770996
2018-12-06,12.65384578704834
2019-08-19,13.105769157409668
2019-07-18,12.730769157409668
2019-05-15,12.663461685180664
2019-09-20,12.634614944458008
2019-11-01,12.59615421295166
2020-04-07,12.65384578704834
2020-06-25,12.548076629638672
2020-06-16,12.442307472229004
2019-11-04,12.27884578704834
2020-01-22,11.97115421295166
2019-11-07,11.875
2020-04-13,11.75
2019-07-01,11.826923370361328
2019-05-30,11.826923370361328
2018-08-15,11.826923370361328
2018-10-18,12.144230842590332
2019-03-27,11.990385055541992
2019-01-22,12.057692527770996
2018-12-21,12.019230842590332
2019-09-03,12.27884578704834
2018-11-19,12.269230842590332
2019-08-02,12.47115421295166
2020-01-28,12.27884578704834
2020-04-16,12.442307472229004
2019-11-13,12.182692527770996
2020-01-31,12.076923370361328
2018-12-04,12.02884578704834
2018-11-02,11.923076629638672
2019-07-16,12.02884578704834
2018-08-30,11.855769157409668
2018-10-01,12.125
2019-06-14,12.22115421295166
2019-05-13,12.192307472229004
2019-04-11,12.211538314819336
2019-02-06,12.173076629638672
2019-09-18,12.365385055541992
2020-02-03,11.980769157409668
2020-04-22,11.701923370361328
2019-11-19,11.288461685180664
2020-02-06,10.836538314819336
2019-11-22,10.951923370361328
2019-03-25,11.086538314819336
2019-02-21,10.855769157409668
2018-12-19,11.625
2018-07-12,11.84615421295166
2018-09-14,12.0
2018-08-13,12.173076629638672
2018-10-16,12.673076629638672
2019-07-31,13.086538314819336
2019-05-28,13.02884578704834
2019-04-26,12.769230842590332
2020-04-28,12.230769157409668
2019-11-25,11.84615421295166
2020-02-12,11.682692527770996
2020-05-01,11.634614944458008
2020-05-04,11.72115421295166
2019-06-12,11.90384578704834
2019-04-09,12.076923370361328
2019-03-08,11.90384578704834
2019-02-04,12.201923370361328
2018-07-27,11.701923370361328
2018-08-28,11.34615421295166
2019-01-03,10.865385055541992
2019-08-15,10.730769157409668
2018-10-31,9.788461685180664
2019-09-16,9.711538314819336
2020-02-18,9.211538314819336
2020-05-07,8.932692527770996
2018-08-17,8.923076629638672
2019-12-04,9.057692527770996
2020-02-21,8.84615421295166
2018-12-17,8.75
2019-08-30,8.25
2018-11-15,7.682692527770996
2019-07-29,8.27884578704834
2019-06-27,8.0
2019-04-24,7.855769157409668
2018-07-10,7.711538314819336
2018-09-12,7.538461685180664
2019-02-19,7.355769157409668
2019-01-18,7.509615421295166
2020-02-24,7.278846263885498
2020-05-13,7.288461685180664
2019-12-10,7.153846263885498
2020-02-27,7.442307472229004
2019-12-13,7.634615421295166
2020-05-19,7.211538314819336
2019-03-06,7.509615421295166
2018-11-30,7.0
2019-08-13,7.067307472229004
2019-07-12,6.740384578704834
2019-06-10,6.663461685180664
2019-05-09,6.5
2018-07-25,6.45192289352417
2018-09-27,6.92307710647583
2018-10-29,6.82692289352417
2019-10-16,6.875
2019-12-16,7.0
2020-03-04,7.365384578704834
2020-05-22,7.153846263885498
2019-10-01,6.875
2019-12-19,6.653846263885498
2018-09-10,7.105769157409668
2019-05-24,6.990384578704834
2018-08-09,7.221153736114502
2019-04-22,7.278846263885498
2019-03-21,7.740384578704834
2019-01-16,7.75
2019-08-28,7.913461685180664
2018-11-13,8.40384578704834
2018-10-12,8.230769157409668
2019-06-25,8.173076629638672
2020-03-10,8.59615421295166
2020-05-28,8.59615421295166
2019-10-07,8.557692527770996
2020-03-13,8.394230842590332
2019-10-10,8.634614944458008
2020-03-16,8.788461685180664
2020-06-03,8.711538314819336
2018-11-28,8.326923370361328
2018-09-25,8.394230842590332
2018-07-23,8.442307472229004
2018-08-24,8.807692527770996
2019-07-10,8.586538314819336
2019-05-07,8.557692527770996
2019-04-05,8.75
2019-03-04,9.769230842590332
2019-01-31,9.798076629638672
2019-09-12,9.817307472229004
2019-12-31,10.22115421295166
2020-03-19,10.067307472229004
2020-01-03,9.673076629638672
2020-06-09,9.432692527770996
2019-02-15,9.644230842590332
2019-01-14,9.59615421295166
2018-07-06,9.97115421295166
2018-08-07,9.65384578704834
2018-10-10,9.701923370361328
2018-12-13,9.740385055541992
2019-08-26,9.711538314819336
2019-07-25,9.644230842590332
2019-05-22,9.77884578704834
2019-03-19,10.40384578704834
2020-01-06,10.65999984741211
2020-03-25,10.880000114440918
2020-06-12,10.390000343322754
2019-10-22,10.270000457763672
2020-01-09,10.380000114440918
2020-06-15,9.890000343322754
2019-10-25,9.109999656677246
2020-03-31,9.449999809265137
2020-06-18,9.579999923706055
2019-04-03,9.899999618530273
2018-08-22,9.760000228881836
2018-10-25,10.020000457763672
2019-01-29,10.300000190734863
2018-12-28,9.960000038146973
2018-11-26,10.199999809265137
2019-08-09,10.1899995803833
2019-07-08,10.220000267028809
2019-06-06,10.270000457763672
2019-09-10,9.979999542236328
2020-01-15,9.880000114440918
2020-04-03,10.100000381469727
2019-10-31,9.960000038146973
2020-04-06,9.890000343322754
2020-06-24,9.989999771118164
2018-11-09,10.100000381469727
2019-07-23,10.239999771118164
2019-06-21,10.100000381469727
2019-05-20,10.029999732971191
2019-04-18,10.010000228881836
2018-09-06,9.489999771118164
2018-10-08,9.220000267028809
2019-02-13,9.15999984741211
2018-12-11,9.119999885559082
2019-09-25,9.0
2020-01-21,8.979999542236328
2020-04-09,9.140000343322754
2019-11-06,9.119999885559082
2020-01-24,9.350000381469727
2020-01-27,9.319999694824219
2020-04-15,9.329999923706055
2018-12-26,9.319999694824219
2019-08-07,9.119999885559082
2019-06-04,9.569999694824219
2018-09-21,9.729999542236328
2018-07-19,10.170000076293945
2018-08-20,10.100000381469727
2018-10-23,10.25
2019-05-03,10.5
2019-04-01,10.430000305175781
2019-02-28,10.109999656677246
2019-11-12,10.15999984741211
2020-01-30,10.039999961853027
2019-11-15,10.130000114440918
2020-04-21,9.869999885559082
2019-04-16,10.319999694824219
2019-03-15,10.260000228881836
2019-02-11,10.130000114440918
