Dates,FANG
2018-06-20,130.64999389648438
2018-06-21,128.91000366210938
2018-06-25,129.52000427246094
2018-06-22,126.30000305175781
2018-06-26,126.95999908447266
2018-06-27,132.8300018310547
2018-06-28,131.89999389648438
2018-06-29,132.85000610351562
2018-07-02,130.8699951171875
2018-07-03,133.17999267578125
2018-07-05,133.39999389648438
2018-07-16,136.07000732421875
2018-09-18,136.89999389648438
2019-01-24,138.25
2019-09-05,134.8300018310547
2018-11-21,132.24000549316406
2020-01-13,132.7899932861328
2020-04-01,130.8000030517578
2020-06-19,131.64999389648438
2019-10-29,131.00999450683594
2020-01-16,132.42999267578125
2020-06-22,133.02000427246094
2018-10-03,131.58999633789062
2018-07-31,134.9600067138672
2019-03-12,135.99000549316406
2019-02-08,135.89999389648438
2019-01-07,136.57000732421875
2018-12-06,136.0
2019-08-19,135.0
2019-07-18,133.0500030517578
2019-05-15,135.66000366210938
2019-09-20,134.82000732421875
2019-11-01,135.74000549316406
2020-04-07,136.25
2020-06-25,134.61000061035156
2020-06-16,135.00999450683594
2019-11-04,136.0
2020-01-22,135.1699981689453
2019-11-07,134.89999389648438
2020-04-13,124.19999694824219
2019-07-01,120.68000030517578
2019-05-30,122.0
2018-08-15,121.81999969482422
2018-10-18,124.2699966430664
2019-03-27,125.3499984741211
2019-01-22,123.77999877929688
2018-12-21,123.44999694824219
2019-09-03,123.58000183105469
2018-11-19,123.0199966430664
2019-08-02,122.25
2020-01-28,122.44000244140625
2020-04-16,121.41999816894531
2019-11-13,122.23999786376953
2020-01-31,119.55000305175781
2018-12-04,117.5199966430664
2018-11-02,114.0
2019-07-16,113.41999816894531
2018-08-30,117.33000183105469
2018-10-01,120.93000030517578
2019-06-14,120.55999755859375
2019-05-13,123.5199966430664
2019-04-11,124.44000244140625
2019-02-06,126.23999786376953
2019-09-18,129.1699981689453
2020-02-03,129.69000244140625
2020-04-22,128.9600067138672
2019-11-19,133.57000732421875
2020-02-06,136.2100067138672
2019-11-22,134.5800018310547
2019-03-25,134.41000366210938
2019-02-21,137.83999633789062
2018-12-19,138.49000549316406
2018-07-12,137.49000549316406
2018-09-14,140.77999877929688
2018-08-13,139.3800048828125
2018-10-16,136.69000244140625
2019-07-31,135.60000610351562
2019-05-28,136.47000122070312
2019-04-26,135.6999969482422
2020-04-28,129.7100067138672
2019-11-25,128.00999450683594
2020-02-12,128.61000061035156
2020-05-01,131.33999633789062
2020-05-04,131.0399932861328
2019-06-12,128.36000061035156
2019-04-09,129.38999938964844
2019-03-08,127.36000061035156
2019-02-04,122.12000274658203
2018-07-27,121.0999984741211
2018-08-28,115.45999908447266
2019-01-03,115.30999755859375
2019-08-15,114.16000366210938
2018-10-31,110.25
2019-09-16,115.70999908447266
2020-02-18,116.02999877929688
2020-05-07,116.72000122070312
2018-08-17,118.41000366210938
2019-12-04,116.62999725341797
2020-02-21,119.55000305175781
2018-12-17,116.12000274658203
2019-08-30,114.83999633789062
2018-11-15,115.63999938964844
2019-07-29,110.44000244140625
2019-06-27,111.80000305175781
2019-04-24,112.69000244140625
2018-07-10,114.93000030517578
2018-09-12,114.55999755859375
2019-02-19,111.88999938964844
2019-01-18,111.37000274658203
2020-02-24,106.72000122070312
2020-05-13,109.58999633789062
2019-12-10,114.22000122070312
2020-02-27,112.04000091552734
2019-12-13,114.11000061035156
2020-05-19,111.56999969482422
2019-03-06,115.97000122070312
2018-11-30,112.80999755859375
2019-08-13,102.33999633789062
2019-07-12,107.54000091552734
2019-06-10,103.9000015258789
2019-05-09,103.5999984741211
2018-07-25,103.04000091552734
2018-09-27,98.83000183105469
2018-10-29,95.77999877929688
2019-10-16,92.7300033569336
2019-12-16,89.95999908447266
2020-03-04,95.04000091552734
2020-05-22,91.4800033569336
2019-10-01,91.68000030517578
2019-12-19,89.33999633789062
2018-09-10,92.05000305175781
2019-05-24,93.04000091552734
2018-08-09,93.55000305175781
2019-04-22,93.29000091552734
2019-03-21,96.23999786376953
2019-01-16,97.88999938964844
2019-08-28,100.08999633789062
2018-11-13,103.62000274658203
2018-10-12,105.55000305175781
2019-06-25,108.94000244140625
2020-03-10,106.7300033569336
2020-05-28,105.36000061035156
2019-10-07,105.45999908447266
2020-03-13,106.79000091552734
2019-10-10,106.9000015258789
2020-03-16,106.48999786376953
2020-06-03,107.05999755859375
2018-11-28,105.91999816894531
2018-09-25,103.19000244140625
2018-07-23,102.9800033569336
2018-08-24,103.22000122070312
2019-07-10,101.27999877929688
2019-05-07,101.81999969482422
2019-04-05,102.54000091552734
2019-03-04,104.61000061035156
