Dates,FANG
2018-06-20,128.5500030517578
2018-06-21,128.91000366210938
2018-06-25,127.41000366210938
2018-06-22,125.61000061035156
2018-06-26,121.7300033569336
2018-06-27,129.0399932861328
2018-06-28,130.5
2018-06-29,130.55999755859375
2018-07-02,130.8699951171875
2018-07-03,130.89999389648438
2018-07-05,131.77999877929688
2018-07-16,131.97999572753906
2018-09-18,134.9600067138672
2019-01-24,137.83999633789062
2019-09-05,133.16000366210938
2018-11-21,132.24000549316406
2020-01-13,130.02999877929688
2020-04-01,128.85000610351562
2020-06-19,128.89999389648438
2019-10-29,130.3699951171875
2020-01-16,130.42999267578125
2020-06-22,133.02000427246094
2018-10-03,131.14999389648438
2018-07-31,132.25999450683594
2019-03-12,133.2100067138672
2019-02-08,134.38999938964844
2019-01-07,134.2899932861328
2018-12-06,133.99000549316406
2019-08-19,133.22999572753906
2019-07-18,131.47000122070312
2019-05-15,131.97000122070312
2019-09-20,134.47999572753906
2019-11-01,131.88999938964844
2020-04-07,134.5
2020-06-25,133.69000244140625
2020-06-16,133.0
2019-11-04,132.05999755859375
2020-01-22,133.75999450683594
2019-11-07,133.2100067138672
2020-04-13,123.04000091552734
2019-07-01,120.0
2019-05-30,120.44999694824219
2018-08-15,121.47000122070312
2018-10-18,121.94999694824219
2019-03-27,124.30999755859375
2019-01-22,123.0
2018-12-21,122.95999908447266
2019-09-03,122.55999755859375
2018-11-19,122.47000122070312
2019-08-02,121.12000274658203
2020-01-28,121.66000366210938
2020-04-16,121.19999694824219
2019-11-13,122.1500015258789
2020-01-31,119.38999938964844
2018-12-04,117.47000122070312
2018-11-02,114.0
2019-07-16,112.73999786376953
2018-08-30,112.36000061035156
2018-10-01,117.72000122070312
2019-06-14,120.16999816894531
2019-05-13,119.25
2019-04-11,121.56999969482422
2019-02-06,123.91000366210938
2019-09-18,124.80000305175781
2020-02-03,129.3000030517578
2020-04-22,127.8499984741211
2019-11-19,130.2100067138672
2020-02-06,133.63999938964844
2019-11-22,134.1300048828125
2019-03-25,133.0500030517578
2019-02-21,133.5500030517578
2018-12-19,135.4499969482422
2018-07-12,137.08999633789062
2018-09-14,137.94000244140625
2018-08-13,139.3800048828125
2018-10-16,136.2100067138672
2019-07-31,134.60000610351562
2019-05-28,132.6300048828125
2019-04-26,135.13999938964844
2020-04-28,128.05999755859375
2019-11-25,127.47000122070312
2020-02-12,127.79000091552734
2020-05-01,129.1999969482422
2020-05-04,130.6300048828125
2019-06-12,128.0
2019-04-09,127.56999969482422
2019-03-08,127.16999816894531
2019-02-04,121.19000244140625
2018-07-27,120.87999725341797
2018-08-28,114.4800033569336
2019-01-03,112.25
2019-08-15,113.79000091552734
2018-10-31,106.38999938964844
2019-09-16,111.0199966430664
2020-02-18,112.80000305175781
2020-05-07,116.0199966430664
2018-08-17,115.55000305175781
2019-12-04,116.41999816894531
2020-02-21,117.77999877929688
2018-12-17,115.27999877929688
2019-08-30,109.08000183105469
2018-11-15,114.66999816894531
