Dates,GILD
2018-06-20,6010600.0
2018-06-21,6548400.0
2018-06-25,6118900.0
2018-06-22,6019500.0
2018-06-26,6538300.0
2018-06-27,5818600.0
2018-06-28,7977100.0
2018-06-29,6215700.0
2018-07-02,4086700.0
2018-07-03,3147700.0
2018-07-05,5755400.0
2018-07-16,8859800.0
2018-09-18,8546500.0
2019-01-24,8380800.0
2019-09-05,6138800.0
2018-11-21,8955900.0
2020-01-13,4031200.0
2020-04-01,3093500.0
2020-06-19,4424700.0
2019-10-29,5186600.0
2020-01-16,6488400.0
2020-06-22,5656000.0
2018-10-03,5119800.0
2018-07-31,8686500.0
2019-03-12,7968400.0
2019-02-08,14492500.0
2019-01-07,9455900.0
2018-12-06,5720900.0
2019-08-19,6615100.0
2019-07-18,4246200.0
2019-05-15,5629200.0
2019-09-20,4628600.0
2019-11-01,3955100.0
2020-04-07,5759100.0
2020-06-25,4400600.0
2020-06-16,5835400.0
2019-11-04,5564100.0
2020-01-22,4903400.0
2019-11-07,4399800.0
2020-04-13,11810000.0
2019-07-01,8742100.0
2019-05-30,13337900.0
2018-08-15,9137800.0
2018-10-18,9139900.0
2019-03-27,5083500.0
2019-01-22,4737500.0
2018-12-21,4767100.0
2019-09-03,5355500.0
2018-11-19,4737600.0
2019-08-02,4570500.0
2020-01-28,4459100.0
2020-04-16,4311900.0
2019-11-13,4842300.0
2020-01-31,5069400.0
2018-12-04,5404900.0
2018-11-02,6891900.0
2019-07-16,5009600.0
2018-08-30,5265100.0
2018-10-01,9589000.0
2019-06-14,5607200.0
2019-05-13,4959800.0
2019-04-11,5757200.0
2019-02-06,7251800.0
2019-09-18,3662800.0
2020-02-03,5883700.0
2020-04-22,9578700.0
2019-11-19,4926300.0
2020-02-06,5926500.0
2019-11-22,7527500.0
2019-03-25,5451000.0
2019-02-21,7604800.0
2018-12-19,7820400.0
2018-07-12,7468700.0
2018-09-14,6560100.0
2018-08-13,7705500.0
2018-10-16,6083400.0
2019-07-31,4507100.0
2019-05-28,5367800.0
2019-04-26,6719900.0
2020-04-28,8486100.0
2019-11-25,5638400.0
2020-02-12,5198600.0
2020-05-01,7455100.0
2020-05-04,5455000.0
2019-06-12,6185300.0
2019-04-09,5036500.0
2019-03-08,5351400.0
2019-02-04,5738500.0
2018-07-27,8949100.0
2018-08-28,9388600.0
2019-01-03,11006100.0
2019-08-15,9183400.0
2018-10-31,6632500.0
2019-09-16,17316000.0
2020-02-18,8060600.0
2020-05-07,6061200.0
2018-08-17,6087800.0
2019-12-04,5699000.0
2020-02-21,8635900.0
2018-12-17,5007100.0
2019-08-30,4568000.0
2018-11-15,5300800.0
2019-07-29,4437600.0
2019-06-27,4397200.0
2019-04-24,9249300.0
2018-07-10,8059100.0
2018-09-12,8814700.0
2019-02-19,8511000.0
2019-01-18,8866000.0
2020-02-24,3072800.0
2020-05-13,9451000.0
2019-12-10,8001500.0
2020-02-27,6463100.0
2019-12-13,6468000.0
2020-05-19,8673300.0
2019-03-06,11239300.0
2018-11-30,9935000.0
2019-08-13,8099400.0
2019-07-12,5657500.0
2019-06-10,8927200.0
2019-05-09,5867000.0
2018-07-25,6447900.0
2018-09-27,6198200.0
2018-10-29,8253600.0
2019-10-16,11671600.0
2019-12-16,9325600.0
2020-03-04,9488300.0
2020-05-22,10462600.0
2019-10-01,17586200.0
2019-12-19,6162600.0
2018-09-10,8824400.0
2019-05-24,9548200.0
2018-08-09,6785400.0
2019-04-22,7584000.0
2019-03-21,7839400.0
2019-01-16,14631300.0
2019-08-28,9639500.0
2018-11-13,10504100.0
2018-10-12,7527400.0
2019-06-25,5770000.0
2020-03-10,5715900.0
2020-05-28,5663100.0
2019-10-07,9172500.0
2020-03-13,7199500.0
2019-10-10,6142300.0
2020-03-16,5224500.0
2020-06-03,8358800.0
2018-11-28,9827000.0
2018-09-25,6952600.0
2018-07-23,7750900.0
2018-08-24,8809600.0
2019-07-10,7120000.0
2019-05-07,6989300.0
2019-04-05,5113400.0
2019-03-04,8343700.0
2019-01-31,6502100.0
2019-09-12,6913800.0
2019-12-31,14500600.0
2020-03-19,7580200.0
2020-01-03,6643400.0
2020-06-09,5522200.0
2019-02-15,5505500.0
2019-01-14,15927900.0
2018-07-06,9047500.0
2018-08-07,5737100.0
2018-10-10,6214200.0
2018-12-13,6396200.0
2019-08-26,5679800.0
2019-07-25,5607900.0
2019-05-22,4925500.0
2019-03-19,7090500.0
2020-01-06,5957800.0
2020-03-25,7645100.0
2020-06-12,7227300.0
2019-10-22,6002500.0
2020-01-09,8409600.0
2020-06-15,7405400.0
2019-10-25,9442500.0
2020-03-31,7618500.0
2020-06-18,7639700.0
2019-04-03,5207900.0
2018-08-22,5235600.0
2018-10-25,6276300.0
2019-01-29,7958500.0
2018-12-28,11976800.0
2018-11-26,8066900.0
2019-08-09,6860800.0
2019-07-08,8408200.0
2019-06-06,9069500.0
2019-09-10,5911900.0
2020-01-15,7686800.0
2020-04-03,6332400.0
2019-10-31,5919600.0
2020-04-06,5256000.0
2020-06-24,9601400.0
2018-11-09,5757300.0
2019-07-23,6932100.0
2019-06-21,6687000.0
2019-05-20,5713800.0
2019-04-18,5401100.0
2018-09-06,5308400.0
2018-10-08,5908000.0
2019-02-13,7451400.0
2018-12-11,5994400.0
2019-09-25,6975400.0
2020-01-21,4766400.0
2020-04-09,5820700.0
2019-11-06,7888400.0
2020-01-24,11552900.0
2020-01-27,11480600.0
2020-04-15,10286600.0
2018-12-26,6130200.0
2019-08-07,7944700.0
2019-06-04,8144600.0
2018-09-21,5252500.0
2018-07-19,7164900.0
2018-08-20,5779700.0
2018-10-23,5735800.0
2019-05-03,8822500.0
2019-04-01,6304700.0
2019-02-28,7281300.0
2019-11-12,6509500.0
2020-01-30,6116700.0
2019-11-15,5953400.0
2020-04-21,8146000.0
2019-04-16,6810900.0
2019-03-15,5381500.0
2019-02-11,7535400.0
2019-01-10,6660900.0
2019-08-22,4473900.0
2018-11-07,5118200.0
2018-08-03,5764800.0
2018-09-04,6707200.0
2019-06-19,4197900.0
2019-09-23,9821600.0
2019-11-18,7193700.0
2020-02-05,4311900.0
2020-04-24,4871900.0
2019-03-29,9150900.0
2019-11-21,5647800.0
2020-04-27,5226500.0
2020-02-11,4982500.0
2020-04-30,6255100.0
2019-05-01,5942700.0
2019-02-26,5144600.0
2019-01-25,6406800.0
2018-12-24,4452900.0
2019-09-06,5333800.0
2018-07-17,5287300.0
2018-09-19,7385700.0
2019-08-05,4643100.0
2019-10-08,4968300.0
2019-12-11,8718500.0
2019-11-27,4013700.0
2020-02-14,6293200.0
2020-05-06,9479000.0
2019-01-08,5996900.0
2018-12-07,19742500.0
2019-08-20,6014500.0
2018-11-05,6010200.0
2019-07-19,2906000.0
2018-10-04,4118300.0
2019-06-17,7191900.0
2019-05-16,5201400.0
2018-08-01,4072300.0
2019-03-13,5833100.0
2019-12-03,4740700.0
2020-02-20,7495100.0
2019-12-06,5573200.0
2020-05-12,4858500.0
2019-12-09,4002500.0
2020-02-26,8876400.0
2020-05-15,6302600.0
2019-03-28,7854200.0
2018-09-17,4592400.0
2018-08-16,4061200.0
2018-10-19,4790600.0
2019-04-29,5571700.0
2019-01-23,6694500.0
2019-09-04,10366300.0
2018-11-20,8259800.0
2019-07-02,6753100.0
2019-05-31,7230000.0
2019-12-12,7052100.0
2020-05-18,5450400.0
2019-09-27,5188900.0
2020-03-03,5233000.0
2020-05-21,5703200.0
2019-05-14,4779600.0
2018-08-31,6382100.0
2018-07-30,4490800.0
2018-10-02,6967500.0
2019-04-12,6163200.0
2019-03-11,5286400.0
2019-02-07,4493700.0
2019-07-17,5084900.0
2019-09-19,7488300.0
2019-10-21,4053200.0
2019-12-18,5227000.0
2020-03-06,5441100.0
2019-10-03,4758500.0
2020-03-09,5301200.0
2020-05-27,4909200.0
2019-12-24,5898200.0
2020-03-12,6011100.0
2018-12-20,6833300.0
2019-08-01,8701000.0
2018-08-14,7419700.0
2018-07-13,8853300.0
2018-10-17,6495500.0
2019-05-29,4814700.0
2019-03-26,4644100.0
2019-02-22,4819800.0
2019-10-04,4295400.0
2019-11-05,4171100.0
2019-12-27,9700400.0
2020-06-02,5259100.0
2019-12-30,5823400.0
2020-03-18,4914500.0
2020-06-05,6398400.0
2019-07-15,7410900.0
2018-12-03,8291400.0
2019-06-13,4899200.0
2019-01-04,6409700.0
2018-08-29,6325200.0
2019-02-05,5138700.0
2018-11-01,5980700.0
2019-08-16,4559800.0
2019-04-10,3516200.0
2019-09-17,5718400.0
2019-10-15,5598100.0
2020-01-02,4354500.0
2020-06-08,5675700.0
2019-10-18,4854900.0
2020-03-24,4682600.0
2020-06-11,8805600.0
2020-01-08,3737000.0
2019-04-25,5881800.0
2019-07-30,6056100.0
2019-02-20,5555400.0
2018-07-11,12014700.0
2018-09-13,7854600.0
2018-10-15,5534100.0
2019-06-28,6289200.0
2018-12-18,6438100.0
2018-11-16,4956800.0
2019-10-02,7008700.0
2020-03-27,6599100.0
2020-01-10,6010500.0
2019-10-24,7746000.0
2020-03-30,4953100.0
2020-06-17,3696400.0
2020-01-14,4243200.0
2020-04-02,4482600.0
2019-01-02,7548200.0
2019-08-14,6908600.0
2018-10-30,6163600.0
2019-06-11,6135100.0
2019-05-10,7633900.0
2019-04-08,5392000.0
2018-08-27,4589300.0
2018-07-26,7492900.0
2018-09-28,6923500.0
2019-03-07,4980300.0
2019-10-30,2658800.0
2020-01-17,7642100.0
2020-06-23,5333300.0
2020-04-08,5093400.0
2020-06-26,5847800.0
2019-03-22,4140400.0
2019-01-17,5983700.0
