Dates,GILD
2018-06-20,70.3499984741211
2018-06-21,70.77999877929688
2018-06-25,70.83000183105469
2018-06-22,70.55000305175781
2018-06-26,69.70999908447266
2018-06-27,68.5999984741211
2018-06-28,69.08000183105469
2018-06-29,70.29000091552734
2018-07-02,70.30000305175781
2018-07-03,71.0999984741211
2018-07-05,71.29000091552734
2018-07-16,73.0
2018-09-18,75.20999908447266
2019-01-24,76.23999786376953
2019-09-05,75.69000244140625
2018-11-21,75.93000030517578
2020-01-13,77.04000091552734
2020-04-01,76.7300033569336
2020-06-19,76.93000030517578
2019-10-29,76.81999969482422
2020-01-16,76.08000183105469
2020-06-22,76.36000061035156
2018-10-03,76.95999908447266
2018-07-31,77.4000015258789
2019-03-12,77.29000091552734
2019-02-08,76.0999984741211
2019-01-07,76.62999725341797
2018-12-06,75.83999633789062
2019-08-19,76.19000244140625
2019-07-18,77.37999725341797
2019-05-15,76.86000061035156
2019-09-20,77.16999816894531
2019-11-01,77.26000213623047
2020-04-07,77.5199966430664
2020-06-25,76.83000183105469
2020-06-16,76.91999816894531
2019-11-04,76.30000305175781
2020-01-22,76.52999877929688
2019-11-07,77.11000061035156
2020-04-13,74.25
2019-07-01,74.68000030517578
2019-05-30,72.05999755859375
2018-08-15,71.9000015258789
2018-10-18,72.37000274658203
2019-03-27,73.20999908447266
2019-01-22,72.75
2018-12-21,73.20999908447266
2019-09-03,73.83999633789062
2018-11-19,74.61000061035156
2019-08-02,74.36000061035156
2020-01-28,75.5
2020-04-16,75.51000213623047
2019-11-13,73.6500015258789
2020-01-31,73.91000366210938
2018-12-04,72.61000061035156
2018-11-02,71.48999786376953
2019-07-16,72.3499984741211
2018-08-30,71.7699966430664
2018-10-01,73.4000015258789
2019-06-14,72.9000015258789
2019-05-13,73.20999908447266
2019-04-11,72.61000061035156
2019-02-06,72.18000030517578
2019-09-18,73.30000305175781
2020-02-03,73.83999633789062
2020-04-22,74.75
2019-11-19,75.23999786376953
2020-02-06,74.91999816894531
2019-11-22,74.8499984741211
2019-03-25,75.56999969482422
2019-02-21,76.12999725341797
2018-12-19,77.04000091552734
2018-07-12,77.69000244140625
2018-09-14,78.4800033569336
2018-08-13,75.83000183105469
2018-10-16,75.1500015258789
2019-07-31,75.51000213623047
2019-05-28,75.83000183105469
2019-04-26,74.75
2020-04-28,71.80000305175781
2019-11-25,72.26000213623047
2020-02-12,72.70999908447266
2020-05-01,73.04000091552734
2020-05-04,75.13999938964844
2019-06-12,73.31999969482422
2019-04-09,73.1500015258789
2019-03-08,72.18000030517578
2019-02-04,70.69999694824219
2018-07-27,67.87999725341797
2018-08-28,67.25
2019-01-03,66.5
2019-08-15,69.47000122070312
2018-10-31,71.04000091552734
