Dates,GILD
2018-06-20,71.56999969482422
2018-06-21,71.69000244140625
2018-06-25,71.76000213623047
2018-06-22,71.63999938964844
2018-06-26,72.06999969482422
2018-06-27,70.77999877929688
2018-06-28,70.5
2018-06-29,71.5
2018-07-02,71.37999725341797
2018-07-03,71.94000244140625
2018-07-05,72.88999938964844
2018-07-16,75.44000244140625
2018-09-18,77.19000244140625
2019-01-24,77.44000244140625
2019-09-05,76.66000366210938
2018-11-21,78.16999816894531
2020-01-13,77.88999938964844
2020-04-01,77.8499984741211
2020-06-19,77.76000213623047
2019-10-29,77.77999877929688
2020-01-16,77.7300033569336
2020-06-22,77.69999694824219
2018-10-03,77.94000244140625
2018-07-31,78.58999633789062
2019-03-12,79.0
2019-02-08,79.04000091552734
2019-01-07,78.94999694824219
2018-12-06,76.95999908447266
2019-08-19,78.08000183105469
2019-07-18,78.3499984741211
2019-05-15,78.16000366210938
2019-09-20,77.94999694824219
2019-11-01,78.23999786376953
2020-04-07,78.55000305175781
2020-06-25,78.37999725341797
2020-06-16,78.62000274658203
2019-11-04,77.95999908447266
2020-01-22,77.4800033569336
2019-11-07,77.81999969482422
2020-04-13,76.47000122070312
2019-07-01,75.68000030517578
2019-05-30,75.55000305175781
2018-08-15,73.37000274658203
2018-10-18,73.4800033569336
2019-03-27,74.3499984741211
2019-01-22,73.76000213623047
2018-12-21,74.01000213623047
2019-09-03,74.91000366210938
2018-11-19,75.47000122070312
2019-08-02,75.80999755859375
2020-01-28,76.3499984741211
2020-04-16,76.58999633789062
2019-11-13,75.72000122070312
2020-01-31,74.66000366210938
2018-12-04,74.63999938964844
2018-11-02,72.80000305175781
2019-07-16,73.16999816894531
2018-08-30,72.69000244140625
2018-10-01,75.18000030517578
2019-06-14,74.25
2019-05-13,74.55000305175781
2019-04-11,73.52999877929688
2019-02-06,74.01000213623047
2019-09-18,74.31999969482422
2020-02-03,74.95999908447266
2020-04-22,75.93000030517578
2019-11-19,76.20999908447266
2020-02-06,75.98999786376953
2019-11-22,76.41000366210938
2019-03-25,77.0999984741211
2019-02-21,77.23999786376953
2018-12-19,78.58999633789062
2018-07-12,78.75
2018-09-14,79.61000061035156
2018-08-13,78.94999694824219
2018-10-16,77.55999755859375
2019-07-31,76.6500015258789
2019-05-28,77.38999938964844
2019-04-26,77.05999755859375
2020-04-28,75.19000244140625
2019-11-25,73.9000015258789
2020-02-12,73.7699966430664
2020-05-01,76.44000244140625
2020-05-04,76.29000091552734
2019-06-12,75.5999984741211
2019-04-09,74.80000305175781
2019-03-08,73.69999694824219
2019-02-04,72.30999755859375
2018-07-27,72.05999755859375
2018-08-28,70.0199966430664
2019-01-03,70.27999877929688
2019-08-15,71.98999786376953
2018-10-31,72.62000274658203
2019-09-16,72.5
2020-02-18,70.41999816894531
2020-05-07,71.56999969482422
2018-08-17,70.16999816894531
2019-12-04,70.4000015258789
2020-02-21,72.80000305175781
2018-12-17,72.66000366210938
2019-08-30,71.91000366210938
2018-11-15,71.47000122070312
2019-07-29,72.55000305175781
2019-06-27,71.70999908447266
2019-04-24,70.56999969482422
2018-07-10,69.69999694824219
2018-09-12,69.23999786376953
2019-02-19,69.45999908447266
2019-01-18,67.69000244140625
2020-02-24,67.04000091552734
2020-05-13,68.05999755859375
2019-12-10,67.44999694824219
2020-02-27,69.20999908447266
2019-12-13,70.27999877929688
2020-05-19,72.19999694824219
2019-03-06,72.9000015258789
2018-11-30,72.62999725341797
2019-08-13,70.20999908447266
2019-07-12,70.0
2019-06-10,69.87000274658203
2019-05-09,69.16999816894531
