Dates,FFIV
2018-06-20,566700.0
2018-06-21,665400.0
2018-06-25,1163700.0
2018-06-22,917000.0
2018-06-26,630900.0
2018-06-27,581800.0
2018-06-28,391800.0
2018-06-29,439200.0
2018-07-02,449200.0
2018-07-03,271800.0
2018-07-05,652700.0
2018-07-16,317700.0
2018-09-18,487000.0
2019-01-24,571900.0
2019-09-05,942800.0
2018-11-21,504000.0
2020-01-13,662500.0
2020-04-01,528200.0
2020-06-19,613900.0
2019-10-29,694200.0
2020-01-16,961400.0
2020-06-22,868100.0
2018-10-03,657900.0
2018-07-31,857500.0
2019-03-12,855500.0
2019-02-08,1236200.0
2019-01-07,639100.0
2018-12-06,688200.0
2019-08-19,678700.0
2019-07-18,617400.0
2019-05-15,788400.0
2019-09-20,588500.0
2019-11-01,649900.0
2020-04-07,535400.0
2020-06-25,724400.0
2020-06-16,617900.0
2019-11-04,345100.0
2020-01-22,423700.0
2019-11-07,479100.0
2020-04-13,563400.0
2019-07-01,529200.0
2019-05-30,574100.0
2018-08-15,642900.0
2018-10-18,416100.0
2019-03-27,376600.0
2019-01-22,419200.0
2018-12-21,445900.0
2019-09-03,378700.0
2018-11-19,327900.0
2019-08-02,691300.0
2020-01-28,361800.0
2020-04-16,735000.0
2019-11-13,535500.0
2020-01-31,632100.0
2018-12-04,377800.0
2018-11-02,375600.0
2019-07-16,457800.0
2018-08-30,401500.0
2018-10-01,323100.0
2019-06-14,364500.0
2019-05-13,505700.0
2019-04-11,523000.0
2019-02-06,498800.0
2019-09-18,358200.0
2020-02-03,454800.0
2020-04-22,740000.0
2019-11-19,452300.0
2020-02-06,480400.0
2019-11-22,817800.0
2019-03-25,495500.0
2019-02-21,552300.0
2018-12-19,1231300.0
2018-07-12,914200.0
2018-09-14,1106300.0
2018-08-13,795300.0
2018-10-16,671200.0
2019-07-31,784200.0
2019-05-28,714500.0
2019-04-26,1097400.0
2020-04-28,1272900.0
2019-11-25,1021200.0
2020-02-12,782500.0
2020-05-01,988500.0
2020-05-04,873200.0
2019-06-12,747700.0
2019-04-09,849800.0
2019-03-08,1150100.0
2019-02-04,880800.0
2018-07-27,911900.0
2018-08-28,1506300.0
2019-01-03,1176200.0
2019-08-15,855900.0
2018-10-31,560900.0
2019-09-16,1122100.0
2020-02-18,967100.0
2020-05-07,685600.0
2018-08-17,537900.0
2019-12-04,410900.0
2020-02-21,1002300.0
2018-12-17,697000.0
2019-08-30,1012100.0
2018-11-15,635800.0
2019-07-29,608300.0
2019-06-27,544800.0
2019-04-24,633800.0
2018-07-10,448500.0
2018-09-12,870800.0
2019-02-19,581300.0
2019-01-18,536100.0
2020-02-24,296800.0
2020-05-13,413800.0
2019-12-10,717400.0
2020-02-27,719200.0
2019-12-13,757900.0
2020-05-19,739100.0
2019-03-06,1268400.0
2018-11-30,997200.0
2019-08-13,758200.0
2019-07-12,610500.0
2019-06-10,654700.0
2019-05-09,501700.0
2018-07-25,699400.0
2018-09-27,773100.0
2018-10-29,638100.0
2019-10-16,1101800.0
2019-12-16,777600.0
2020-03-04,618300.0
2020-05-22,1060200.0
2019-10-01,1055800.0
2019-12-19,713500.0
2018-09-10,478300.0
2019-05-24,504400.0
2018-08-09,357600.0
2019-04-22,330600.0
2019-03-21,758700.0
2019-01-16,1227800.0
2019-08-28,805100.0
2018-11-13,913300.0
2018-10-12,634200.0
2019-06-25,415200.0
2020-03-10,554600.0
2020-05-28,885700.0
2019-10-07,729500.0
2020-03-13,546300.0
2019-10-10,757700.0
2020-03-16,1223500.0
2020-06-03,1306300.0
2018-11-28,921600.0
2018-09-25,1162300.0
2018-07-23,2096400.0
2018-08-24,723700.0
2019-07-10,603400.0
2019-05-07,463000.0
2019-04-05,556700.0
2019-03-04,843800.0
2019-01-31,667300.0
2019-09-12,532000.0
2019-12-31,371100.0
2020-03-19,389700.0
2020-01-03,416600.0
2020-06-09,700600.0
2019-02-15,384600.0
2019-01-14,430100.0
2018-07-06,532800.0
2018-08-07,715400.0
2018-10-10,660500.0
2018-12-13,704100.0
2019-08-26,574000.0
2019-07-25,438700.0
2019-05-22,349800.0
2019-03-19,684700.0
2020-01-06,453100.0
2020-03-25,272900.0
2020-06-12,706700.0
2019-10-22,756400.0
2020-01-09,553700.0
2020-06-15,511300.0
2019-10-25,527000.0
2020-03-31,783200.0
2020-06-18,610500.0
2019-04-03,563300.0
2018-08-22,2278500.0
2018-10-25,1252400.0
2019-01-29,656100.0
2018-12-28,910400.0
2018-11-26,514400.0
2019-08-09,639600.0
2019-07-08,431300.0
2019-06-06,477300.0
2019-09-10,604500.0
2020-01-15,401200.0
2020-04-03,662200.0
2019-10-31,514700.0
2020-04-06,488400.0
2020-06-24,772000.0
2018-11-09,1002500.0
2019-07-23,892400.0
2019-06-21,613300.0
