Dates,FFIV
2018-06-20,180.5500030517578
2018-06-21,181.7100067138672
2018-06-25,178.88999938964844
2018-06-22,170.60000610351562
2018-06-26,170.64999389648438
2018-06-27,172.30999755859375
2018-06-28,170.25
2018-06-29,173.50999450683594
2018-07-02,171.3000030517578
2018-07-03,175.3699951171875
2018-07-05,175.47999572753906
2018-07-16,176.8300018310547
2018-09-18,177.75999450683594
2019-01-24,177.3000030517578
2019-09-05,176.89999389648438
2018-11-21,176.0800018310547
2020-01-13,177.67999267578125
2020-04-01,176.63999938964844
2020-06-19,174.9499969482422
2019-10-29,176.72999572753906
2020-01-16,173.3300018310547
2020-06-22,172.4600067138672
2018-10-03,171.67999267578125
2018-07-31,173.66000366210938
2019-03-12,173.49000549316406
2019-02-08,178.99000549316406
2019-01-07,177.7100067138672
2018-12-06,173.4600067138672
2019-08-19,171.35000610351562
2019-07-18,171.86000061035156
2019-05-15,168.99000549316406
2019-09-20,172.14999389648438
2019-11-01,171.69000244140625
2020-04-07,175.27999877929688
2020-06-25,176.6699981689453
2020-06-16,179.0
2019-11-04,179.14999389648438
2020-01-22,180.0
2019-11-07,180.47999572753906
2020-04-13,180.30999755859375
2019-07-01,180.77000427246094
2019-05-30,177.97000122070312
2018-08-15,181.7100067138672
2018-10-18,182.99000549316406
2019-03-27,183.85000610351562
2019-01-22,184.69000244140625
2018-12-21,186.3699951171875
2019-09-03,188.5
2018-11-19,188.39999389648438
2019-08-02,189.97999572753906
2020-01-28,189.97999572753906
2020-04-16,188.5
2019-11-13,188.75999450683594
2020-01-31,191.3699951171875
2018-12-04,189.75
2018-11-02,189.38999938964844
2019-07-16,191.08999633789062
2018-08-30,191.9199981689453
2018-10-01,191.2899932861328
2019-06-14,191.25999450683594
2019-05-13,192.82000732421875
2019-04-11,194.4499969482422
2019-02-06,193.6199951171875
2019-09-18,194.27999877929688
2020-02-03,194.07000732421875
2020-04-22,195.11000061035156
2019-11-19,194.3800048828125
2020-02-06,195.97000122070312
2019-11-22,196.5
2019-03-25,195.8800048828125
2019-02-21,196.42999267578125
2018-12-19,193.67999267578125
2018-07-12,189.80999755859375
2018-09-14,188.0399932861328
2018-08-13,185.80999755859375
2018-10-16,182.74000549316406
2019-07-31,182.0399932861328
2019-05-28,178.8000030517578
2019-04-26,175.33999633789062
2020-04-28,168.6199951171875
2019-11-25,167.5399932861328
2020-02-12,166.75
2020-05-01,168.88999938964844
2020-05-04,170.30999755859375
2019-06-12,170.36000061035156
2019-04-09,170.3699951171875
2019-03-08,165.89999389648438
2019-02-04,166.72999572753906
2018-07-27,167.9199981689453
2018-08-28,174.86000061035156
2019-01-03,168.75
2019-08-15,173.32000732421875
2018-10-31,168.69000244140625
2019-09-16,174.32000732421875
2020-02-18,175.1300048828125
2020-05-07,177.30999755859375
2018-08-17,180.1999969482422
2019-12-04,179.86000061035156
2020-02-21,182.4499969482422
2018-12-17,188.0
2019-08-30,187.6199951171875
2018-11-15,182.5500030517578
2019-07-29,178.89999389648438
2019-06-27,177.91000366210938
2019-04-24,175.61000061035156
2018-07-10,177.5399932861328
2018-09-12,177.6199951171875
2019-02-19,166.1199951171875
2019-01-18,168.3300018310547
2020-02-24,166.8699951171875
2020-05-13,170.27000427246094
2019-12-10,169.30999755859375
2020-02-27,171.00999450683594
2019-12-13,175.61000061035156
2020-05-19,173.64999389648438
2019-03-06,175.35000610351562
2018-11-30,174.5
2019-08-13,165.97999572753906
2019-07-12,170.92999267578125
2019-06-10,164.8699951171875
2019-05-09,169.9499969482422
2018-07-25,169.52000427246094
2018-09-27,171.0
2018-10-29,167.85000610351562
2019-10-16,164.99000549316406
2019-12-16,164.27999877929688
2020-03-04,167.02999877929688
2020-05-22,161.92999267578125
2019-10-01,158.77000427246094
2019-12-19,153.75
2018-09-10,151.3800048828125
2019-05-24,155.5399932861328
2018-08-09,161.17999267578125
2019-04-22,162.0399932861328
2019-03-21,158.19000244140625
2019-01-16,159.61000061035156
2019-08-28,156.6999969482422
2018-11-13,159.9499969482422
2018-10-12,165.1699981689453
2019-06-25,165.91000366210938
2020-03-10,163.94000244140625
2020-05-28,163.75
2019-10-07,161.9199981689453
2020-03-13,163.4199981689453
2019-10-10,163.17999267578125
2020-03-16,156.89999389648438
2020-06-03,157.5399932861328
2018-11-28,155.94000244140625
2018-09-25,158.33999633789062
