Dates,FFIV
2018-06-20,180.00999450683594
2018-06-21,179.30999755859375
2018-06-25,171.11000061035156
2018-06-22,168.02999877929688
2018-06-26,170.32000732421875
2018-06-27,170.3800048828125
2018-06-28,170.02999877929688
2018-06-29,172.36000061035156
2018-07-02,169.6999969482422
2018-07-03,174.17999267578125
2018-07-05,174.3699951171875
2018-07-16,175.47000122070312
2018-09-18,175.77000427246094
2019-01-24,176.64999389648438
2019-09-05,170.1199951171875
2018-11-21,175.7899932861328
2020-01-13,174.1199951171875
2020-04-01,175.11000061035156
2020-06-19,174.9499969482422
2019-10-29,176.6999969482422
2020-01-16,169.7100067138672
2020-06-22,171.5800018310547
2018-10-03,170.97000122070312
2018-07-31,171.64999389648438
2019-03-12,172.0800018310547
2019-02-08,169.0
2019-01-07,173.24000549316406
2018-12-06,169.39999389648438
2019-08-19,170.33999633789062
2019-07-18,170.05999755859375
2019-05-15,168.77000427246094
2019-09-20,172.14999389648438
2019-11-01,170.5800018310547
2020-04-07,175.27999877929688
2020-06-25,176.3000030517578
2020-06-16,179.0
2019-11-04,178.7100067138672
2020-01-22,179.67999267578125
2019-11-07,179.6199951171875
2020-04-13,176.0
2019-07-01,178.22999572753906
2019-05-30,177.97000122070312
2018-08-15,181.63999938964844
2018-10-18,180.67999267578125
2019-03-27,182.83999633789062
2019-01-22,183.57000732421875
2018-12-21,185.75
2019-09-03,188.0399932861328
2018-11-19,188.32000732421875
2019-08-02,189.5399932861328
2020-01-28,188.69000244140625
2020-04-16,187.91000366210938
2019-11-13,187.02000427246094
2020-01-31,188.3699951171875
2018-12-04,189.47999572753906
2018-11-02,187.57000732421875
2019-07-16,190.50999450683594
2018-08-30,189.41000366210938
2018-10-01,189.10000610351562
2019-06-14,190.5500030517578
2019-05-13,192.0500030517578
2019-04-11,192.77999877929688
2019-02-06,191.8300018310547
2019-09-18,192.02000427246094
2020-02-03,193.3699951171875
2020-04-22,194.27000427246094
2019-11-19,191.99000549316406
2020-02-06,193.74000549316406
2019-11-22,195.16000366210938
2019-03-25,195.39999389648438
2019-02-21,196.2899932861328
2018-12-19,188.3699951171875
2018-07-12,186.6999969482422
2018-09-14,185.74000549316406
2018-08-13,181.39999389648438
2018-10-16,181.89999389648438
2019-07-31,177.1199951171875
2019-05-28,176.3699951171875
2019-04-26,169.0
2020-04-28,164.36000061035156
2019-11-25,166.17999267578125
2020-02-12,166.75
2020-05-01,166.97000122070312
2020-05-04,168.6999969482422
2019-06-12,169.14999389648438
2019-04-09,165.1999969482422
2019-03-08,165.89999389648438
2019-02-04,163.80999755859375
2018-07-27,161.25
2018-08-28,166.0500030517578
2019-01-03,166.52000427246094
2019-08-15,165.9199981689453
2018-10-31,166.9199981689453
2019-09-16,172.9600067138672
2020-02-18,174.61000061035156
2020-05-07,177.30999755859375
2018-08-17,177.22999572753906
2019-12-04,177.02999877929688
2020-02-21,178.35000610351562
2018-12-17,187.47999572753906
2019-08-30,181.39999389648438
2018-11-15,178.63999938964844
2019-07-29,176.00999450683594
2019-06-27,175.52999877929688
2019-04-24,174.25
2018-07-10,176.5399932861328
2018-09-12,168.9499969482422
2019-02-19,164.97000122070312
2019-01-18,167.11000061035156
2020-02-24,166.8699951171875
