Dates,CL=F
2018-06-20,122646.0
2018-06-21,801625.0
2018-06-25,760719.0
2018-06-22,1136232.0
2018-06-26,816207.0
2018-06-27,848537.0
2018-06-28,775155.0
2018-06-29,717347.0
2018-07-02,602399.0
2018-07-05,667235.0
2018-07-06,841632.0
2018-07-16,611419.0
2018-09-18,533003.0
2019-01-24,586829.0
2019-09-05,861726.0
2018-11-21,707887.0
2020-01-13,530277.0
2020-04-01,530480.0
2020-06-19,440727.0
2019-10-29,187313.0
2020-01-16,103220.0
2020-06-22,500967.0
2018-10-03,555915.0
2018-07-31,524591.0
2019-03-12,622913.0
2019-02-08,489059.0
2019-01-07,460450.0
2018-12-06,463011.0
2019-08-19,519070.0
2019-07-18,576561.0
2019-05-15,531071.0
2019-09-20,476615.0
2019-11-01,495605.0
2020-04-07,485027.0
2020-06-25,760313.0
2020-06-16,509401.0
2019-11-04,524490.0
2020-01-22,578219.0
2020-06-28,538484.0
2019-11-07,573473.0
2020-04-13,383380.0
2019-07-01,171403.0
2019-05-30,112709.0
2018-08-15,437164.0
2018-10-18,581899.0
2019-03-27,450690.0
2019-01-22,517796.0
2018-12-21,332612.0
2019-09-03,426833.0
2018-11-19,497095.0
2019-08-02,445584.0
2020-01-28,419739.0
2020-04-16,785981.0
2019-11-13,542104.0
2020-01-31,633824.0
2020-04-19,530895.0
2018-12-04,571174.0
2018-11-02,676869.0
2019-07-16,800543.0
2018-08-30,684937.0
2018-10-01,611075.0
2019-06-14,422294.0
2019-05-13,234202.0
2019-04-11,125208.0
2019-02-06,607520.0
2019-09-18,855943.0
2020-02-03,576894.0
2020-04-22,551280.0
2019-11-19,464463.0
2020-02-06,454549.0
2019-11-22,544047.0
2020-02-09,601451.0
2019-03-25,463615.0
2019-02-21,698817.0
2018-12-19,687949.0
2018-07-12,613218.0
2018-09-14,554938.0
2018-08-13,623537.0
2018-10-16,652737.0
2019-07-31,783962.0
2019-05-28,626668.0
2019-04-26,568610.0
2020-04-28,535003.0
2019-11-25,651584.0
2020-02-12,215337.0
2020-05-01,108311.0
2020-05-04,513770.0
2019-06-12,853265.0
2019-04-09,775963.0
2019-03-08,573096.0
2019-02-04,595211.0
2018-07-27,477487.0
2018-08-28,680441.0
2019-01-03,666487.0
2019-08-15,790286.0
2018-10-31,708906.0
2019-09-16,609129.0
2020-02-18,761240.0
2020-05-07,866628.0
