Dates,MPC
2018-06-20,74.5
2018-06-21,73.45999908447266
2018-06-25,74.02999877929688
2018-06-22,72.83000183105469
2018-06-26,70.06999969482422
2018-06-27,71.0199966430664
2018-06-28,69.47000122070312
2018-06-29,69.91000366210938
2018-07-02,69.69000244140625
2018-07-03,70.55000305175781
2018-07-05,71.41000366210938
2018-07-16,69.20999908447266
2018-09-18,70.44000244140625
2019-01-24,71.88999938964844
2019-09-05,70.95999908447266
2018-11-21,70.52999877929688
2020-01-13,70.87000274658203
2020-04-01,71.05000305175781
2020-06-19,71.37999725341797
2019-10-29,71.47000122070312
2020-01-16,72.88999938964844
2020-06-22,72.6500015258789
2018-10-03,73.05999755859375
2018-07-31,73.43000030517578
2019-03-12,73.86000061035156
2019-02-08,75.88999938964844
2019-01-07,80.62000274658203
2018-12-06,81.66000366210938
2019-08-19,81.62000274658203
2019-07-18,80.25
2019-05-15,80.27999877929688
2019-09-20,79.72000122070312
2019-11-01,79.4000015258789
2020-04-07,80.4000015258789
2020-06-25,80.73999786376953
2020-06-16,81.8499984741211
2019-11-04,80.33999633789062
2020-01-22,81.12999725341797
2019-11-07,80.70999908447266
2020-04-13,79.0199966430664
2019-07-01,77.52999877929688
2019-05-30,77.2699966430664
2018-08-15,77.37000274658203
2018-10-18,79.02999877929688
2019-03-27,79.0999984741211
2019-01-22,80.27999877929688
2018-12-21,82.12000274658203
2019-09-03,84.05000305175781
2018-11-19,83.70999908447266
2019-08-02,84.1500015258789
2020-01-28,83.94000244140625
2020-04-16,82.79000091552734
2019-11-13,82.75
2020-01-31,84.05999755859375
2018-12-04,83.77999877929688
2018-11-02,82.80000305175781
2019-07-16,82.69999694824219
2018-08-30,82.25
2018-10-01,83.62999725341797
2019-06-14,84.30000305175781
2019-05-13,84.04000091552734
2019-04-11,84.43000030517578
2019-02-06,84.23999786376953
2019-09-18,83.2699966430664
2020-02-03,81.0
2020-04-22,82.30000305175781
2019-11-19,83.94000244140625
2020-02-06,86.66999816894531
2019-11-22,84.70999908447266
2019-03-25,84.77999877929688
2019-02-21,82.44999694824219
2018-12-19,81.61000061035156
2018-07-12,82.9000015258789
2018-09-14,84.31999969482422
2018-08-13,86.05000305175781
2018-10-16,84.81999969482422
2019-07-31,84.0
2019-05-28,83.95999908447266
2019-04-26,84.83000183105469
2020-04-28,80.6500015258789
2019-11-25,80.1500015258789
2020-02-12,80.0
2020-05-01,79.0
2020-05-04,79.61000061035156
2019-06-12,78.44000244140625
2019-04-09,75.77999877929688
2019-03-08,74.0
2019-02-04,72.5
2018-07-27,71.87999725341797
2018-08-28,69.5199966430664
2019-01-03,69.05999755859375
2019-08-15,69.8499984741211
2018-10-31,67.44999694824219
2019-09-16,69.88999938964844
2020-02-18,69.80000305175781
2020-05-07,71.79000091552734
2018-08-17,70.51000213623047
2019-12-04,69.75
2020-02-21,68.9800033569336
2018-12-17,69.62000274658203
2019-08-30,67.16999816894531
2018-11-15,67.68000030517578
2019-07-29,65.5
2019-06-27,65.27999877929688
2019-04-24,63.59000015258789
2018-07-10,65.72000122070312
2018-09-12,65.08999633789062
2019-02-19,61.59000015258789
2019-01-18,62.2599983215332
2020-02-24,62.529998779296875
2020-05-13,62.810001373291016
2019-12-10,63.84000015258789
2020-02-27,63.599998474121094
2019-12-13,65.04000091552734
2020-05-19,64.77999877929688
2019-03-06,66.0
2018-11-30,64.75
2019-08-13,62.880001068115234
2019-07-12,64.12999725341797
2019-06-10,61.02000045776367
2019-05-09,61.45000076293945
2018-07-25,62.27000045776367
2018-09-27,62.20000076293945
2018-10-29,61.560001373291016
2019-10-16,59.5099983215332
2019-12-16,59.04999923706055
2020-03-04,59.189998626708984
2020-05-22,57.880001068115234
2019-10-01,57.209999084472656
2019-12-19,55.310001373291016
2018-09-10,54.630001068115234
2019-05-24,57.02000045776367
2018-08-09,59.459999084472656
2019-04-22,58.5099983215332
2019-03-21,58.16999816894531
2019-01-16,59.709999084472656
2019-08-28,59.91999816894531
2018-11-13,61.869998931884766
2018-10-12,62.61000061035156
2019-06-25,63.15999984741211
2020-03-10,64.1500015258789
2020-05-28,63.45000076293945
2019-10-07,64.29000091552734
2020-03-13,65.4800033569336
2019-10-10,64.0
2020-03-16,63.79999923706055
2020-06-03,66.31999969482422
2018-11-28,65.66999816894531
2018-09-25,65.0
2018-07-23,64.87000274658203
2018-08-24,63.68000030517578
2019-07-10,63.630001068115234
2019-05-07,63.56999969482422
2019-04-05,64.7699966430664
2019-03-04,66.12999725341797
2019-01-31,66.68000030517578
2019-09-12,65.4000015258789
2019-12-31,66.0
2020-03-19,66.9000015258789
2020-01-03,66.83999633789062
2020-06-09,63.38999938964844
2019-02-15,62.439998626708984
2019-01-14,62.310001373291016
2018-07-06,62.04999923706055
2018-08-07,63.349998474121094
2018-10-10,64.9000015258789
2018-12-13,64.5
2019-08-26,64.98999786376953
2019-07-25,65.01000213623047
2019-05-22,65.27999877929688
2019-03-19,64.97000122070312
2020-01-06,64.77999877929688
