Dates,QCOM
2018-09-21,17930000.0
2018-07-19,17582400.0
2018-08-20,28211500.0
2018-10-23,40342000.0
2019-05-03,21068400.0
2019-04-01,15682100.0
2019-02-28,21579500.0
2019-11-12,15500700.0
2020-01-30,14516000.0
2019-11-15,15955600.0
2020-04-21,16689000.0
2019-04-16,14353700.0
2019-03-15,11784800.0
2019-02-11,22498800.0
2019-01-10,19523400.0
2019-08-22,32679300.0
2018-11-07,17282200.0
2018-08-03,66150700.0
2018-09-04,31820700.0
2019-06-19,21420000.0
2019-09-23,22667300.0
2019-11-18,16312600.0
2020-02-05,11554600.0
2020-04-24,15060300.0
2019-03-29,13620700.0
2019-11-21,15866700.0
2020-04-27,11779200.0
2020-02-11,10781700.0
2020-04-30,10495600.0
2019-05-01,15229200.0
2019-02-26,11839500.0
2019-01-25,9385900.0
2018-12-24,6790500.0
2019-09-06,12119500.0
2018-07-17,9411100.0
2018-09-19,14508000.0
2019-08-05,11999300.0
2019-10-08,9871800.0
2019-12-11,15244500.0
2019-11-27,8893000.0
2020-02-14,8953400.0
2020-05-06,13808000.0
2019-01-08,11151900.0
2018-12-07,29217500.0
2019-08-20,17705700.0
2018-11-05,7075600.0
2019-07-19,5290400.0
2018-10-04,9220800.0
2019-06-17,7924900.0
2019-05-16,7506500.0
2018-08-01,15075700.0
2019-03-13,14298400.0
2019-12-03,8028100.0
2020-02-20,8898200.0
2019-12-06,9909600.0
2020-05-12,20602300.0
2019-12-09,12585100.0
2020-02-26,14477400.0
2020-05-15,9645800.0
2019-03-28,14420400.0
2018-09-17,14012700.0
2018-08-16,7299500.0
2018-10-19,8262500.0
2019-04-29,8237500.0
2019-01-23,7397900.0
2019-09-04,14052800.0
2018-11-20,29729800.0
2019-07-02,12649400.0
2019-05-31,13071800.0
2019-12-12,13189900.0
2020-05-18,8934900.0
2019-09-27,8367900.0
2020-03-03,8702200.0
2020-05-21,7364300.0
2019-05-14,10134800.0
2018-08-31,10336900.0
2018-07-30,9107000.0
2018-10-02,10090600.0
2019-04-12,9688400.0
2019-03-11,9387300.0
2019-02-07,11004100.0
2019-07-17,7198800.0
2019-09-19,16479400.0
2019-10-21,11153800.0
2019-12-18,7303100.0
2020-03-06,5678500.0
2019-10-03,7348400.0
2020-03-09,8465300.0
2020-05-27,7580700.0
2019-12-24,4923700.0
2020-03-12,13480300.0
2018-12-20,5128000.0
2019-08-01,6885100.0
2018-08-14,9373900.0
2018-07-13,6575700.0
2018-10-17,5847100.0
2019-05-29,5343700.0
2019-03-26,3756500.0
2019-02-22,4400800.0
2019-10-04,5147500.0
2019-11-05,5180900.0
2019-12-27,9122000.0
2020-06-02,5815700.0
2019-12-30,10177800.0
2020-03-18,5571600.0
2020-06-05,3760300.0
2019-07-15,5013200.0
2018-12-03,4775800.0
2019-06-13,7043700.0
2019-01-04,5997500.0
2018-08-29,5419400.0
2019-02-05,4893600.0
2018-11-01,4215500.0
2019-08-16,8489600.0
2019-04-10,5137500.0
2019-09-17,5580600.0
2019-10-15,7280800.0
2020-01-02,4545300.0
2020-06-08,5222500.0
2019-10-18,6218000.0
2020-03-24,5916700.0
2020-06-11,6107000.0
2020-01-08,5119800.0
2019-04-25,4944500.0
2019-07-30,5785700.0
2019-02-20,5271200.0
2018-07-11,6712300.0
2018-09-13,9949800.0
2018-10-15,4993600.0
2019-06-28,3971000.0
2018-12-18,5693700.0
2018-11-16,8620300.0
2019-10-02,8389200.0
2020-03-27,7280000.0
2020-01-10,9755300.0
2019-10-24,30254000.0
2020-03-30,16371300.0
2020-06-17,11297700.0
2020-01-14,9332100.0
2020-04-02,9353200.0
2019-01-02,8793600.0
2019-08-14,25490200.0
2018-10-30,10360500.0
2019-06-11,18091300.0
2019-05-10,13045100.0
2019-04-08,10180400.0
2018-08-27,6166700.0
2018-07-26,8964100.0
2018-09-28,11584500.0
2019-03-07,5215000.0
2019-10-30,3882400.0
2020-01-17,7668800.0
2020-06-23,11126100.0
2020-04-08,8477400.0
2020-06-26,6358300.0
2019-03-22,6860400.0
2019-01-17,8382900.0
2019-08-29,8082200.0
2018-11-14,9571500.0
2019-06-26,12164600.0
2018-09-11,12269100.0
2018-07-09,8719100.0
2018-08-10,7485900.0
2019-04-23,5860600.0
2019-09-30,7471400.0
2020-01-23,17538000.0
2019-11-08,7274700.0
2020-04-14,2435200.0
2019-11-11,5070000.0
2020-01-29,5808900.0
2020-04-17,6543100.0
2018-07-24,5173400.0
2018-09-26,8413900.0
2019-05-08,8340300.0
2019-03-05,8381400.0
2019-02-01,8377400.0
2018-12-31,7619900.0
2018-11-29,9155500.0
2019-08-12,9668300.0
2019-07-11,10367800.0
2019-09-13,7800100.0
2019-11-14,7259100.0
2020-04-20,9295500.0
2020-02-04,23694400.0
2020-04-23,10868500.0
2018-12-14,8342300.0
2019-08-27,11282000.0
2018-08-08,9471700.0
2018-10-11,9240200.0
2018-11-12,9187000.0
2019-07-26,8158500.0
2019-06-24,8379400.0
2019-05-23,9503600.0
2019-03-20,7794600.0
2019-01-15,9236400.0
2019-11-20,14220900.0
2020-02-07,21059000.0
2020-02-10,10725100.0
2020-04-29,7481300.0
2019-11-26,9452800.0
2020-02-13,9824200.0
2019-01-30,8428300.0
2018-08-23,6256500.0
2018-09-24,7248100.0
2018-11-27,7820900.0
2018-10-26,9754900.0
2019-07-09,12257600.0
2019-06-07,12158500.0
2019-05-06,14725000.0
2019-04-04,13125000.0
2019-09-11,17875600.0
2019-11-29,20905500.0
2020-05-05,15043400.0
2019-12-02,16356200.0
2020-02-19,9894900.0
2020-05-08,9396200.0
2019-05-21,11536500.0
2019-03-18,13898500.0
2018-09-07,13615600.0
2018-08-06,13376500.0
2018-10-09,19386200.0
2019-02-14,15971400.0
2018-12-12,16134700.0
2019-07-24,16864500.0
2019-09-26,18381200.0
2019-10-28,17127400.0
2019-12-05,16591500.0
2020-05-11,14920300.0
2019-07-03,18966800.0
2020-02-25,15969800.0
2020-05-14,15820300.0
2020-02-28,9739100.0
2019-08-08,9880800.0
2019-06-05,13213900.0
2018-07-20,14167900.0
2018-08-21,15432900.0
2018-10-24,8600700.0
2019-04-02,12153100.0
2019-03-01,11285600.0
2019-01-28,10695600.0
2018-12-27,15465100.0
2019-09-09,7896500.0
2020-03-02,11314100.0
2020-05-20,9951700.0
2019-12-17,8819700.0
2020-03-05,9926000.0
2019-02-12,7217700.0
2019-01-11,9273800.0
2018-12-10,7367900.0
2019-08-23,7673800.0
2018-11-08,6073800.0
2019-07-22,7219500.0
2019-06-20,6250500.0
2018-09-05,11950200.0
2019-04-17,17103300.0
2019-09-24,9742100.0
2019-12-20,7202400.0
2020-05-26,7540800.0
2019-04-30,8179700.0
2019-12-23,7291800.0
2020-03-11,7892200.0
2020-05-29,6604600.0
2019-12-26,7318100.0
2020-06-01,9584800.0
2019-05-02,9956800.0
2019-02-27,29597800.0
2018-11-23,13196100.0
2019-08-06,8118400.0
2018-07-18,11379200.0
2018-09-20,8141500.0
2018-10-22,5530400.0
2019-07-05,10067300.0
2019-06-03,9125900.0
2019-10-09,11161700.0
2019-10-11,10562500.0
2020-03-17,6474800.0
2020-06-04,13255300.0
2019-10-14,13029300.0
2020-03-20,12109000.0
2018-11-06,11882100.0
2019-06-18,9748300.0
2019-05-17,7327700.0
2019-04-15,9079700.0
2019-03-14,15241700.0
2019-01-09,10107500.0
2018-08-02,9852600.0
2018-10-05,12639800.0
2019-08-21,7618000.0
2019-10-17,5709500.0
2020-03-23,23213800.0
2020-06-10,8028000.0
2019-02-25,7778700.0
2020-01-07,8208800.0
2020-03-26,7062600.0
2019-10-23,9126500.0
