Dates,SI=F
2018-06-20,16.288999557495117
2018-06-21,16.305999755859375
2018-06-25,16.43899917602539
2018-06-22,16.308000564575195
2018-06-26,16.238000869750977
2018-06-27,16.138999938964844
2018-06-28,15.951000213623047
2018-06-29,16.104000091552734
2018-07-02,15.744000434875488
2018-07-05,16.007999420166016
2018-07-06,15.980999946594238
2018-07-16,16.05299949645996
2018-09-18,16.003000259399414
2019-01-24,15.732000350952148
2019-09-05,15.89799976348877
2018-11-21,15.73900032043457
2020-01-13,15.734999656677246
2020-04-01,15.545999526977539
2020-06-19,15.503000259399414
2019-10-29,15.34000015258789
2020-01-16,15.489999771118164
2020-06-22,15.368000030517578
2018-10-03,15.463000297546387
2018-07-31,15.532999992370605
2019-03-12,15.437999725341797
2019-02-08,15.435999870300293
2019-01-07,15.475000381469727
2018-12-06,15.5
2019-08-19,15.394000053405762
2019-07-18,15.329000473022461
2019-05-15,15.406000137329102
2019-09-20,15.291999816894531
2019-11-01,15.317000389099121
2020-01-19,15.37600040435791
2020-04-07,15.418999671936035
2020-06-25,15.265999794006348
2020-06-16,14.95300006866455
2019-11-04,15.024999618530273
2020-01-22,14.420999526977539
2020-06-28,14.696999549865723
2019-11-07,14.616000175476074
2020-04-13,14.654999732971191
2019-07-01,14.75100040435791
2019-05-30,14.734999656677246
2018-08-15,14.527000427246094
2018-10-18,14.779000282287598
2019-03-27,14.843999862670898
2019-01-22,14.767000198364258
2018-12-21,14.687999725341797
2019-09-03,14.47700023651123
2018-11-19,14.437999725341797
2019-08-02,14.060999870300293
2020-01-28,14.118000030517578
2020-04-16,14.074999809265137
2019-11-13,14.067000389099121
2020-01-31,14.079000473022461
2020-04-19,14.052000045776367
2018-12-04,14.192000389099121
2018-11-02,14.142999649047852
2019-07-16,14.041999816894531
2018-08-30,14.121999740600586
2018-10-01,14.083999633789062
2019-06-14,14.189000129699707
2019-05-13,14.21500015258789
2019-04-11,14.269000053405762
2019-02-06,14.25100040435791
2019-09-18,14.39799976348877
2020-02-03,14.305000305175781
2020-04-22,14.201000213623047
2019-11-19,14.623000144958496
2020-02-06,14.42199993133545
2019-11-22,14.609999656677246
2020-02-09,14.59000015258789
