Dates,SI=F
2018-06-20,115.0
2018-06-21,0.0
2018-06-25,0.0
2018-06-22,6.0
2018-06-26,2.0
2018-06-27,4.0
2018-06-28,96137.0
2018-06-29,28819.0
2018-07-02,2765.0
2018-07-05,332.0
2018-07-06,207.0
2018-07-16,163.0
2018-09-18,39.0
2019-01-24,43.0
2019-09-05,53.0
2018-11-21,39.0
2020-01-13,63.0
2020-04-01,7.0
2020-06-19,365.0
2019-10-29,29.0
2020-01-16,46.0
2020-06-22,279.0
2018-10-03,15.0
2018-07-31,65.0
2019-03-12,48.0
2019-02-08,104.0
2019-01-07,227.0
2018-12-06,322.0
2019-08-19,352.0
2019-07-18,19.0
2019-05-15,183.0
2019-09-20,7.0
2019-11-01,1.0
2020-01-19,0.0
2020-04-07,4.0
2020-06-25,141.0
2020-06-16,20.0
2019-11-04,5.0
2020-01-22,2.0
2020-06-28,186.0
2019-11-07,138.0
2020-04-13,19.0
2019-07-01,16.0
2019-05-30,0.0
2018-08-15,1.0
2018-10-18,3.0
2019-03-27,41.0
2019-01-22,0.0
2018-12-21,1.0
2019-09-03,68753.0
2018-11-19,15963.0
2019-08-02,608.0
2020-01-28,750.0
2020-04-16,240.0
2019-11-13,191.0
2020-01-31,132.0
2020-04-19,65.0
2018-12-04,99.0
2018-11-02,64.0
2019-07-16,80.0
2018-08-30,55.0
2018-10-01,32.0
2019-06-14,925.0
2019-05-13,462.0
2019-04-11,507.0
2019-02-06,9.0
2019-09-18,27.0
2020-02-03,17.0
2020-04-22,393.0
2019-11-19,138.0
2020-02-06,49.0
2019-11-22,83.0
2020-02-09,63.0
2019-03-25,24.0
2019-02-21,0.0
2018-12-19,0.0
2018-07-12,2.0
2018-09-14,0.0
2018-08-13,1.0
2018-10-16,9.0
2019-07-31,40.0
2019-05-28,1.0
2019-04-26,74.0
2020-04-28,0.0
2019-11-25,0.0
2020-02-12,0.0
2020-05-01,110.0
2020-05-04,2.0
2019-06-12,33.0
2019-04-09,0.0
2019-03-08,0.0
2019-02-04,101.0
2018-07-27,428.0
2018-08-28,14.0
2019-01-03,11.0
2019-08-15,3.0
2018-10-31,29.0
2019-09-16,4.0
2020-02-18,6.0
2020-05-07,29.0
2018-08-17,10.0
2019-12-04,2.0
2020-02-21,9.0
2020-05-10,0.0
2018-12-17,3.0
2019-08-30,0.0
2018-11-15,1.0
2019-07-29,76.0
2019-06-27,3.0
2019-04-24,0.0
2018-07-10,0.0
2018-09-12,84402.0
2019-02-19,23378.0
2019-01-18,1093.0
2020-02-24,342.0
2020-05-13,81.0
2019-12-10,48.0
2020-02-27,88.0
2019-12-13,42.0
2020-03-01,221.0
2020-05-19,162.0
2019-03-06,47.0
2018-11-30,19.0
2019-08-13,81.0
2019-07-12,28.0
2019-06-10,35.0
2019-05-09,116.0
2018-07-25,0.0
2018-09-27,85.0
2018-10-29,757.0
2019-10-16,233.0
2019-12-16,17.0
2020-03-04,91.0
2020-05-22,7.0
2019-10-01,12.0
2019-12-19,34.0
2018-09-10,27.0
