Dates,SI=F
2018-06-20,16.288999557495117
2018-06-21,16.305999755859375
2018-06-25,16.295000076293945
2018-06-22,16.295000076293945
2018-06-26,16.238000869750977
2018-06-27,16.138999938964844
2018-06-28,15.880000114440918
2018-06-29,15.90999984741211
2018-07-02,15.729999542236328
2018-07-05,15.895000457763672
2018-07-06,15.930000305175781
2018-07-16,16.05299949645996
2018-09-18,16.003000259399414
2019-01-24,15.732000350952148
2019-09-05,15.869999885559082
2018-11-21,15.710000038146973
2020-01-13,15.725000381469727
2020-04-01,15.505000114440918
2020-06-19,15.354999542236328
2019-10-29,15.135000228881836
2020-01-16,15.399999618530273
2020-06-22,15.354999542236328
2018-10-03,15.345000267028809
2018-07-31,15.4350004196167
2019-03-12,15.375
2019-02-08,15.354999542236328
2019-01-07,15.40999984741211
2018-12-06,15.5
2019-08-19,15.394000053405762
2019-07-18,15.260000228881836
2019-05-15,15.406000137329102
2019-09-20,15.291999816894531
2019-11-01,15.317000389099121
2020-01-19,15.37600040435791
2020-04-07,15.418999671936035
2020-06-25,15.265999794006348
2020-06-16,14.95300006866455
2019-11-04,15.024999618530273
2020-01-22,14.395000457763672
2020-06-28,14.635000228881836
2019-11-07,14.595000267028809
2020-04-13,14.630000114440918
2019-07-01,14.75100040435791
2019-05-30,14.699999809265137
2018-08-15,14.484999656677246
2018-10-18,14.470000267028809
2019-03-27,14.843999862670898
2019-01-22,14.767000198364258
2018-12-21,14.687999725341797
2019-09-03,14.430000305175781
2018-11-19,14.425000190734863
2019-08-02,13.960000038146973
2020-01-28,14.050000190734863
2020-04-16,14.050000190734863
2019-11-13,14.039999961853027
2020-01-31,14.039999961853027
2020-04-19,13.90999984741211
2018-12-04,14.005000114440918
2018-11-02,14.135000228881836
2019-07-16,14.029999732971191
2018-08-30,13.979999542236328
2018-10-01,14.0600004196167
2019-06-14,14.189000129699707
2019-05-13,14.1899995803833
2019-04-11,14.260000228881836
2019-02-06,14.204999923706055
2019-09-18,14.39799976348877
2020-02-03,14.305000305175781
2020-04-22,14.119999885559082
2019-11-19,14.180000305175781
2020-02-06,14.350000381469727
2019-11-22,14.420000076293945
2020-02-09,14.59000015258789
2019-03-25,14.510000228881836
2019-02-21,14.569000244140625
2018-12-19,14.21500015258789
2018-07-12,14.329000473022461
2018-09-14,14.255000114440918
2018-08-13,14.229999542236328
2018-10-16,14.564000129699707
2019-07-31,14.656000137329102
2019-05-28,14.630000114440918
2019-04-26,14.592000007629395
2020-04-28,14.532999992370605
2019-11-25,14.579000473022461
2020-02-12,14.522000312805176
2020-05-01,14.727999687194824
2020-05-04,14.611000061035156
2019-06-12,14.5649995803833
2019-04-09,14.635000228881836
2019-03-08,14.376999855041504
2019-02-04,14.34000015258789
2018-07-27,14.229000091552734
2018-08-28,14.729000091552734
2019-01-03,14.706999778747559
2019-08-15,14.604000091552734
2018-10-31,14.458000183105469
2019-09-16,14.527999877929688
2020-02-18,14.38599967956543
2020-05-07,14.102999687194824
2018-08-17,13.973999977111816
2019-12-04,13.944999694824219
2020-02-21,14.055000305175781
2020-05-10,14.237000465393066
2018-12-17,14.357999801635742
2019-08-30,14.380999565124512
2018-11-15,14.246999740600586
2019-07-29,14.329999923706055
2019-06-27,14.182999610900879
2019-04-24,14.062000274658203
2018-07-10,14.303000450134277
2018-09-12,14.204999923706055
2019-02-19,13.984999656677246
2019-01-18,14.1850004196167
2020-02-24,14.385000228881836
2020-05-13,14.329999923706055
2019-12-10,14.404999732971191
2020-02-27,14.477999687194824
2019-12-13,14.49899959564209
2020-03-01,14.619999885559082
2020-05-19,14.725000381469727
2019-03-06,14.489999771118164
2018-11-30,14.5600004196167
2019-08-13,14.585000038146973
2019-07-12,14.70199966430664
2019-06-10,14.529999732971191
2019-05-09,14.583000183105469
2018-07-25,14.979999542236328
2018-09-27,15.190999984741211
2018-10-29,15.1899995803833
2019-10-16,15.40999984741211
2019-12-16,15.420000076293945
2020-03-04,15.706000328063965
2020-05-22,15.619999885559082
2019-10-01,15.668999671936035
2019-12-19,15.62600040435791
2018-09-10,15.652999877929688
2019-05-24,15.560999870300293
2018-08-09,15.57699966430664
2019-04-22,15.59000015258789
2019-03-21,15.545999526977539
2019-01-16,15.53499984741211
2019-08-28,15.467000007629395
2018-11-13,15.289999961853027
2018-10-12,15.140000343322754
2019-06-25,15.279999732971191
2020-03-10,15.23799991607666
2020-05-28,15.25
2019-10-07,15.595000267028809
2020-03-13,15.78600025177002
2020-05-31,15.805000305175781
2019-10-10,16.0
2020-03-16,15.859999656677246
2020-06-03,15.836999893188477
2018-11-28,15.789999961853027
2018-09-25,15.656000137329102
2018-07-23,15.65999984741211
2018-08-24,15.77299976348877
2019-07-10,15.649999618530273
2019-05-07,15.65999984741211
2019-04-05,15.604999542236328
2019-03-04,15.5
2019-01-31,15.722999572753906
2019-09-12,15.946999549865723
2019-12-31,16.059999465942383
2020-03-19,15.791000366210938
2020-01-03,15.907999992370605
2020-03-22,15.824999809265137
2020-06-09,15.82699966430664
2019-02-15,15.645000457763672
2019-01-14,15.520000457763672
2018-08-07,15.079999923706055
2018-10-10,15.005000114440918
2018-12-13,15.005000114440918
2019-08-26,14.975000381469727
2019-07-25,14.920000076293945
2019-05-22,15.045000076293945
2019-03-19,15.196999549865723
2019-09-27,15.338000297546387
2020-01-06,15.369999885559082
2020-03-25,15.09000015258789
2020-06-12,15.220000267028809
2019-10-22,15.25100040435791
2020-01-09,15.300000190734863
2020-06-15,15.220000267028809
2019-10-25,15.371999740600586
2020-03-31,15.345000267028809
