Dates,HBAN
2018-06-20,6080300.0
2018-06-21,11579500.0
2018-06-25,10115400.0
2018-06-22,7399600.0
2018-06-26,6192900.0
2018-06-27,7933700.0
2018-06-28,8872000.0
2018-06-29,17854600.0
2018-07-02,10078000.0
2018-07-03,4920700.0
2018-07-05,6477600.0
2018-07-16,5792900.0
2018-09-18,8028400.0
2019-01-24,8542900.0
2019-09-05,8612600.0
2018-11-21,7513500.0
2020-01-13,9413400.0
2020-04-01,6779600.0
2020-06-19,5890200.0
2019-10-29,8219900.0
2020-01-16,11357900.0
2020-06-22,10098000.0
2018-10-03,9975500.0
2018-07-31,9887700.0
2019-03-12,12155500.0
2019-02-08,11046600.0
2019-01-07,8294400.0
2018-12-06,8038500.0
2019-08-19,7668400.0
2019-07-18,8153500.0
2019-05-15,7707200.0
2019-09-20,7706200.0
2019-11-01,6802900.0
2020-04-07,7747800.0
2020-06-25,9731700.0
2020-06-16,8002300.0
2019-11-04,8476100.0
2020-01-22,7755400.0
2019-11-07,10087500.0
2020-04-13,9723600.0
2019-07-01,9380200.0
2019-05-30,6581800.0
2018-08-15,5712000.0
2018-10-18,7570000.0
2019-03-27,6035800.0
2019-01-22,9927900.0
2018-12-21,9928400.0
2019-09-03,4708800.0
2018-11-19,8260800.0
2019-08-02,7239900.0
2020-01-28,11956800.0
2020-04-16,7635400.0
2019-11-13,9519900.0
2020-01-31,8820800.0
2018-12-04,10321400.0
2018-11-02,9637900.0
2019-07-16,8170300.0
2018-08-30,6741200.0
2018-10-01,12361900.0
2019-06-14,14794200.0
2019-05-13,15644000.0
2019-04-11,14861900.0
2019-02-06,10617600.0
2019-09-18,10230300.0
2020-02-03,9069900.0
2020-04-22,11435900.0
2019-11-19,8140700.0
2020-02-06,7614800.0
2019-11-22,8455900.0
2019-03-25,23660700.0
2019-02-21,14197700.0
2018-12-19,14785100.0
2018-07-12,11464500.0
2018-09-14,16285200.0
2018-08-13,17688900.0
2018-10-16,13938700.0
2019-07-31,8761000.0
2019-05-28,9983400.0
2019-04-26,15092800.0
2020-04-28,18650200.0
2019-11-25,16977000.0
2020-02-12,10685100.0
2020-05-01,11199600.0
2020-05-04,7782000.0
2019-06-12,13882100.0
2019-04-09,12320200.0
2019-03-08,18800200.0
2019-02-04,19862600.0
2018-07-27,12298400.0
2018-08-28,17823300.0
2019-01-03,20689400.0
2019-08-15,12044800.0
2018-10-31,19465500.0
2019-09-16,12341000.0
2020-02-18,10615700.0
