Dates,HBAN
2018-06-20,15.449999809265137
2018-06-21,15.609999656677246
2018-06-25,15.350000381469727
2018-06-22,15.199999809265137
2018-06-26,15.050000190734863
2018-06-27,14.880000114440918
2018-06-28,14.890000343322754
2018-06-29,14.760000228881836
2018-07-02,14.829999923706055
2018-07-03,14.720000267028809
2018-07-05,14.75
2018-07-16,14.869999885559082
2018-09-18,15.210000038146973
2019-01-24,14.979999542236328
2019-09-05,14.829999923706055
2018-11-21,14.75
2020-01-13,14.649999618530273
2020-04-01,14.899999618530273
2020-06-19,14.920000076293945
2019-10-29,15.050000190734863
2020-01-16,15.0
2020-06-22,15.100000381469727
2018-10-03,15.369999885559082
2018-07-31,15.289999961853027
2019-03-12,15.100000381469727
2019-02-08,15.3100004196167
2019-01-07,15.510000228881836
2018-12-06,15.489999771118164
2019-08-19,15.4399995803833
2019-07-18,15.489999771118164
2019-05-15,15.720000267028809
2019-09-20,15.729999542236328
2019-11-01,15.789999961853027
2020-04-07,15.869999885559082
2020-06-25,16.079999923706055
2020-06-16,15.930000305175781
2019-11-04,15.84000015258789
2020-01-22,15.710000038146973
2019-11-07,15.930000305175781
2020-04-13,15.90999984741211
2019-07-01,16.0
2019-05-30,16.100000381469727
2018-08-15,16.110000610351562
2018-10-18,16.209999084472656
2019-03-27,16.209999084472656
2019-01-22,16.18000030517578
2018-12-21,16.209999084472656
2019-09-03,16.270000457763672
2018-11-19,16.270000457763672
2019-08-02,16.309999465942383
2020-01-28,16.260000228881836
2020-04-16,16.209999084472656
2019-11-13,16.399999618530273
2020-01-31,16.399999618530273
2018-12-04,16.34000015258789
2018-11-02,16.25
2019-07-16,16.139999389648438
2018-08-30,16.25
2018-10-01,15.869999885559082
2019-06-14,15.770000457763672
2019-05-13,15.65999984741211
2019-04-11,15.649999618530273
2019-02-06,15.489999771118164
2019-09-18,15.720000267028809
2020-02-03,15.979999542236328
2020-04-22,15.949999809265137
2019-11-19,15.770000457763672
2020-02-06,15.670000076293945
2019-11-22,15.319999694824219
2019-03-25,15.069999694824219
2019-02-21,14.920000076293945
2018-12-19,14.930000305175781
2018-07-12,14.859999656677246
2018-09-14,15.270000457763672
2018-08-13,15.40999984741211
2018-10-16,15.350000381469727
2019-07-31,15.5600004196167
2019-05-28,15.4399995803833
2019-04-26,15.149999618530273
2020-04-28,14.699999809265137
2019-11-25,14.369999885559082
2020-02-12,14.229999542236328
2020-05-01,14.279999732971191
2020-05-04,14.390000343322754
2019-06-12,14.210000038146973
2019-04-09,14.199999809265137
2019-03-08,13.65999984741211
2019-02-04,13.829999923706055
2018-07-27,13.15999984741211
2018-08-28,13.59000015258789
2019-01-03,13.609999656677246
2019-08-15,13.880000114440918
2018-10-31,14.079999923706055
2019-09-16,14.329999923706055
2020-02-18,14.380000114440918
2020-05-07,14.289999961853027
2018-08-17,14.369999885559082
2019-12-04,14.59000015258789
2020-02-21,14.65999984741211
2018-12-17,14.729999542236328
2019-08-30,14.670000076293945
2018-11-15,14.569999694824219
2019-07-29,14.630000114440918
2019-06-27,14.460000038146973
2019-04-24,14.779999732971191
2018-07-10,14.789999961853027
2018-09-12,14.84000015258789
2019-02-19,14.569999694824219
2019-01-18,14.420000076293945
2020-02-24,14.470000267028809
2020-05-13,14.75
2019-12-10,14.630000114440918
2020-02-27,14.680000305175781
2019-12-13,14.5
2020-05-19,14.59000015258789
2019-03-06,14.479999542236328
2018-11-30,13.680000305175781
2019-08-13,13.630000114440918
2019-07-12,13.420000076293945
2019-06-10,13.020000457763672
2019-05-09,12.760000228881836
2018-07-25,12.720000267028809
2018-09-27,12.40999984741211
2018-10-29,12.170000076293945
2019-10-16,11.899999618530273
2019-12-16,11.760000228881836
2020-03-04,11.5
2020-05-22,11.59000015258789
2019-10-01,11.59000015258789
2019-12-19,11.289999961853027
2018-09-10,11.789999961853027
2019-05-24,11.8100004196167
2018-08-09,11.890000343322754
2019-04-22,11.920000076293945
2019-03-21,12.140000343322754
2019-01-16,12.039999961853027
2019-08-28,12.380000114440918
2018-11-13,12.430000305175781
2018-10-12,12.550000190734863
2019-06-25,12.649999618530273
2020-03-10,12.5600004196167
2020-05-28,12.630000114440918
2019-10-07,12.829999923706055
2020-03-13,12.880000114440918
2019-10-10,13.270000457763672
2020-03-16,13.359999656677246
2020-06-03,13.59000015258789
2018-11-28,13.520000457763672
2018-09-25,13.5600004196167
2018-07-23,13.449999809265137
2018-08-24,13.550000190734863
2019-07-10,13.569999694824219
2019-05-07,13.5600004196167
2019-04-05,13.489999771118164
2019-03-04,13.239999771118164
2019-01-31,13.319999694824219
2019-09-12,13.40999984741211
2019-12-31,13.300000190734863
2020-03-19,13.380000114440918
2020-01-03,13.960000038146973
2020-06-09,13.619999885559082
2019-02-15,13.729999542236328
2019-01-14,13.859999656677246
2018-07-06,13.890000343322754
2018-08-07,13.6899995803833
2018-10-10,14.010000228881836
2018-12-13,14.119999885559082
2019-08-26,14.270000457763672
2019-07-25,14.199999809265137
2019-05-22,14.329999923706055
2019-03-19,14.399999618530273
2020-01-06,14.300000190734863
2020-03-25,14.369999885559082
2020-06-12,14.40999984741211
2019-10-22,14.399999618530273
2020-01-09,14.369999885559082
2020-06-15,14.270000457763672
2019-10-25,14.029999732971191
2020-03-31,13.6899995803833
2020-06-18,13.760000228881836
2019-04-03,13.699999809265137
2018-08-22,13.720000267028809
2018-10-25,13.920000076293945
2019-01-29,14.069999694824219
2018-12-28,13.75
2018-11-26,13.920000076293945
2019-08-09,13.579999923706055
2019-07-08,12.960000038146973
2019-06-06,12.619999885559082
2019-09-10,12.25
2020-01-15,12.319999694824219
2020-04-03,12.569999694824219
2019-10-31,12.609999656677246
2020-04-06,12.770000457763672
2020-06-24,12.680000305175781
2018-11-09,13.140000343322754
2019-07-23,13.180000305175781
2019-06-21,13.210000038146973
2019-05-20,13.319999694824219
2019-04-18,13.3100004196167
2018-09-06,13.399999618530273
2018-10-08,13.170000076293945
2019-02-13,13.300000190734863
2018-12-11,13.350000381469727
2019-09-25,13.6899995803833
2020-01-21,13.460000038146973
2020-04-09,13.65999984741211
2019-11-06,13.829999923706055
2020-01-24,13.609999656677246
2020-01-27,13.640000343322754
2020-04-15,13.789999961853027
2018-12-26,13.739999771118164
2019-08-07,13.680000305175781
2019-06-04,13.739999771118164
2018-09-21,13.930000305175781
2018-07-19,13.920000076293945
2018-08-20,13.770000457763672
2018-10-23,13.9399995803833
2019-05-03,14.09000015258789
2019-04-01,13.960000038146973
2019-02-28,13.649999618530273
2019-11-12,13.539999961853027
2020-01-30,13.579999923706055
2019-11-15,13.65999984741211
2020-04-21,13.0600004196167
