Dates,LEN
2018-06-20,2646300.0
2018-06-21,2089100.0
2018-06-25,6717300.0
2018-06-22,6268700.0
2018-06-26,15700800.0
2018-06-27,5202200.0
2018-06-28,3493400.0
2018-06-29,4336100.0
2018-07-02,2798600.0
2018-07-03,1062500.0
2018-07-05,2553700.0
2018-07-16,2982500.0
2018-09-18,3830600.0
2019-01-24,4509900.0
2019-09-05,3393400.0
2018-11-21,3156300.0
2020-01-13,1374300.0
2020-04-01,2705700.0
2020-06-19,3670400.0
2019-10-29,2845400.0
2020-01-16,3054800.0
2020-06-22,3604900.0
2018-10-03,3298100.0
2018-07-31,4230200.0
2019-03-12,4684000.0
2019-02-08,4648200.0
2019-01-07,5910500.0
2018-12-06,3535800.0
2019-08-19,2725100.0
2019-07-18,2954400.0
2019-05-15,4854100.0
2019-09-20,2589800.0
2019-11-01,2038000.0
2020-04-07,1989200.0
2020-06-25,2518400.0
2020-06-16,2096800.0
2019-11-04,2841000.0
2020-01-22,4111600.0
2019-11-07,3508200.0
2020-04-13,3576900.0
2019-07-01,2409100.0
2019-05-30,2387200.0
2018-08-15,2091700.0
2018-10-18,4316800.0
2019-03-27,1503600.0
2019-01-22,1780300.0
2018-12-21,1395200.0
2019-09-03,1632500.0
2018-11-19,2495500.0
2019-08-02,2285500.0
2020-01-28,1569700.0
2020-04-16,1480800.0
2019-11-13,1643500.0
2020-01-31,2357300.0
2018-12-04,2074700.0
2018-11-02,2957800.0
2019-07-16,3512500.0
2018-08-30,4194300.0
2018-10-01,4670300.0
2019-06-14,3833700.0
2019-05-13,2696200.0
2019-04-11,3215000.0
2019-02-06,4580100.0
2019-09-18,2587500.0
2020-02-03,4529800.0
2020-04-22,7790100.0
2019-11-19,3125200.0
2020-02-06,3595900.0
2019-11-22,4420600.0
2019-03-25,5048900.0
2019-02-21,5220800.0
2018-12-19,5014400.0
2018-07-12,8668400.0
2018-09-14,11511500.0
2018-08-13,7254800.0
2018-10-16,8970700.0
2019-07-31,4320500.0
2019-05-28,4575900.0
2019-04-26,4432100.0
2020-04-28,5462100.0
2019-11-25,5791400.0
2020-02-12,3332300.0
2020-05-01,4752000.0
2020-05-04,5362500.0
2019-06-12,3375400.0
2019-04-09,4890500.0
2019-03-08,5022600.0
2019-02-04,9307100.0
2018-07-27,6499700.0
2018-08-28,7605200.0
2019-01-03,11803900.0
2019-08-15,5597900.0
2018-10-31,10655800.0
2019-09-16,7744400.0
2020-02-18,7611600.0
2020-05-07,3910800.0
2018-08-17,3745100.0
2019-12-04,2607500.0
2020-02-21,4373500.0
2018-12-17,6354500.0
2019-08-30,4539000.0
2018-11-15,4007500.0
2019-07-29,3961000.0
2019-06-27,4400700.0
2019-04-24,8985300.0
2018-07-10,5252900.0
2018-09-12,5034100.0
2019-02-19,6735700.0
2019-01-18,3967800.0
2020-02-24,1146800.0
2020-05-13,2649300.0
2019-12-10,2237000.0
2020-02-27,4875100.0
2019-12-13,3156700.0
2020-05-19,4133400.0
2019-03-06,4365400.0
2018-11-30,6045100.0
2019-08-13,5776700.0
2019-07-12,3642600.0
2019-06-10,2984400.0
2019-05-09,2823200.0
2018-07-25,5072300.0
2018-09-27,4434400.0
2018-10-29,2370700.0
2019-10-16,4409400.0
2019-12-16,5134100.0
2020-03-04,5974000.0
2020-05-22,5516400.0
2019-10-01,7071000.0
2019-12-19,2414600.0
2018-09-10,3971600.0
2019-05-24,3391000.0
2018-08-09,2590600.0
2019-04-22,2794500.0
2019-03-21,5027100.0
2019-01-16,2736100.0
2019-08-28,4535100.0
2018-11-13,6124800.0
2018-10-12,6697600.0
2019-06-25,13891700.0
2020-03-10,5567700.0
2020-05-28,5395100.0
2019-10-07,3667300.0
2020-03-13,2940900.0
2019-10-10,3418600.0
2020-03-16,3512800.0
2020-06-03,3588100.0
2018-11-28,3069900.0
2018-09-25,2849900.0
2018-07-23,3707000.0
2018-08-24,4711000.0
2019-07-10,3052000.0
2019-05-07,5034400.0
2019-04-05,4562900.0
2019-03-04,5238100.0
2019-01-31,3369900.0
2019-09-12,2045500.0
2019-12-31,3043200.0
2020-03-19,2157100.0
2020-01-03,2626100.0
2020-06-09,2049800.0
2019-02-15,1855600.0
2019-01-14,4939400.0
2018-07-06,4625200.0
2018-08-07,3371200.0
2018-10-10,3598100.0
2018-12-13,3157500.0
2019-08-26,3681200.0
2019-07-25,3664600.0
2019-05-22,4557500.0
2019-03-19,3130100.0
2020-01-06,2793500.0
2020-03-25,3481300.0
2020-06-12,4342700.0
2019-10-22,4968800.0
2020-01-09,3204300.0
2020-06-15,3148900.0
2019-10-25,3311100.0
2020-03-31,5508700.0
2020-06-18,3724100.0
2019-04-03,2577600.0
2018-08-22,2266800.0
2018-10-25,2815600.0
2019-01-29,2746200.0
2018-12-28,3670800.0
2018-11-26,2415600.0
2019-08-09,2700000.0
2019-07-08,4922300.0
2019-06-06,3970000.0
2019-09-10,4353800.0
2020-01-15,6248200.0
2020-04-03,6430400.0
2019-10-31,11146900.0
2020-04-06,6158400.0
2020-06-24,4429400.0
2018-11-09,4868700.0
2019-07-23,4264900.0
2019-06-21,3871900.0
2019-05-20,4140200.0
2019-04-18,3567500.0
2018-09-06,2291200.0
2018-10-08,3515800.0
2019-02-13,2660600.0
2018-12-11,2747100.0
2019-09-25,3742800.0
2020-01-21,2503100.0
2020-04-09,2037600.0
2019-11-06,2772500.0
2020-01-24,2888500.0
2020-01-27,2315400.0
2020-04-15,2658200.0
2018-12-26,2572700.0
2019-08-07,3095300.0
2019-06-04,2192200.0
2018-09-21,2704100.0
2018-07-19,3170600.0
2018-08-20,2933900.0
2018-10-23,2173100.0
2019-05-03,2136600.0
2019-04-01,3424100.0
2019-02-28,2907800.0
2019-11-12,1978600.0
2020-01-30,1266400.0
