Dates,NOW
2018-06-20,185.0
2018-06-21,185.0
2018-06-25,178.5800018310547
2018-06-22,174.42999267578125
2018-06-26,172.08999633789062
2018-06-27,172.2100067138672
2018-06-28,167.83999633789062
2018-06-29,174.0
2018-07-02,171.61000061035156
2018-07-03,178.02999877929688
2018-07-05,178.19000244140625
2018-07-16,179.39999389648438
2018-09-18,183.22999572753906
2019-01-24,185.22999572753906
2019-09-05,183.3699951171875
2018-11-21,188.8300018310547
2020-01-13,193.2899932861328
2020-04-01,191.9600067138672
2020-06-19,186.9499969482422
2019-10-29,192.0
2020-01-16,191.52999877929688
2020-06-22,191.00999450683594
2018-10-03,190.17999267578125
2018-07-31,191.92999267578125
2019-03-12,184.57000732421875
2019-02-08,181.5
2019-01-07,192.02999877929688
2018-12-06,184.0
2019-08-19,179.25
2019-07-18,176.58999633789062
2019-05-15,177.0
2019-09-20,183.58999633789062
2019-11-01,181.1199951171875
2020-04-07,185.0
2020-06-25,185.3000030517578
2020-06-16,186.80999755859375
2019-11-04,186.36000061035156
2020-01-22,187.00999450683594
2019-11-07,186.10000610351562
2020-04-13,184.1699981689453
2019-07-01,184.35000610351562
2019-05-30,182.0
2018-08-15,180.1699981689453
2018-10-18,182.39999389648438
2019-03-27,181.47999572753906
2019-01-22,182.1699981689453
2018-12-21,186.11000061035156
2019-09-03,194.0
2018-11-19,193.77999877929688
2019-08-02,194.27000427246094
2020-01-28,199.5
2020-04-16,198.0
2019-11-13,195.9499969482422
2020-01-31,200.0
2018-12-04,191.9199981689453
2018-11-02,192.94000244140625
2019-07-16,199.8800048828125
2018-08-30,198.0
2018-10-01,199.83999633789062
2019-06-14,204.0
2019-05-13,204.1199951171875
2019-04-11,201.8800048828125
2019-02-06,193.02000427246094
2019-09-18,191.5
2020-02-03,187.0
2020-04-22,188.3699951171875
2019-11-19,187.6300048828125
2020-02-06,194.27999877929688
2019-11-22,197.61000061035156
2019-03-25,196.0500030517578
2019-02-21,194.5800018310547
2018-12-19,197.25
2018-07-12,195.72000122070312
2018-09-14,194.27999877929688
2018-08-13,195.49000549316406
2018-10-16,187.11000061035156
2019-07-31,184.38999938964844
2019-05-28,179.89999389648438
2019-04-26,180.4499969482422
2020-04-28,172.85000610351562
2019-11-25,182.32000732421875
2020-02-12,184.16000366210938
2020-05-01,185.2100067138672
2020-05-04,193.11000061035156
2019-06-12,189.13999938964844
2019-04-09,186.4600067138672
2019-03-08,178.91000366210938
2019-02-04,174.1999969482422
2018-07-27,181.77999877929688
2018-08-28,173.39999389648438
2019-01-03,164.24000549316406
2019-08-15,172.08999633789062
2018-10-31,160.0
2019-09-16,174.30999755859375
2020-02-18,181.02999877929688
2020-05-07,184.8699951171875
2018-08-17,178.97999572753906
2019-12-04,179.5
2020-02-21,182.35000610351562
2018-12-17,190.0
2019-08-30,184.22999572753906
2018-11-15,175.1999969482422
2019-07-29,174.35000610351562
2019-06-27,171.25999450683594
2019-04-24,166.6699981689453
2018-07-10,170.72999572753906
2018-09-12,169.55999755859375
2019-02-19,148.99000549316406
2019-01-18,160.22000122070312
2020-02-24,156.57000732421875
2020-05-13,164.08999633789062
2019-12-10,164.60000610351562
2020-02-27,171.25
2019-12-13,176.24000549316406
2020-05-19,179.63999938964844
2019-03-06,192.0500030517578
2018-11-30,185.58999633789062
2019-08-13,175.82000732421875
2019-07-12,186.94000244140625
2019-06-10,181.0
2019-05-09,189.16000366210938
2018-07-25,187.0
2018-09-27,189.39999389648438
2018-10-29,184.5399932861328
2019-10-16,180.00999450683594
2019-12-16,173.4199981689453
2020-03-04,174.63999938964844
2020-05-22,171.83999633789062
2019-10-01,170.02000427246094
2019-12-19,159.02000427246094
2018-09-10,159.67999267578125
2019-05-24,166.8699951171875
2018-08-09,179.61000061035156
2019-04-22,182.9199981689453
2019-03-21,174.1199951171875
2019-01-16,175.1199951171875
2019-08-28,173.00999450683594
2018-11-13,180.75
2018-10-12,189.75
2019-06-25,185.25999450683594
2020-03-10,188.89999389648438
2020-05-28,188.10000610351562
2019-10-07,187.8699951171875
2020-03-13,189.4499969482422
2019-10-10,189.52000427246094
2020-03-16,186.8300018310547
2020-06-03,189.72999572753906
2018-11-28,187.77999877929688
2018-09-25,187.52000427246094
2018-07-23,184.25
2018-08-24,187.61000061035156
2019-07-10,188.0500030517578
2019-05-07,188.17999267578125
2019-04-05,187.19000244140625
2019-03-04,211.36000061035156
2019-01-31,218.5800018310547
2019-09-12,220.8300018310547
2019-12-31,226.0
2020-03-19,228.0
2020-01-03,224.05999755859375
2020-06-09,225.39999389648438
2019-02-15,229.88999938964844
2019-01-14,230.61000061035156
2018-07-06,235.0
2018-08-07,231.44000244140625
2018-10-10,235.0
2018-12-13,233.49000549316406
2019-08-26,235.0
2019-07-25,228.7100067138672
2019-05-22,230.32000732421875
2019-03-19,237.5
2020-01-06,235.83999633789062
2020-03-25,235.8000030517578
2020-06-12,240.1699981689453
2019-10-22,242.30999755859375
2020-01-09,244.60000610351562
2020-06-15,237.57000732421875
2019-10-25,235.4499969482422
2020-03-31,232.3699951171875
2020-06-18,229.3000030517578
2019-04-03,235.50999450683594
2018-08-22,240.14999389648438
2018-10-25,240.55999755859375
2019-01-29,244.0500030517578
2018-12-28,241.3699951171875
2018-11-26,242.52999877929688
2019-08-09,242.25999450683594
2019-07-08,243.0
2019-06-06,243.72000122070312
2019-09-10,249.0
2020-01-15,238.7899932861328
2020-04-03,245.0399932861328
2019-10-31,244.82000732421875
2020-04-06,243.72999572753906
2020-06-24,246.5
2018-11-09,249.99000549316406
2019-07-23,245.75
2019-06-21,248.89999389648438
2019-05-20,246.35000610351562
2019-04-18,238.63999938964844
2018-09-06,236.39999389648438
2018-10-08,235.1300048828125
2019-02-13,240.5
2018-12-11,243.63999938964844
2019-09-25,247.0
2020-01-21,244.07000732421875
2020-04-09,245.88999938964844
2019-11-06,241.72000122070312
2020-01-24,234.39999389648438
2020-01-27,236.02000427246094
2020-04-15,243.25
2018-12-26,245.0
2019-08-07,261.0199890136719
2019-06-04,260.0
2018-09-21,267.1000061035156
2018-07-19,271.0
2018-08-20,273.1600036621094
2018-10-23,264.8599853515625
2019-05-03,265.67999267578125
2019-04-01,260.5
2019-02-28,267.0
2019-11-12,264.0
2020-01-30,262.3500061035156
2019-11-15,268.5
2020-04-21,266.8800048828125
2019-04-16,263.2200012207031
2019-03-15,270.0
2019-02-11,275.0
2019-01-10,275.7099914550781
2019-08-22,266.9599914550781
2018-11-07,269.7099914550781
2018-08-03,270.07000732421875
2018-09-04,270.05999755859375
2019-06-19,266.75
2019-09-23,269.0799865722656
2019-11-18,263.8999938964844
2020-02-05,265.4100036621094
2020-04-24,259.30999755859375
2019-03-29,262.0
2019-11-21,251.13999938964844
2020-04-27,262.3699951171875
2020-02-11,263.239990234375
2020-04-30,270.989990234375
2019-05-01,279.3599853515625
2019-02-26,279.8599853515625
2019-01-25,266.0
2018-12-24,268.6000061035156
2019-09-06,273.7300109863281
2018-07-17,273.70001220703125
2018-09-19,278.32000732421875
2019-08-05,284.2099914550781
2019-10-08,290.239990234375
2019-12-11,287.5199890136719
2019-11-27,287.8699951171875
2020-02-14,283.1499938964844
2020-05-06,278.7799987792969
2019-01-08,277.3699951171875
2018-12-07,277.80999755859375
2019-08-20,281.989990234375
2018-11-05,283.30999755859375
2019-07-19,289.8999938964844
2018-10-04,291.0
2019-06-17,293.6499938964844
2019-05-16,291.4100036621094
2018-08-01,299.6099853515625
2019-03-13,300.4100036621094
2019-12-03,302.29998779296875
2020-02-20,302.0
2019-12-06,300.0
2020-05-12,295.5
2019-12-09,296.32000732421875
2020-02-26,298.04998779296875
2020-05-15,293.3999938964844
2019-03-28,295.0199890136719
2018-09-17,291.7200012207031
2018-08-16,288.5
2018-10-19,288.3699951171875
2019-04-29,289.3399963378906
2019-01-23,284.2799987792969
2019-09-04,281.7099914550781
2018-11-20,277.3800048828125
2019-07-02,272.95001220703125
2019-05-31,255.00999450683594
2019-12-12,261.6600036621094
2020-05-18,259.6600036621094
2019-09-27,262.010009765625
2020-03-03,267.25
2020-05-21,261.29998779296875
2019-05-14,258.0
2018-08-31,258.3399963378906
2018-07-30,252.0
2018-10-02,255.91000366210938
2019-04-12,260.0
