Dates,NOW
2018-06-20,1718700.0
2018-06-21,1299900.0
2018-06-25,2354600.0
2018-06-22,1923400.0
2018-06-26,1506300.0
2018-06-27,1942700.0
2018-06-28,1489200.0
2018-06-29,1053100.0
2018-07-02,1680100.0
2018-07-03,757100.0
2018-07-05,1240600.0
2018-07-16,781500.0
2018-09-18,1493500.0
2019-01-24,1221400.0
2019-09-05,1371000.0
2018-11-21,2212300.0
2020-01-13,1896500.0
2020-04-01,1309400.0
2020-06-19,1337300.0
2019-10-29,1540400.0
2020-01-16,953200.0
2020-06-22,1439400.0
2018-10-03,1637500.0
2018-07-31,2743800.0
2019-03-12,3592100.0
2019-02-08,3787900.0
2019-01-07,3280100.0
2018-12-06,2439400.0
2019-08-19,3062900.0
2019-07-18,1977100.0
2019-05-15,1833200.0
2019-09-20,1281900.0
2019-11-01,1146900.0
2020-04-07,1047700.0
2020-06-25,842600.0
2020-06-16,1210700.0
2019-11-04,826300.0
2020-01-22,869800.0
2019-11-07,1286700.0
2020-04-13,1261100.0
2019-07-01,745700.0
2019-05-30,1656000.0
2018-08-15,1661500.0
2018-10-18,1555100.0
2019-03-27,2050200.0
2019-01-22,1521200.0
2018-12-21,2765000.0
2019-09-03,1711400.0
2018-11-19,1187000.0
2019-08-02,2992600.0
2020-01-28,1805200.0
2020-04-16,1225300.0
2019-11-13,1692800.0
2020-01-31,2704800.0
2018-12-04,1841300.0
2018-11-02,1631700.0
2019-07-16,2147700.0
2018-08-30,1765000.0
2018-10-01,1605300.0
2019-06-14,1472600.0
2019-05-13,1225500.0
2019-04-11,2313400.0
2019-02-06,2295500.0
2019-09-18,3930000.0
2020-02-03,2883800.0
2020-04-22,2880700.0
2019-11-19,2064800.0
2020-02-06,2106000.0
2019-11-22,1332300.0
2019-03-25,1119700.0
2019-02-21,1205000.0
2018-12-19,1338500.0
2018-07-12,1317000.0
2018-09-14,1582400.0
2018-08-13,3489100.0
2018-10-16,2245000.0
2019-07-31,2625600.0
2019-05-28,2397900.0
2019-04-26,3543700.0
2020-04-28,3507500.0
2019-11-25,2940200.0
2020-02-12,1462700.0
2020-05-01,2794800.0
2020-05-04,1910300.0
2019-06-12,2237700.0
2019-04-09,2259900.0
2019-03-08,2732300.0
2019-02-04,3025100.0
2018-07-27,3793900.0
2018-08-28,5153600.0
2019-01-03,3125200.0
2019-08-15,2537800.0
2018-10-31,3131200.0
2019-09-16,4013100.0
2020-02-18,1538500.0
2020-05-07,1527000.0
2018-08-17,1387500.0
2019-12-04,1184900.0
2020-02-21,2994500.0
2018-12-17,1784400.0
2019-08-30,2206000.0
2018-11-15,2667100.0
2019-07-29,2144200.0
2019-06-27,1443100.0
2019-04-24,1602500.0
2018-07-10,1109300.0
2018-09-12,3194700.0
2019-02-19,4098200.0
2019-01-18,1821700.0
2020-02-24,577600.0
2020-05-13,1746600.0
2019-12-10,1491100.0
2020-02-27,3112100.0
2019-12-13,1743500.0
2020-05-19,3144600.0
2019-03-06,2408100.0
2018-11-30,2544500.0
2019-08-13,2678300.0
2019-07-12,1749100.0
2019-06-10,1567300.0
2019-05-09,2224700.0
2018-07-25,2289700.0
2018-09-27,1443700.0
2018-10-29,1663200.0
2019-10-16,2315700.0
2019-12-16,1682500.0
2020-03-04,2139700.0
2020-05-22,3198400.0
2019-10-01,2799600.0
2019-12-19,896400.0
2018-09-10,3050700.0
2019-05-24,2937500.0
2018-08-09,2442100.0
2019-04-22,1655400.0
2019-03-21,2561500.0
2019-01-16,2468900.0
2019-08-28,2195700.0
2018-11-13,1824900.0
2018-10-12,1609200.0
2019-06-25,2096000.0
2020-03-10,1637800.0
2020-05-28,1646000.0
2019-10-07,1811100.0
2020-03-13,2517900.0
2019-10-10,1451000.0
2020-03-16,2149300.0
2020-06-03,1930600.0
2018-11-28,1506400.0
2018-09-25,1585300.0
2018-07-23,1351800.0
2018-08-24,1425200.0
2019-07-10,1930400.0
2019-05-07,1633500.0
2019-04-05,4251500.0
2019-03-04,11199700.0
2019-01-31,3552100.0
2019-09-12,3599700.0
2019-12-31,1904900.0
2020-03-19,1662800.0
2020-01-03,1479500.0
2020-06-09,1603600.0
2019-02-15,1936400.0
2019-01-14,2366200.0
2018-07-06,1677400.0
2018-08-07,1304700.0
2018-10-10,1425900.0
2018-12-13,1434100.0
2019-08-26,2347000.0
2019-07-25,1317600.0
2019-05-22,1980800.0
2019-03-19,1612100.0
2020-01-06,1183800.0
2020-03-25,2214200.0
2020-06-12,1892900.0
2019-10-22,2055900.0
2020-01-09,4415500.0
2020-06-15,1940200.0
2019-10-25,1214700.0
2020-03-31,1577400.0
2020-06-18,1527600.0
2019-04-03,1991900.0
2018-08-22,1693700.0
2018-10-25,1885500.0
2019-01-29,1946800.0
2018-12-28,2053800.0
2018-11-26,2411600.0
2019-08-09,2191300.0
2019-07-08,1210800.0
2019-06-06,1532100.0
