Dates,BA
2018-06-20,4540000.0
2018-06-21,4048300.0
2018-06-25,3192000.0
2018-06-22,5006200.0
2018-06-26,3112400.0
2018-06-27,4578900.0
2018-06-28,3348000.0
2018-06-29,3108500.0
2018-07-02,2820700.0
2018-07-03,1464400.0
2018-07-05,2427900.0
2018-07-16,2105100.0
2018-09-18,3128700.0
2019-01-24,3278300.0
2019-09-05,3056900.0
2018-11-21,2030700.0
2020-01-13,2272300.0
2020-04-01,2889000.0
2020-06-19,2730500.0
2019-10-29,3090100.0
2020-01-16,2711700.0
2020-06-22,1816700.0
2018-10-03,1943700.0
2018-07-31,3182000.0
2019-03-12,7378100.0
2019-02-08,3191200.0
2019-01-07,2914700.0
2018-12-06,3080400.0
2019-08-19,2728400.0
2019-07-18,2717800.0
2019-05-15,2655900.0
2019-09-20,2285200.0
2019-11-01,3251100.0
2020-04-07,2267400.0
2020-06-25,2333600.0
2020-06-16,2301800.0
2019-11-04,2745700.0
2020-01-22,1877200.0
2019-11-07,2017300.0
2020-04-13,3798600.0
2019-07-01,5867900.0
2019-05-30,3069200.0
2018-08-15,3018200.0
2018-10-18,2967200.0
2019-03-27,2682900.0
2019-01-22,1833400.0
2018-12-21,1954100.0
2019-09-03,2279500.0
2018-11-19,2475100.0
2019-08-02,1850100.0
2020-01-28,3257700.0
2020-04-16,3462700.0
2019-11-13,2699400.0
2020-01-31,2959000.0
2018-12-04,3585900.0
2018-11-02,3921900.0
2019-07-16,3065500.0
2018-08-30,2731800.0
2018-10-01,4003800.0
2019-06-14,3166500.0
2019-05-13,2835800.0
2019-04-11,2554500.0
2019-02-06,3003500.0
2019-09-18,4753400.0
2020-02-03,4011100.0
2020-04-22,7144000.0
2019-11-19,2800200.0
2020-02-06,2969200.0
2019-11-22,2368600.0
2019-03-25,2355900.0
2019-02-21,3600500.0
2018-12-19,4755700.0
2018-07-12,4622600.0
2018-09-14,4794300.0
2018-08-13,3822300.0
2018-10-16,2899700.0
2019-07-31,3324000.0
2019-05-28,2862700.0
2019-04-26,6033100.0
2020-04-28,6266800.0
2019-11-25,5509700.0
2020-02-12,2979800.0
2020-05-01,2822500.0
2020-05-04,2238200.0
2019-06-12,3254900.0
2019-04-09,3491600.0
2019-03-08,2263500.0
2019-02-04,4389600.0
2018-07-27,8442600.0
2018-08-28,4003500.0
2019-01-03,4073000.0
2019-08-15,7462000.0
2018-10-31,5774000.0
2019-09-16,4175600.0
2020-02-18,3760700.0
2020-05-07,4029800.0
2018-08-17,2253900.0
2019-12-04,2471900.0
2020-02-21,4015300.0
2018-12-17,2751800.0
2019-08-30,2590300.0
2018-11-15,3088700.0
2019-07-29,4960000.0
2019-06-27,3445800.0
2019-04-24,4863000.0
2018-07-10,4425200.0
2018-09-12,6782800.0
2019-02-19,6875900.0
2019-01-18,4401000.0
2020-02-24,1599400.0
2020-05-13,3362300.0
2019-12-10,2946400.0
2020-02-27,6117600.0
2019-12-13,5331900.0
2020-05-19,5374000.0
2019-03-06,6573400.0
2018-11-30,5199100.0
2019-08-13,9297400.0
2019-07-12,4526300.0
2019-06-10,4400500.0
2019-05-09,3566400.0
2018-07-25,3424800.0
2018-09-27,2247700.0
2018-10-29,3298400.0
2019-10-16,4968400.0
2019-12-16,5881100.0
2020-03-04,4871500.0
2020-05-22,5368600.0
2019-10-01,7641700.0
2019-12-19,3435300.0
2018-09-10,4843400.0
2019-05-24,4341100.0
2018-08-09,3725200.0
2019-04-22,3557700.0
2019-03-21,3292200.0
2019-01-16,5705600.0
2019-08-28,4448800.0
2018-11-13,4030300.0
2018-10-12,4736500.0
2019-06-25,4213900.0
2020-03-10,5358100.0
2020-05-28,3158900.0
2019-10-07,2476400.0
2020-03-13,2940900.0
2019-10-10,2731100.0
2020-03-16,4270400.0
2020-06-03,4256500.0
2018-11-28,4336500.0
2018-09-25,2924900.0
2018-07-23,2801300.0
2018-08-24,3185600.0
2019-07-10,3128900.0
2019-05-07,3202700.0
2019-04-05,12705300.0
2019-03-04,6878500.0
2019-01-31,5625700.0
2019-09-12,4256600.0
2019-12-31,7230400.0
2020-03-19,5356000.0
2020-01-03,5211400.0
2020-06-09,4570900.0
2019-02-15,3046900.0
2019-01-14,3263300.0
2018-07-06,3078700.0
2018-08-07,2724300.0
2018-10-10,4017300.0
2018-12-13,3051500.0
2019-08-26,3990100.0
2019-07-25,2880500.0
2019-05-22,3132300.0
2019-03-19,3276100.0
2020-01-06,2503700.0
2020-03-25,4603800.0
2020-06-12,5063100.0
2019-10-22,5124200.0
2020-01-09,5971000.0
2020-06-15,2844300.0
2019-10-25,4159400.0
2020-03-31,4893600.0
2020-06-18,3794900.0
2019-04-03,34742200.0
2018-08-22,36922600.0
2018-10-25,32662300.0
2019-01-29,13514100.0
2018-12-28,26697700.0
2018-11-26,13119200.0
2019-08-09,9856100.0
2019-07-08,8737600.0
2019-06-06,6951000.0
2019-09-10,10143900.0
2020-01-15,7939600.0
2020-04-03,6479700.0
2019-10-31,9600000.0
2020-04-06,4921300.0
2020-06-24,7694700.0
2018-11-09,7735700.0
2019-07-23,6401000.0
2019-06-21,7350300.0
2019-05-20,9388100.0
2019-04-18,6857200.0
2018-09-06,14482600.0
2018-10-08,7980100.0
2019-02-13,8285000.0
2018-12-11,6598400.0
2019-09-25,7334600.0
2020-01-21,3822100.0
2020-04-09,7083800.0
2019-11-06,4424400.0
2020-01-24,4703100.0
2020-01-27,4147700.0
2020-04-15,4894500.0
2018-12-26,9855100.0
2019-08-07,6615000.0
2019-06-04,4259600.0
2018-09-21,5457300.0
2018-07-19,3732800.0
2018-08-20,2765600.0
2018-10-23,2438800.0
2019-05-03,2953800.0
2019-04-01,4747600.0
2019-02-28,9740300.0
2019-11-12,6030000.0
2020-01-30,6075200.0
2019-11-15,4574100.0
2020-04-21,7757800.0
2019-04-16,4747800.0
2019-03-15,4810000.0
2019-02-11,6036500.0
2019-01-10,5282900.0
2019-08-22,3219900.0
2018-11-07,4022600.0
2018-08-03,3841400.0
2018-09-04,5305400.0
2019-06-19,5387500.0
2019-09-23,3504300.0
2019-11-18,4160500.0
2020-02-05,2183900.0
2020-04-24,3217600.0
2019-03-29,5148000.0
