Dates,BA
2018-06-20,342.69000244140625
2018-06-21,337.6600036621094
2018-06-25,338.9100036621094
2018-06-22,331.20001220703125
2018-06-26,331.29998779296875
2018-06-27,329.82000732421875
2018-06-28,334.6499938964844
2018-06-29,335.510009765625
2018-07-02,336.0799865722656
2018-07-03,332.92999267578125
2018-07-05,333.17999267578125
2018-07-16,334.6400146484375
2018-09-18,341.9200134277344
2019-01-24,347.1600036621094
2019-09-05,340.6000061035156
2018-11-21,346.0299987792969
2020-01-13,350.7900085449219
2020-04-01,356.1000061035156
2020-06-19,356.8800048828125
2019-10-29,360.2300109863281
2020-01-16,355.3299865722656
2020-06-22,354.8999938964844
2018-10-03,353.2699890136719
2018-07-31,358.2699890136719
2019-03-12,355.9200134277344
2019-02-08,359.32000732421875
2019-01-07,360.6499938964844
2018-12-06,351.05999755859375
2019-08-19,356.29998779296875
2019-07-18,352.760009765625
2019-05-15,349.7300109863281
2019-09-20,348.44000244140625
2019-11-01,346.57000732421875
2020-04-07,350.760009765625
2020-06-25,347.7799987792969
2020-06-16,343.7200012207031
2019-11-04,339.4100036621094
2020-01-22,338.3599853515625
2019-11-07,339.1400146484375
2020-04-13,331.760009765625
2019-07-01,345.9800109863281
2019-05-30,346.3999938964844
2018-08-15,350.739990234375
2018-10-18,353.7699890136719
2019-03-27,350.0299987792969
2019-01-22,347.4800109863281
2018-12-21,349.3800048828125
2019-09-03,353.739990234375
2018-11-19,351.2099914550781
2019-08-02,350.19000244140625
2020-01-28,346.8999938964844
2020-04-16,342.7900085449219
2019-11-13,346.25
2020-01-31,346.67999267578125
2018-12-04,351.2699890136719
2018-11-02,349.2799987792969
2019-07-16,341.8599853515625
2018-08-30,345.25
2018-10-01,353.4100036621094
2019-06-14,355.4599914550781
2019-05-13,359.79998779296875
2019-04-11,355.9599914550781
2019-02-06,363.5799865722656
2019-09-18,365.2200012207031
2020-02-03,367.4599914550781
2020-04-22,372.2300109863281
2019-11-19,367.989990234375
2020-02-06,367.2300109863281
2019-11-22,365.0299987792969
2019-03-25,367.3900146484375
2019-02-21,371.8999938964844
2018-12-19,382.2900085449219
2018-07-12,386.3699951171875
2018-09-14,392.29998779296875
2018-08-13,389.989990234375
2018-10-16,386.4700012207031
2019-07-31,385.7699890136719
2019-05-28,385.44000244140625
2019-04-26,367.4700012207031
2020-04-28,358.1099853515625
2019-11-25,360.1099853515625
2020-02-12,358.8800048828125
