Dates,BA
2020-03-25,427.1700134277344
2020-06-12,438.70001220703125
2019-10-22,446.010009765625
2020-01-09,443.2200012207031
2020-06-15,431.0400085449219
2019-10-25,429.70001220703125
2020-03-31,423.3599853515625
2020-06-18,416.7699890136719
2019-04-03,371.2699890136719
2018-08-22,384.7099914550781
2018-10-25,378.42999267578125
2019-01-29,374.989990234375
2018-12-28,370.8800048828125
2018-11-26,370.0
2019-08-09,371.1400146484375
2019-07-08,374.70001220703125
2019-06-06,374.0400085449219
2019-09-10,368.7900085449219
2020-01-15,365.0
2020-04-03,375.5799865722656
2019-10-31,371.8900146484375
2020-04-06,376.6000061035156
2020-06-24,376.5199890136719
2018-11-09,385.79998779296875
2019-07-23,388.5
2019-06-21,389.67999267578125
2019-05-20,385.989990234375
2019-04-18,398.07000732421875
2018-09-06,376.20001220703125
2018-10-08,370.2900085449219
2019-02-13,368.3999938964844
2018-12-11,364.6199951171875
2019-09-25,375.75
2020-01-21,376.70001220703125
2020-04-09,376.510009765625
2019-11-06,384.1000061035156
2020-01-24,377.5199890136719
2020-01-27,375.69000244140625
2020-04-15,375.5400085449219
2018-12-26,377.8900146484375
2019-08-07,376.010009765625
2019-06-04,383.8900146484375
2018-09-21,378.489990234375
2018-07-19,379.5
2018-08-20,378.5299987792969
2018-10-23,375.5
2019-05-03,376.0799865722656
2019-04-01,367.8800048828125
2019-02-28,366.3299865722656
2019-11-12,357.7699890136719
2020-01-30,354.760009765625
2019-11-15,351.8699951171875
2020-04-21,344.510009765625
2019-04-16,339.8999938964844
2019-03-15,339.79998779296875
2019-02-11,348.6400146484375
2019-01-10,351.5
2019-08-22,353.0
2018-11-07,358.0299987792969
2018-08-03,357.2200012207031
2018-09-04,345.9200134277344
2019-06-19,355.0
2019-09-23,355.2900085449219
2019-11-18,352.5899963378906
2020-02-05,350.0
2020-04-24,345.8500061035156
2019-03-29,338.20001220703125
2019-11-21,342.57000732421875
2020-04-27,346.2200012207031
2020-02-11,348.17999267578125
2020-04-30,352.29998779296875
2019-05-01,356.0
2019-02-26,355.4200134277344
2019-01-25,349.0
2018-12-24,347.25
2019-09-06,348.0
2018-07-17,348.6199951171875
2018-09-19,357.6099853515625
2019-08-05,375.3999938964844
2019-10-08,373.0
2019-12-11,374.3900146484375
2019-11-27,372.95001220703125
2020-02-14,374.75
2020-05-06,371.0199890136719
2019-01-08,367.5400085449219
2018-12-07,363.9200134277344
2019-08-20,364.8800048828125
2018-11-05,355.6300048828125
2019-07-19,354.5
2018-10-04,354.0
2019-06-17,350.4100036621094
2019-05-16,349.04998779296875
2018-08-01,354.489990234375
2019-03-13,352.6199951171875
2019-12-03,360.0
2020-02-20,360.5
2019-12-06,361.260009765625
2020-05-12,362.75
2019-12-09,367.6000061035156
2020-02-26,370.6700134277344
2020-05-15,376.94000244140625
2019-03-28,374.2699890136719
2018-09-17,370.2799987792969
2018-08-16,356.17999267578125
2018-10-19,346.20001220703125
2019-04-29,344.989990234375
2019-01-23,339.8399963378906
2019-09-04,348.489990234375
2018-11-20,341.9100036621094
2019-07-02,334.55999755859375
2019-05-31,332.4599914550781
2019-12-12,333.989990234375
2020-05-18,328.6000061035156
2019-09-27,331.29998779296875
2020-03-03,334.05999755859375
2020-05-21,333.67999267578125
2019-05-14,331.82000732421875
2018-08-31,328.3500061035156
2018-07-30,323.0
2018-10-02,330.2200012207031
2019-04-12,334.17999267578125
2019-03-11,332.4700012207031
2019-02-07,335.4800109863281
2019-07-17,342.42999267578125
2019-09-19,355.3500061035156
2019-10-21,365.0400085449219
2019-12-18,359.4200134277344
2020-03-06,353.30999755859375
