Dates,NAD
2018-06-20,13.1899995803833
2018-06-21,13.239999771118164
2018-06-25,13.220000267028809
2018-06-22,13.229999542236328
2018-06-26,13.229999542236328
2018-06-27,13.239999771118164
2018-06-28,13.300000190734863
2018-06-29,13.300000190734863
2018-07-02,13.289999961853027
2018-07-03,13.319999694824219
2018-07-05,13.300000190734863
2018-07-16,13.279999732971191
2018-09-18,13.25
2019-01-24,13.270000457763672
2019-09-05,13.329999923706055
2018-11-21,13.260000228881836
2020-01-13,13.25
2020-04-01,13.210000038146973
2020-06-19,13.229999542236328
2019-10-29,13.270000457763672
2020-01-16,13.289999961853027
2020-06-22,13.270000457763672
2018-10-03,13.279999732971191
2018-07-31,13.289999961853027
2019-03-12,13.25
2019-02-08,13.210000038146973
2019-01-07,13.220000267028809
2018-12-06,13.229999542236328
2019-08-19,13.220000267028809
2019-07-18,13.180000305175781
2019-05-15,13.199999809265137
2019-09-20,13.180000305175781
2019-11-01,13.270000457763672
2020-04-07,13.25
2020-06-25,13.229999542236328
2020-06-16,13.220000267028809
2019-11-04,13.239999771118164
2020-01-22,13.220000267028809
2019-11-07,13.199999809265137
2020-04-13,13.239999771118164
2019-07-01,13.170000076293945
2019-05-30,13.210000038146973
2018-08-15,13.239999771118164
2018-10-18,13.1899995803833
2019-03-27,13.170000076293945
2019-01-22,13.210000038146973
2018-12-21,13.180000305175781
2019-09-03,13.1899995803833
2018-11-19,13.199999809265137
2019-08-02,13.210000038146973
2020-01-28,13.1899995803833
2020-04-16,13.199999809265137
2019-11-13,13.210000038146973
2020-01-31,13.1899995803833
2018-12-04,13.15999984741211
2018-11-02,13.149999618530273
2019-07-16,13.210000038146973
2018-08-30,13.170000076293945
2018-10-01,13.130000114440918
2019-06-14,13.09000015258789
2019-05-13,13.029999732971191
2019-04-11,12.949999809265137
2019-02-06,12.880000114440918
2019-09-18,12.829999923706055
2020-02-03,12.8100004196167
2020-04-22,12.760000228881836
2019-11-19,12.75
2020-02-06,12.770000457763672
2019-11-22,12.779999732971191
2019-03-25,12.789999961853027
2019-02-21,12.789999961853027
2018-12-19,12.770000457763672
2018-07-12,12.729999542236328
2018-09-14,12.65999984741211
2018-08-13,12.630000114440918
2018-10-16,12.680000305175781
2019-07-31,12.630000114440918
2019-05-28,12.5600004196167
2019-04-26,12.449999809265137
2020-04-28,12.470000267028809
2019-11-25,12.399999618530273
2020-02-12,12.420000076293945
2020-05-01,12.470000267028809
2020-05-04,12.420000076293945
2019-06-12,12.390000343322754
2019-04-09,12.40999984741211
2019-03-08,12.420000076293945
2019-02-04,12.420000076293945
2018-07-27,12.390000343322754
2018-08-28,12.40999984741211
2019-01-03,12.34000015258789
2019-08-15,12.329999923706055
2018-10-31,12.359999656677246
2019-09-16,12.40999984741211
2020-02-18,12.40999984741211
2020-05-07,12.359999656677246
2018-08-17,12.390000343322754
2019-12-04,12.380000114440918
2020-02-21,12.479999542236328
2018-12-17,12.5600004196167
2019-08-30,12.609999656677246
2018-11-15,12.630000114440918
2019-07-29,12.65999984741211
2019-06-27,12.600000381469727
2019-04-24,12.539999961853027
2018-07-10,12.539999961853027
2018-09-12,12.510000228881836
2019-02-19,12.40999984741211
2019-01-18,12.350000381469727
2020-02-24,12.34000015258789
2020-05-13,12.300000190734863
2019-12-10,12.3100004196167
2020-02-27,12.430000305175781
2019-12-13,12.489999771118164
2020-05-19,12.59000015258789
2019-03-06,12.640000343322754
2018-11-30,12.710000038146973
2019-08-13,12.6899995803833
2019-07-12,12.649999618530273
2019-06-10,12.65999984741211
2019-05-09,12.630000114440918
2018-07-25,12.640000343322754
2018-09-27,12.529999732971191
2018-10-29,12.489999771118164
2019-10-16,12.430000305175781
2019-12-16,12.479999542236328
2020-03-04,12.539999961853027
2020-05-22,12.510000228881836
2019-10-01,12.5600004196167
2019-12-19,12.5600004196167
2018-09-10,12.489999771118164
2019-05-24,12.520000457763672
2018-08-09,12.5
2019-04-22,12.539999961853027
2019-03-21,12.729999542236328
2019-01-16,12.829999923706055
2019-08-28,12.819999694824219
2018-11-13,12.819999694824219
2018-10-12,12.920000076293945
2019-06-25,12.869999885559082
2020-03-10,13.010000228881836
2020-05-28,13.100000381469727
2019-10-07,13.010000228881836
2020-03-13,13.0
2019-10-10,13.0
2020-03-16,12.989999771118164
2020-06-03,12.979999542236328
2018-11-28,13.039999961853027
2018-09-25,13.029999732971191
2018-07-23,13.109999656677246
2018-08-24,13.109999656677246
2019-07-10,13.020000457763672
2019-05-07,13.050000190734863
2019-04-05,13.069999694824219
2019-03-04,13.149999618530273
2019-01-31,13.220000267028809
2019-09-12,13.210000038146973
2019-12-31,13.229999542236328
2020-03-19,13.220000267028809
2020-01-03,13.220000267028809
2020-06-09,13.270000457763672
2019-02-15,13.25
2019-01-14,13.260000228881836
2018-07-06,13.279999732971191
2018-08-07,13.300000190734863
2018-10-10,13.25
2018-12-13,13.270000457763672
2019-08-26,13.329999923706055
2019-07-25,13.319999694824219
2019-05-22,13.319999694824219
2019-03-19,13.300000190734863
2020-01-06,13.329999923706055
2020-03-25,13.369999885559082
2020-06-12,13.390000343322754
2019-10-22,13.399999618530273
2020-01-09,13.420000076293945
2020-06-15,13.430000305175781
2019-10-25,13.420000076293945
2020-03-31,13.470000267028809
2020-06-18,13.380000114440918
2019-04-03,13.430000305175781
2018-08-22,13.460000038146973
2018-10-25,13.489999771118164
2019-01-29,13.359999656677246
2018-12-28,13.289999961853027
2018-11-26,13.319999694824219
2019-08-09,13.380000114440918
2019-07-08,13.430000305175781
2019-06-06,13.449999809265137
