Dates,CERN
2018-06-20,61.060001373291016
2018-06-21,59.93000030517578
2018-06-25,59.810001373291016
2018-06-22,59.189998626708984
2018-06-26,59.65999984741211
2018-06-27,58.86000061035156
2018-06-28,59.7599983215332
2018-06-29,59.790000915527344
2018-07-02,61.15999984741211
2018-07-03,61.43000030517578
2018-07-05,62.70000076293945
2018-07-16,62.959999084472656
2018-09-18,63.709999084472656
2019-01-24,60.7599983215332
2019-09-05,60.2400016784668
2018-11-21,60.9900016784668
2020-01-13,61.470001220703125
2020-04-01,61.029998779296875
2020-06-19,60.97999954223633
2019-10-29,60.66999816894531
2020-01-16,60.7599983215332
2020-06-22,60.45000076293945
2018-10-03,60.79999923706055
2018-07-31,60.529998779296875
2019-03-12,61.04999923706055
2019-02-08,61.290000915527344
2019-01-07,61.130001068115234
2018-12-06,60.95000076293945
2019-08-19,62.08000183105469
2019-07-18,61.91999816894531
2019-05-15,62.970001220703125
2019-09-20,66.8499984741211
2019-11-01,67.08000183105469
2020-04-07,65.94999694824219
2020-06-25,66.37000274658203
2020-06-16,66.29000091552734
2019-11-04,65.18000030517578
2020-01-22,64.27999877929688
2019-11-07,64.31999969482422
2020-04-13,63.5099983215332
2019-07-01,64.86000061035156
2019-05-30,65.29000091552734
2018-08-15,65.43000030517578
2018-10-18,65.72000122070312
2019-03-27,65.48999786376953
2019-01-22,65.2699966430664
2018-12-21,65.41999816894531
2019-09-03,65.62999725341797
2018-11-19,65.55999755859375
2019-08-02,65.76000213623047
2020-01-28,65.1500015258789
2020-04-16,65.11000061035156
2019-11-13,64.58000183105469
2020-01-31,64.70999908447266
2018-12-04,64.88999938964844
2018-11-02,64.2300033569336
2019-07-16,63.220001220703125
2018-08-30,63.56999969482422
2018-10-01,64.77999877929688
2019-06-14,65.18000030517578
2019-05-13,64.94000244140625
2019-04-11,64.19999694824219
2019-02-06,64.37999725341797
2019-09-18,63.9900016784668
2020-02-03,64.30999755859375
2020-04-22,63.81999969482422
2019-11-19,63.779998779296875
2020-02-06,63.970001220703125
2019-11-22,64.19000244140625
2019-03-25,64.20999908447266
2019-02-21,64.41000366210938
2018-12-19,64.05000305175781
2018-07-12,64.25
2018-09-14,64.72000122070312
2018-08-13,64.5199966430664
2018-10-16,64.4800033569336
2019-07-31,63.720001220703125
2019-05-28,63.56999969482422
2019-04-26,62.959999084472656
2020-04-28,61.599998474121094
2019-11-25,62.119998931884766
2020-02-12,62.43000030517578
2020-05-01,64.37000274658203
2020-05-04,64.2300033569336
2019-06-12,62.7400016784668
2019-04-09,62.97999954223633
2019-03-08,62.97999954223633
2019-02-04,63.5099983215332
2018-07-27,61.81999969482422
2018-08-28,62.31999969482422
2019-01-03,55.54999923706055
2019-08-15,58.400001525878906
2018-10-31,57.45000076293945
2019-09-16,57.279998779296875
2020-02-18,57.439998626708984
2020-05-07,56.720001220703125
2018-08-17,56.650001525878906
2019-12-04,57.599998474121094
2020-02-21,58.540000915527344
2018-12-17,58.04999923706055
2019-08-30,57.56999969482422
2018-11-15,56.7599983215332
2019-07-29,56.40999984741211
2019-06-27,56.5
2019-04-24,57.27000045776367
2018-07-10,57.88999938964844
2018-09-12,56.25
2019-02-19,56.290000915527344
2019-01-18,56.59000015258789
2020-02-24,56.90999984741211
2020-05-13,57.93000030517578
2019-12-10,57.95000076293945
2020-02-27,58.400001525878906
2019-12-13,57.349998474121094
2020-05-19,57.90999984741211
2019-03-06,58.11000061035156
2018-11-30,56.119998931884766
2019-08-13,54.869998931884766
2019-07-12,53.72999954223633
2019-06-10,54.439998626708984
2019-05-09,54.970001220703125
2018-07-25,56.150001525878906
2018-09-27,56.77000045776367
2018-10-29,55.90999984741211
2019-10-16,54.29999923706055
2019-12-16,53.099998474121094
2020-03-04,52.06999969482422
2020-05-22,50.68000030517578
2019-10-01,49.209999084472656
2019-12-19,48.900001525878906
2018-09-10,51.560001373291016
2019-05-24,52.0
2018-08-09,52.0099983215332
2019-04-22,52.439998626708984
2019-03-21,51.869998931884766
2019-01-16,50.70000076293945
2019-08-28,52.22999954223633
2018-11-13,51.93000030517578
2018-10-12,53.130001068115234
2019-06-25,53.43000030517578
2020-03-10,54.06999969482422
2020-05-28,53.880001068115234
2019-10-07,54.040000915527344
2020-03-13,54.45000076293945
2019-10-10,53.63999938964844
2020-03-16,53.400001525878906
2020-06-03,54.060001373291016
2018-11-28,52.97999954223633
2018-09-25,54.08000183105469
2018-07-23,54.459999084472656
2018-08-24,54.900001525878906
2019-07-10,54.95000076293945
2019-05-07,54.5
2019-04-05,54.4900016784668
2019-03-04,54.90999984741211
2019-01-31,54.86000061035156
2019-09-12,55.59000015258789
2019-12-31,55.40999984741211
2020-03-19,56.27000045776367
2020-01-03,55.599998474121094
2020-06-09,56.0099983215332
2019-02-15,57.5
2019-01-14,58.81999969482422
2018-07-06,56.93000030517578
2018-08-07,56.79999923706055
2018-10-10,57.90999984741211
2018-12-13,57.540000915527344
2019-08-26,57.77000045776367
2019-07-25,57.22999954223633
2019-05-22,57.72999954223633
2019-03-19,56.9900016784668
2020-01-06,57.0
2020-03-25,56.9900016784668
2020-06-12,55.95000076293945
2019-10-22,55.95000076293945
2020-01-09,55.369998931884766
2020-06-15,55.72999954223633
2019-10-25,55.439998626708984
2020-03-31,55.400001525878906
2020-06-18,55.45000076293945
2019-04-03,56.2599983215332
2018-08-22,56.88999938964844
2018-10-25,57.560001373291016
2019-01-29,57.13999938964844
2018-12-28,57.90999984741211
2018-11-26,57.66999816894531
2019-08-09,57.58000183105469
2019-07-08,57.599998474121094
2019-06-06,58.279998779296875
2019-09-10,56.959999084472656
2020-01-15,56.689998626708984
2020-04-03,56.709999084472656
2019-10-31,56.619998931884766
2020-04-06,56.540000915527344
2020-06-24,57.209999084472656
2018-11-09,57.52000045776367
2019-07-23,56.93000030517578
2019-06-21,57.119998931884766
2019-05-20,57.04999923706055
2019-04-18,57.31999969482422
2018-09-06,57.09000015258789
2018-10-08,62.970001220703125
2019-02-13,63.709999084472656
2018-12-11,62.20000076293945
2019-09-25,62.79999923706055
2020-01-21,63.459999084472656
2020-04-09,63.04999923706055
2019-11-06,62.400001525878906
2020-01-24,62.709999084472656
2020-01-27,62.66999816894531
2020-04-15,63.83000183105469
2018-12-26,64.1500015258789
2019-08-07,64.5999984741211
2019-06-04,65.08000183105469
2018-09-21,65.87999725341797
2018-07-19,66.44999694824219
2018-08-20,66.69999694824219
2018-10-23,68.01000213623047
2019-05-03,68.47000122070312
2019-04-01,68.6500015258789
2019-02-28,67.75
2019-11-12,68.0199966430664
2020-01-30,68.58999633789062
2019-11-15,68.94000244140625
2020-04-21,67.16000366210938
2019-04-16,67.83000183105469
2019-03-15,68.62999725341797
2019-02-11,68.91000366210938
2019-01-10,68.4800033569336
2019-08-22,69.55000305175781
2018-11-07,70.1500015258789
2018-08-03,70.12999725341797
2018-09-04,69.94000244140625
2019-06-19,70.58999633789062
2019-09-23,70.20999908447266
2019-11-18,69.43000030517578
2020-02-05,70.31999969482422
2020-04-24,69.97000122070312
2019-03-29,69.08000183105469
2019-11-21,70.87999725341797
2020-04-27,71.51000213623047
